peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,14,chr1,3784342,3784694,3.59046,1.77280,149,352,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
2,14,chr1,3785013,3785367,3.38321,1.81142,78,354,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
3,16,chr1,4255674,4255876,3.64516,2.35363,103,202,ENSMUSG00000102948,,Gm6101,chr1,4256234,4260519,-1
4,18,chr1,4345590,4345800,2.34848,0.33314,85,210,ENSMUSG00000025900,19888.0,Rp1,chr1,3999557,4409241,-1
8,34,chr1,4883409,4883607,4.08833,3.46287,24,198,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4883409,4883607,4.08833,3.46287,24,198,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,34,chr1,4883708,4883991,4.58433,4.15135,148,283,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
9,35,chr1,4883708,4883991,4.58433,4.15135,148,283,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
16,45,chr1,5307322,5307537,3.76360,2.64480,122,215,ENSMUSG00000104046,,Gm37567,chr1,5307739,5310017,1
63,105,chr1,9631153,9631601,3.23401,1.35106,49,448,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
65,108,chr1,9792029,9792373,4.12921,3.47736,156,344,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
66,126,chr1,10178576,10179153,3.42482,1.77280,367,577,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
67,125,chr1,10197570,10197831,5.02441,6.13848,109,261,ENSMUSG00000102556,,Gm37569,chr1,10197081,10198802,-1
67,126,chr1,10197570,10197831,5.02441,6.13848,109,261,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
68,126,chr1,10214905,10215256,3.66145,3.25795,166,351,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
69,126,chr1,10217472,10217671,3.38321,1.81142,98,199,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
71,131,chr1,10617867,10618061,3.08481,1.35106,177,194,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
72,131,chr1,10643290,10643654,4.91563,4.80956,208,364,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
73,136,chr1,11048103,11048540,4.25304,3.47736,301,437,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
75,140,chr1,11739400,11739626,3.92175,2.86954,113,226,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
76,140,chr1,11753884,11754115,3.34971,1.77280,161,231,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
77,140,chr1,11915312,11915729,3.42482,1.77280,143,417,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
78,140,chr1,11915978,11916346,3.92175,2.86954,147,368,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
88,152,chr1,12890693,12890885,3.25917,1.32560,105,192,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
89,152,chr1,12892591,12892840,3.48143,2.10853,141,249,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
90,152,chr1,12906761,12907121,2.94529,1.35106,113,360,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
91,152,chr1,12935744,12936038,4.21834,3.25795,149,294,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
106,188,chr1,15395237,15395508,2.76224,0.44851,144,271,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
107,188,chr1,15619634,15620113,4.25304,3.47736,378,479,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
108,188,chr1,15620436,15620677,4.25304,3.47736,103,241,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
109,193,chr1,15760580,15761009,3.09353,1.32560,146,429,ENSMUSG00000101652,,Gm6060,chr1,15760122,15760668,-1
109,194,chr1,15760580,15761009,3.09353,1.32560,146,429,ENSMUSG00000100814,,Gm28669,chr1,15760761,15760860,1
110,198,chr1,15861950,15862177,3.75611,2.35363,92,227,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
118,200,chr1,16090749,16090996,3.92175,2.86954,154,247,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
120,206,chr1,16347932,16348510,4.58433,4.15135,398,578,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
121,206,chr1,16348675,16348918,4.67586,4.76248,162,243,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
122,206,chr1,16474895,16475155,5.24692,5.52077,151,260,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
123,206,chr1,16491104,16491343,2.71913,0.44851,154,239,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
124,208,chr1,16579331,16579928,5.24692,5.52077,150,597,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
126,213,chr1,16697442,16697674,3.25917,1.32560,81,232,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
133,243,chr1,18708497,18708824,4.08740,2.86954,161,327,ENSMUSG00000101306,,Gm5252,chr1,18708428,18709336,1
135,245,chr1,19037714,19037949,2.46784,0.61364,35,235,ENSMUSG00000101644,,Gm28343,chr1,19037266,19037377,1
139,260,chr1,20537837,20538027,2.93561,0.96662,115,190,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
142,264,chr1,20728024,20728567,3.71229,3.21292,382,543,ENSMUSG00000025929,16171.0,Il17a,chr1,20730905,20734496,1
145,273,chr1,20942964,20943340,4.08740,2.86954,61,376,ENSMUSG00000100929,,Gm28064,chr1,20945711,20946914,1
146,275,chr1,21058250,21058482,3.62251,2.64480,37,232,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
147,275,chr1,21067015,21067586,4.23605,4.07338,431,571,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
155,296,chr1,21673770,21673962,3.25917,1.32560,110,192,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
156,296,chr1,21755699,21756002,4.23605,4.07338,172,303,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
157,300,chr1,22530072,22530284,3.25917,1.32560,89,212,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
158,300,chr1,22618774,22619162,2.55387,1.05989,275,388,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
159,300,chr1,22619639,22620052,4.60011,4.37812,259,413,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
162,303,chr1,23168663,23168875,3.78081,3.25795,103,212,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
163,303,chr1,23213614,23214261,3.76360,2.64480,147,647,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
164,303,chr1,23235952,23236237,3.53241,2.35363,141,285,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
171,314,chr1,23814371,23814626,3.92175,2.86954,126,255,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
176,317,chr1,23995477,23995866,3.25917,1.32560,304,389,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
179,321,chr1,24208401,24208638,3.53241,2.35363,142,237,ENSMUSG00000026147,12839.0,Col9a1,chr1,24177610,24252684,1
180,323,chr1,24297440,24297676,3.64516,2.35363,109,236,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
181,332,chr1,24716923,24717199,4.13889,4.37812,102,276,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
182,332,chr1,24717241,24717431,3.09353,1.32560,129,190,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
197,364,chr1,26567256,26567446,2.63721,0.54997,126,190,ENSMUSG00000088111,,Gm24064,chr1,26566833,26566938,1
