peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3667734,3672779,29.59432,218.49055,4667,5045,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4496659,4497892,6.49263,20.97377,498,1233,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496659,4497892,6.49263,20.97377,498,1233,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4689030,4689485,7.39858,26.45279,263,455,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
6,32,chr1,4784524,4786730,31.55721,238.65794,562,2206,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807238,4809303,24.61160,169.01266,927,2065,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807238,4809303,24.61160,169.01266,927,2065,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856845,4857697,13.74022,72.14349,556,852,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,35,chr1,4857967,4859875,44.24049,376.48288,603,1908,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
15,47,chr1,5587946,5589500,37.89885,306.07443,572,1554,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
16,51,chr1,5916010,5918137,51.33709,458.24588,1111,2127,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
17,54,chr1,6213128,6216825,34.42604,268.74915,2455,3697,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
19,55,chr1,6358720,6359782,40.31471,332.57144,629,1062,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
20,57,chr1,6382532,6383675,30.65126,229.30562,605,1143,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
21,58,chr1,6440939,6442010,30.04729,223.11266,462,1071,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
31,67,chr1,7087752,7088816,27.78242,200.20061,582,1064,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
32,67,chr1,7089012,7091375,35.67688,285.12704,835,2363,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
34,74,chr1,7396888,7397917,9.36147,39.36740,342,1029,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
35,74,chr1,7398163,7399069,19.32690,119.70329,371,906,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
40,95,chr1,9296131,9301040,45.30165,406.77673,3852,4909,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
41,101,chr1,9544688,9545277,26.31810,194.31064,324,589,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
42,101,chr1,9545400,9549115,30.95324,232.41451,604,3715,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
42,102,chr1,9545400,9549115,30.95324,232.41451,604,3715,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
43,104,chr1,9600813,9603990,21.70738,147.16911,755,3177,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
47,107,chr1,9699220,9701449,50.73312,451.17990,786,2229,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
49,108,chr1,9743333,9745218,25.06458,173.39972,1690,1885,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
50,108,chr1,9745293,9748478,52.78002,497.56000,2220,3185,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
50,109,chr1,9745293,9748478,52.78002,497.56000,2220,3185,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
51,109,chr1,9748605,9749004,16.45807,94.60294,178,399,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
53,110,chr1,9797297,9799399,43.63652,369.66217,585,2102,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
