peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,19,chr1,4496525,4496715,3.64797,2.52084,17,190,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
9,54,chr1,6215597,6216047,4.28840,4.34916,367,450,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
10,67,chr1,7087865,7088240,3.46794,2.52084,179,375,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
11,102,chr1,9548219,9548999,3.78629,3.92908,226,780,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
13,108,chr1,9745490,9747382,6.71168,11.99392,994,1892,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
36,114,chr1,9942311,9942531,2.55350,1.08022,157,220,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
37,116,chr1,9967096,9967450,3.48787,2.52084,36,354,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
37,117,chr1,9967096,9967450,3.48787,2.52084,36,354,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
38,116,chr1,9967613,9967966,3.00179,2.41046,298,353,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
38,117,chr1,9967613,9967966,3.00179,2.41046,298,353,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
39,117,chr1,9968233,9968559,3.14956,1.98900,205,326,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
40,119,chr1,10008572,10009055,3.33801,2.87631,356,483,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
41,121,chr1,10035871,10036165,3.80808,3.10568,176,294,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
42,122,chr1,10038943,10039263,4.01739,3.98725,203,320,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
43,122,chr1,10040309,10040499,2.71291,1.12173,88,190,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
65,160,chr1,13288639,13290076,3.56215,3.39284,268,1437,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
66,160,chr1,13290875,13291106,3.08643,1.94306,134,231,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
