peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3671163,3671586,3.10320,2.83775,117,423,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,20,chr1,4497347,4497640,3.32209,4.08071,166,293,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,32,chr1,4784566,4786310,11.51143,65.16507,1032,1744,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807384,4808740,26.48060,139.04971,638,1356,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807384,4808740,26.48060,139.04971,638,1356,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4856910,4857677,9.10271,27.83134,592,767,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
8,35,chr1,4857753,4859143,25.23932,130.03003,388,1390,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,47,chr1,5588138,5588790,5.17199,9.90794,295,652,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
12,51,chr1,5916758,5917247,3.72383,4.71105,236,489,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
13,54,chr1,6213686,6215760,34.75579,202.02274,1133,2074,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
14,55,chr1,6359049,6359525,4.82031,9.77848,321,476,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
15,57,chr1,6382719,6383407,10.75774,36.55787,281,688,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
16,58,chr1,6441057,6441703,20.68797,98.09286,318,646,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
17,67,chr1,7087869,7090059,19.19813,128.60553,682,2190,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
19,74,chr1,7397588,7397925,4.91866,11.70471,170,337,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
20,74,chr1,7398225,7398796,10.34399,34.32355,337,571,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
21,101,chr1,9544777,9545236,9.22251,29.24540,292,459,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
22,101,chr1,9545417,9546192,9.93023,32.12321,439,775,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
22,102,chr1,9545417,9546192,9.93023,32.12321,439,775,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
23,102,chr1,9547849,9548306,3.49694,4.70025,174,457,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
24,107,chr1,9699310,9701457,16.34350,69.55860,784,2147,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
25,108,chr1,9745440,9746144,6.48727,15.65982,146,704,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
26,108,chr1,9746209,9746716,4.55070,7.55888,337,507,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
27,108,chr1,9747212,9748451,21.15650,118.08635,924,1239,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
27,109,chr1,9747212,9748451,21.15650,118.08635,924,1239,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
28,109,chr1,9748639,9748929,5.06818,9.67950,124,290,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
30,110,chr1,9797608,9799406,32.23363,185.76462,677,1798,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
32,113,chr1,9908515,9909041,3.93071,5.38976,146,526,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
33,114,chr1,9942200,9944600,44.37220,289.36966,1711,2400,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
33,115,chr1,9942200,9944600,44.37220,289.36966,1711,2400,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
34,116,chr1,9966946,9968407,4.89572,10.29497,1259,1461,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
34,117,chr1,9966946,9968407,4.89572,10.29497,1259,1461,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
35,119,chr1,10008641,10009421,6.69000,16.57112,441,780,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
35,120,chr1,10008641,10009421,6.69000,16.57112,441,780,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
36,121,chr1,10036936,10040424,27.16631,160.74345,1084,3488,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
36,122,chr1,10036936,10040424,27.16631,160.74345,1084,3488,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
37,126,chr1,10231516,10233956,35.58331,208.56216,1254,2440,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
38,131,chr1,10719678,10720075,4.02148,6.65843,155,397,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
39,136,chr1,10993151,10994874,23.17053,115.28197,578,1723,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
41,140,chr1,11413567,11414797,10.75774,36.55787,900,1230,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
41,141,chr1,11413567,11414797,10.75774,36.55787,900,1230,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
42,151,chr1,12691665,12695366,14.50093,64.76522,1402,3701,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
46,152,chr1,12991455,12992907,9.51647,29.95888,846,1452,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
48,165,chr1,13371816,13374918,39.30714,238.47226,1683,3102,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
48,166,chr1,13371816,13374918,39.30714,238.47226,1683,3102,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
52,168,chr1,13587951,13590000,35.16955,205.28732,1615,2049,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
53,168,chr1,13590038,13590464,4.61125,10.21446,193,426,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
54,170,chr1,13659681,13660934,16.75726,72.18073,708,1253,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
57,179,chr1,14308497,14310627,17.84000,80.60136,1460,2130,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
58,181,chr1,14755044,14756165,7.24079,18.77209,499,1121,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
59,185,chr1,14918386,14919054,3.14725,3.49514,429,668,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
60,188,chr1,15286425,15287680,12.85910,56.63413,627,1255,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
61,195,chr1,15805090,15805412,2.58656,3.52933,135,322,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
62,195,chr1,15805570,15806775,35.59500,220.80237,276,1205,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
63,198,chr1,15892206,15893172,19.23981,88.34657,618,966,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
64,200,chr1,16092787,16093586,14.06782,55.53919,480,799,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
65,201,chr1,16103051,16108155,29.99756,165.24355,857,5104,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
65,202,chr1,16103051,16108155,29.99756,165.24355,857,5104,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
68,206,chr1,16518436,16520352,29.99756,165.24355,1513,1916,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
69,207,chr1,16617241,16619386,39.10027,236.79060,1636,2145,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
69,208,chr1,16617241,16619386,39.10027,236.79060,1636,2145,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
70,208,chr1,16619506,16619879,4.45754,9.49102,220,373,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
71,210,chr1,16655199,16655518,3.39972,4.04762,165,319,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
72,209,chr1,16656082,16657201,18.82600,107.69275,589,1119,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
72,210,chr1,16656082,16657201,18.82600,107.69275,589,1119,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
73,211,chr1,16665086,16666773,35.07181,208.35191,363,1687,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
73,212,chr1,16665086,16666773,35.07181,208.35191,363,1687,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
74,213,chr1,16687785,16689105,13.24030,50.62429,784,1320,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
75,218,chr1,17096573,17098201,10.55087,35.43597,1088,1628,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
76,229,chr1,17726973,17728525,22.34301,109.48759,618,1552,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
76,230,chr1,17726973,17728525,22.34301,109.48759,618,1552,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
77,236,chr1,18058059,18059030,10.34399,34.32355,462,971,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
77,237,chr1,18058059,18059030,10.34399,34.32355,462,971,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
