peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3671034,3671612,4.42425,10.59044,245,578,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
1,20,chr1,4497124,4497429,2.88994,4.41908,134,305,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
4,32,chr1,4785259,4786293,7.23324,26.65611,337,1034,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807454,4808724,9.45885,42.23802,536,1270,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807454,4808724,9.45885,42.23802,536,1270,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4856866,4857681,16.13569,97.75694,634,815,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,35,chr1,4857769,4858536,6.25953,20.48194,154,767,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,54,chr1,6213974,6215457,23.64713,170.63074,821,1483,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,67,chr1,7087934,7090045,20.24430,141.35513,1281,2111,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
15,74,chr1,7397625,7397916,5.28583,14.79058,142,291,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
16,74,chr1,7398148,7398770,6.53774,22.20010,359,622,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
19,101,chr1,9544934,9545160,3.61662,6.44293,136,226,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
20,101,chr1,9545440,9546531,6.82422,25.79597,144,1091,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
20,102,chr1,9545440,9546531,6.82422,25.79597,144,1091,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
21,102,chr1,9548266,9548878,4.14159,8.91392,160,612,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
23,105,chr1,9630258,9630909,3.08411,4.60938,160,651,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
25,107,chr1,9700486,9701298,5.00763,13.26404,372,812,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
26,108,chr1,9747368,9748434,21.14332,145.38756,842,1066,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
26,109,chr1,9747368,9748434,21.14332,145.38756,842,1066,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
27,110,chr1,9797803,9799037,5.84223,17.97873,550,1234,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
28,114,chr1,9943601,9944124,8.32306,44.73162,294,523,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
28,115,chr1,9943601,9944124,8.32306,44.73162,294,523,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
29,114,chr1,9944389,9944629,3.22135,5.56791,118,240,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
29,115,chr1,9944389,9944629,3.22135,5.56791,118,240,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
32,121,chr1,10037408,10038237,12.71147,94.75166,662,829,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
32,122,chr1,10037408,10038237,12.71147,94.75166,662,829,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
33,121,chr1,10038310,10038719,4.86853,12.51904,257,409,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
33,122,chr1,10038310,10038719,4.86853,12.51904,257,409,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
34,122,chr1,10038889,10040341,13.07547,70.95177,1052,1452,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
35,126,chr1,10232013,10233887,13.21457,72.12469,765,1874,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
43,136,chr1,10993021,10993255,2.57518,2.66292,135,234,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
44,136,chr1,10993541,10994018,5.98538,19.22353,168,477,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
46,140,chr1,11413615,11414540,3.47752,5.84503,682,925,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
46,141,chr1,11413615,11414540,3.47752,5.84503,682,925,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
64,151,chr1,12691724,12692712,3.89482,7.68671,405,988,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
78,165,chr1,13372513,13374690,29.76757,235.62282,460,2177,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
78,166,chr1,13372513,13374690,29.76757,235.62282,460,2177,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
83,168,chr1,13588988,13589978,25.17724,186.46980,670,990,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
84,170,chr1,13659655,13660835,7.16363,32.58359,644,1180,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
89,179,chr1,14309472,14310140,5.73351,18.43052,499,668,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
90,188,chr1,15286482,15287145,3.50126,6.58558,554,663,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
94,195,chr1,15805108,15805487,5.15036,15.09199,221,379,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
95,195,chr1,15805623,15806433,12.24886,68.11132,205,810,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
96,197,chr1,15876722,15877082,3.58938,6.37930,147,360,ENSMUSG00000088943,,Gm23259,chr1,15879530,15879832,1
102,201,chr1,16103694,16106677,36.58350,312.56973,1187,2983,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
102,202,chr1,16103694,16106677,36.58350,312.56973,1187,2983,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
107,204,chr1,16227940,16229119,4.87675,13.88374,670,1179,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
