peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670434,3672730,27.69095,122.16645,782,2296,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,32,chr1,4785211,4786275,14.48059,48.00742,369,1064,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
3,33,chr1,4807328,4808548,10.66991,29.85472,678,1220,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
3,34,chr1,4807328,4808548,10.66991,29.85472,678,1220,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
4,35,chr1,4857069,4858819,10.92395,31.00093,1010,1750,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,54,chr1,6214134,6215707,22.85661,111.78825,655,1573,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
10,57,chr1,6382919,6383168,4.57282,6.28390,120,249,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
11,58,chr1,6441302,6441636,4.06473,4.79910,167,334,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
14,67,chr1,7087854,7089954,30.41549,159.97034,754,2100,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
16,74,chr1,7397614,7398754,15.24272,51.85912,182,1140,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
17,95,chr1,9298337,9300579,19.56149,74.80951,1022,2242,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
18,101,chr1,9545459,9545869,5.16078,8.37099,119,410,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
18,102,chr1,9545459,9545869,5.16078,8.37099,119,410,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
19,102,chr1,9547583,9547836,4.19744,5.31806,112,253,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
20,102,chr1,9548093,9549134,6.02583,13.15316,550,1041,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
