peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670390,3672680,19.91204,87.43367,798,2290,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,32,chr1,4785412,4786286,7.88640,20.34583,210,874,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
4,33,chr1,4807483,4808255,7.71212,19.36862,519,772,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
4,34,chr1,4807483,4808255,7.71212,19.36862,519,772,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
5,35,chr1,4857257,4858582,6.14355,12.86240,221,1325,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,54,chr1,6214184,6215636,22.00346,100.11899,615,1452,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
15,67,chr1,7087768,7089648,12.08984,92.57304,813,1880,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
18,74,chr1,7397653,7397987,4.05214,5.00183,97,334,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
19,74,chr1,7398094,7398718,7.53783,18.40144,371,624,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
20,95,chr1,9298385,9300183,7.29519,20.88973,883,1798,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
24,104,chr1,9601430,9602058,3.92466,8.22854,143,628,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
27,108,chr1,9747368,9748525,10.77946,40.37547,818,1157,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
27,109,chr1,9747368,9748525,10.77946,40.37547,818,1157,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
28,110,chr1,9797960,9798717,3.18071,2.50434,161,757,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
29,114,chr1,9943700,9944142,7.01498,16.49530,191,442,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
29,115,chr1,9943700,9944142,7.01498,16.49530,191,442,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
30,121,chr1,10037448,10038242,16.55148,81.10867,555,794,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
30,122,chr1,10037448,10038242,16.55148,81.10867,555,794,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
31,122,chr1,10039377,10039623,2.69977,2.08551,89,246,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
32,122,chr1,10039712,10040185,10.66301,35.83445,204,473,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
33,126,chr1,10231618,10233455,16.42635,65.85253,1217,1837,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
36,136,chr1,10993313,10993720,2.83215,1.43235,276,407,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
37,140,chr1,11414259,11414588,5.64648,10.83846,137,329,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
37,141,chr1,11414259,11414588,5.64648,10.83846,137,329,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
40,152,chr1,12990431,12993218,20.99815,101.22340,1745,2787,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
45,165,chr1,13372566,13374524,23.39774,110.23999,419,1958,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
45,166,chr1,13372566,13374524,23.39774,110.23999,419,1958,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
46,168,chr1,13589052,13589906,17.12349,69.79389,618,854,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
47,170,chr1,13660600,13660910,3.39972,3.14363,185,310,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
48,177,chr1,14181821,14182230,3.43884,3.54039,253,409,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
49,179,chr1,14309590,14310182,10.11285,37.18775,341,592,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
50,188,chr1,15286072,15288189,13.34638,48.70221,966,2117,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
52,195,chr1,15805143,15805516,7.18926,16.49530,194,373,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
53,195,chr1,15805601,15806452,15.90479,63.71921,210,851,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
54,201,chr1,16103919,16106136,30.54341,160.39108,953,2217,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
54,202,chr1,16103919,16106136,30.54341,160.39108,953,2217,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
55,206,chr1,16518615,16520529,14.43207,68.92583,1359,1914,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
56,207,chr1,16618547,16619295,9.80353,28.61290,482,748,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
56,208,chr1,16618547,16619295,9.80353,28.61290,482,748,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
57,208,chr1,16619400,16619692,4.05214,5.00183,113,292,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
58,209,chr1,16656308,16657981,8.48497,33.79803,447,1673,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
58,210,chr1,16656308,16657981,8.48497,33.79803,447,1673,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
59,211,chr1,16665134,16665937,8.23497,21.34382,198,803,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
59,212,chr1,16665134,16665937,8.23497,21.34382,198,803,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
60,213,chr1,16687892,16688268,3.35504,3.35360,247,376,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
61,213,chr1,16688513,16688890,3.39972,3.14363,180,377,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
62,220,chr1,17145392,17145720,3.91395,7.14376,190,328,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
65,250,chr1,19209309,19211397,4.96624,10.27400,626,2088,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
76,270,chr1,20889786,20891374,8.19929,22.72490,913,1588,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
76,271,chr1,20889786,20891374,8.19929,22.72490,913,1588,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
79,274,chr1,20951183,20951534,3.95417,5.85865,96,351,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
80,274,chr1,20951580,20952415,8.12990,27.30795,374,835,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
83,275,chr1,21079389,21079943,4.83959,8.57189,272,554,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
83,276,chr1,21079389,21079943,4.83959,8.57189,272,554,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
86,296,chr1,21961288,21961522,3.35500,3.09169,97,234,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
88,300,chr1,22805420,22806800,12.24352,42.17127,585,1380,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
89,305,chr1,23255768,23256094,4.12631,5.85507,164,326,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
90,305,chr1,23256197,23257256,15.39865,63.80788,279,1059,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
94,314,chr1,23761402,23762915,8.03930,22.72490,736,1513,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
96,315,chr1,23921657,23922784,17.99491,75.12814,457,1127,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
97,316,chr1,24005187,24005893,10.49960,34.72810,321,706,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
97,317,chr1,24005187,24005893,10.49960,34.72810,321,706,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
98,318,chr1,24099414,24100309,10.50067,32.99070,618,895,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
98,319,chr1,24099414,24100309,10.50067,32.99070,618,895,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
99,318,chr1,24100375,24101058,7.87932,21.74202,333,683,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
99,319,chr1,24100375,24101058,7.87932,21.74202,333,683,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
102,332,chr1,24677923,24679152,8.82276,26.34036,893,1229,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
111,360,chr1,25829658,25831485,9.36585,34.83192,318,1827,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
111,361,chr1,25829658,25831485,9.36585,34.83192,318,1827,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
114,391,chr1,30872649,30874598,27.75485,140.19980,829,1949,ENSMUSG00000048874,213109.0,Phf3,chr1,30802339,30873921,-1
115,392,chr1,30948589,30950980,28.14037,210.61446,1464,2391,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
115,393,chr1,30948589,30950980,28.14037,210.61446,1464,2391,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
116,411,chr1,32172592,32173270,7.18926,16.49530,423,678,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
122,437,chr1,33669492,33670749,15.23866,63.80788,750,1257,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
122,438,chr1,33669492,33670749,15.23866,63.80788,750,1257,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
123,440,chr1,33719611,33720733,9.62773,41.87944,582,1122,ENSMUSG00000004768,19335.0,Rab23,chr1,33719887,33742564,1
124,442,chr1,33757381,33758014,4.74928,7.14376,204,633,ENSMUSG00000042215,213539.0,Bag2,chr1,33745484,33757795,-1
125,443,chr1,33813343,33815214,18.34348,77.82377,706,1871,ENSMUSG00000042197,98403.0,Zfp451,chr1,33761545,33814595,-1
126,446,chr1,33906989,33908613,10.15210,30.78714,1007,1624,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
126,447,chr1,33906989,33908613,10.15210,30.78714,1007,1624,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
138,459,chr1,34432865,34433559,4.74469,8.36441,213,694,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
138,460,chr1,34432865,34433559,4.74469,8.36441,213,694,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
139,459,chr1,34434159,34434503,5.09785,8.69048,216,344,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
139,460,chr1,34434159,34434503,5.09785,8.69048,216,344,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
140,459,chr1,34434629,34435892,14.43873,58.79449,457,1263,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
140,460,chr1,34434629,34435892,14.43873,58.79449,457,1263,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
141,461,chr1,34439098,34439366,3.35500,3.09169,101,268,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
141,462,chr1,34439098,34439366,3.35500,3.09169,101,268,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
142,461,chr1,34439879,34440527,4.16631,6.72201,129,648,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
142,462,chr1,34439879,34440527,4.16631,6.72201,129,648,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
143,472,chr1,34578583,34580392,13.81208,50.61771,790,1809,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
143,473,chr1,34578583,34580392,13.81208,50.61771,790,1809,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
150,479,chr1,34750694,34750972,5.35344,9.31161,129,278,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
150,480,chr1,34750694,34750972,5.35344,9.31161,129,278,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
152,481,chr1,34801096,34802576,5.09956,11.03293,1182,1480,ENSMUSG00000118272,,Arhgef4,chr1,34801794,34801964,1
153,484,chr1,34841691,34843952,17.53127,88.89937,1180,2261,ENSMUSG00000037503,214469.0,Fam168b,chr1,34813219,34843065,-1
154,485,chr1,34849400,34850399,5.96927,11.99930,674,999,ENSMUSG00000026123,226971.0,Plekhb2,chr1,34849976,34879580,1
166,500,chr1,36068106,36069066,9.10639,25.43474,429,960,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
171,504,chr1,36243760,36244287,6.62688,15.79677,414,527,ENSMUSG00000037470,320011.0,Uggt1,chr1,36140027,36244720,-1
172,504,chr1,36244411,36244756,3.28331,2.97211,200,345,ENSMUSG00000037470,320011.0,Uggt1,chr1,36140027,36244720,-1
173,506,chr1,36307781,36308145,5.50060,10.06303,204,364,ENSMUSG00000037447,214855.0,Arid5a,chr1,36307733,36324029,1
