peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
7,19,chr1,4494391,4495378,5.44662,6.76611,420,987,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,19,chr1,4496013,4496461,4.00428,3.82065,320,448,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
9,20,chr1,4497467,4499028,3.29523,2.93315,1092,1561,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
10,20,chr1,4499133,4499351,4.99102,5.32924,145,218,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
11,20,chr1,4499809,4500046,4.68729,4.64853,105,237,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
18,51,chr1,5916673,5917603,5.14289,6.03407,195,930,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
19,51,chr1,5919221,5919530,2.66346,0.60534,180,309,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
20,55,chr1,6358889,6359139,3.32049,1.51621,130,250,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
23,116,chr1,9964660,9964918,2.53846,1.69068,137,258,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
24,116,chr1,9966838,9967329,3.60203,2.60942,136,491,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
25,116,chr1,9967717,9967971,3.62422,2.07280,79,254,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
25,117,chr1,9967717,9967971,3.62422,2.07280,79,254,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
26,117,chr1,9968128,9968604,3.31069,2.48955,69,476,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
27,117,chr1,9968883,9969856,6.96529,10.71833,267,973,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
29,141,chr1,11415037,11415389,3.62422,2.07280,214,352,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
49,151,chr1,12690293,12690849,2.84829,1.99951,496,556,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
50,151,chr1,12690899,12691174,3.27939,1.79276,175,275,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
51,151,chr1,12691682,12691947,3.27190,1.51621,111,265,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
52,151,chr1,12691987,12692602,3.20342,2.48955,431,615,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
59,156,chr1,13126518,13127473,2.66952,1.51621,705,955,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
60,156,chr1,13127512,13127727,4.13836,3.82065,45,215,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
61,156,chr1,13127887,13128194,3.47236,2.07280,165,307,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
62,156,chr1,13128433,13128789,4.53542,4.64853,185,356,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
63,156,chr1,13128841,13130007,3.11646,2.46222,1011,1166,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
75,181,chr1,14755994,14756530,3.31069,2.48955,148,536,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
76,181,chr1,14756963,14757337,3.20984,2.50181,64,374,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
77,236,chr1,18057537,18058437,3.62422,2.07280,391,900,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
78,236,chr1,18059463,18059664,4.40652,4.46533,103,201,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
78,237,chr1,18059463,18059664,4.40652,4.46533,103,201,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
83,247,chr1,19100304,19102219,5.69509,7.22357,548,1915,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
84,247,chr1,19102458,19102738,3.25976,2.07280,131,280,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
85,247,chr1,19102898,19103143,3.73611,2.60942,81,245,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
86,247,chr1,19103400,19104453,4.16881,4.71512,471,1053,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
86,248,chr1,19103400,19104453,4.16881,4.71512,471,1053,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
87,248,chr1,19104493,19104937,4.71790,4.95005,286,444,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
88,248,chr1,19105134,19106100,5.61325,7.89279,451,966,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
89,248,chr1,19106340,19106689,5.29213,6.33053,185,349,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
90,248,chr1,19107069,19109570,3.38462,3.44274,1946,2501,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
101,250,chr1,19207043,19207927,6.81998,11.75532,121,884,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
124,251,chr1,19239916,19240990,5.80791,9.12321,432,1074,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
125,251,chr1,19241086,19241428,3.31069,2.48955,82,342,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
126,251,chr1,19241830,19243137,4.63604,7.45510,1126,1307,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
127,251,chr1,19243194,19244171,7.11715,11.55484,578,977,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
135,276,chr1,21077942,21078175,3.01608,1.15149,178,233,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
139,314,chr1,23759294,23759579,2.77222,0.86986,59,285,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
140,314,chr1,23760244,23760434,3.77609,2.66717,106,190,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
141,314,chr1,23760719,23760941,4.22972,3.76901,143,222,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
143,323,chr1,24587168,24587736,5.14289,6.03407,465,568,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
144,323,chr1,24588243,24588580,3.62422,2.07280,139,337,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
145,323,chr1,24589775,24589997,3.16862,1.51621,146,222,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
148,464,chr1,34457814,34458917,4.43890,4.71512,881,1103,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
149,464,chr1,34459259,34459551,3.43362,2.02187,187,292,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
150,464,chr1,34460160,34460598,2.76985,1.03709,414,438,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
153,465,chr1,34473171,34473681,3.47236,2.07280,258,510,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
154,469,chr1,34535556,34536624,6.35782,9.08944,418,1068,ENSMUSG00000026124,12627.0,Cfc1,chr1,34535648,34544313,1
156,470,chr1,34538024,34538283,4.53542,4.64853,114,259,ENSMUSG00000101803,,Gm28419,chr1,34538086,34538560,-1
157,472,chr1,34577526,34577825,2.66710,1.05234,142,299,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
158,473,chr1,34582071,34582322,3.33320,1.92728,74,251,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
159,478,chr1,34677602,34678045,4.22972,3.76901,304,443,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
162,479,chr1,34751100,34751473,3.51529,1.97906,231,373,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
162,480,chr1,34751100,34751473,3.51529,1.97906,231,373,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
163,479,chr1,34751621,34751901,2.98846,1.03709,67,280,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
163,480,chr1,34751621,34751901,2.98846,1.03709,67,280,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
164,479,chr1,34752452,34752702,2.36478,0.88954,139,250,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
164,480,chr1,34752452,34752702,2.36478,0.88954,139,250,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
177,548,chr1,37542511,37542942,3.62422,2.07280,216,431,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
178,548,chr1,37542982,37543209,3.01676,1.03709,39,227,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
179,552,chr1,37719424,37719712,3.73611,2.60942,154,288,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
180,552,chr1,37720897,37721508,4.62840,5.05639,487,611,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
181,554,chr1,37868524,37868750,3.92796,2.66717,95,226,ENSMUSG00000060771,211484.0,Tsga10,chr1,37754776,37866429,-1
182,574,chr1,38837444,38837956,3.77609,2.66717,344,512,ENSMUSG00000048814,381338.0,Lonrf2,chr1,38793645,38836711,-1
183,574,chr1,38838982,38839258,3.65976,2.87282,181,276,ENSMUSG00000048814,381338.0,Lonrf2,chr1,38793645,38836711,-1
184,584,chr1,39191019,39191292,3.32049,1.51621,90,273,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
187,598,chr1,39648891,39649501,3.56637,2.56594,299,610,ENSMUSG00000097083,,D930019O06Rik,chr1,39650176,39657390,1
