peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
4,19,chr1,4496069,4496410,3.90184,6.22147,181,341,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,19,chr1,4496569,4497879,5.05545,9.23536,1156,1310,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496569,4497879,5.05545,9.23536,1156,1310,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
16,32,chr1,4785180,4786215,7.82336,25.01699,806,1035,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
17,33,chr1,4807484,4807778,5.27113,11.98989,166,294,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
17,34,chr1,4807484,4807778,5.27113,11.98989,166,294,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
18,33,chr1,4807847,4808362,7.16629,25.42575,193,515,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
18,34,chr1,4807847,4808362,7.16629,25.42575,193,515,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
19,35,chr1,4857191,4857660,15.03604,62.27247,240,469,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
20,35,chr1,4857765,4858857,7.41274,22.34771,499,1092,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
23,54,chr1,6214057,6215528,24.92810,130.98933,756,1471,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
24,67,chr1,7087829,7088836,22.00365,116.19127,764,1007,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
25,67,chr1,7088956,7090021,12.71825,74.19344,296,1065,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
26,74,chr1,7397644,7397937,4.55782,11.75288,176,293,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
27,74,chr1,7398160,7398645,4.74839,11.44529,306,485,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
28,101,chr1,9545459,9546158,6.10128,13.48896,478,699,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
28,102,chr1,9545459,9546158,6.10128,13.48896,478,699,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
29,102,chr1,9547570,9549131,7.85633,21.70741,695,1561,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
35,105,chr1,9630076,9631691,7.18505,21.74690,515,1615,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
37,107,chr1,9699932,9700376,4.34624,6.47896,213,444,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
38,107,chr1,9700556,9701312,6.46668,15.85095,233,756,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
39,108,chr1,9747560,9748424,11.57377,72.12498,595,864,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
39,109,chr1,9747560,9748424,11.57377,72.12498,595,864,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
41,110,chr1,9797882,9798818,4.73382,9.72308,520,936,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
46,114,chr1,9942181,9942515,3.84531,5.74973,186,334,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
47,114,chr1,9942579,9944154,13.44055,52.43211,1374,1575,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
47,115,chr1,9942579,9944154,13.44055,52.43211,1374,1575,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
48,114,chr1,9944339,9944643,4.66534,7.91218,163,304,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
48,115,chr1,9944339,9944643,4.66534,7.91218,163,304,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
52,121,chr1,10037374,10038205,20.30117,98.03288,665,831,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
52,122,chr1,10037374,10038205,20.30117,98.03288,665,831,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
53,121,chr1,10038320,10038641,4.98444,9.41654,148,321,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
53,122,chr1,10038320,10038641,4.98444,9.41654,148,321,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
54,122,chr1,10038857,10039698,5.76998,14.28577,677,841,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
55,122,chr1,10039747,10040367,12.13638,52.11530,202,620,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
57,126,chr1,10231760,10233900,18.06748,83.03699,1055,2140,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
64,136,chr1,10991149,10991381,3.04663,4.39100,130,232,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
65,136,chr1,10993519,10994770,6.10128,13.48896,420,1251,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
