peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
7,54,chr1,6216154,6216429,3.58276,3.36928,143,275,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
11,108,chr1,9745549,9745888,3.09002,3.09115,182,339,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
12,108,chr1,9746406,9747344,4.62380,7.07393,593,938,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
15,121,chr1,10036885,10037246,3.40913,3.14315,187,361,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
16,126,chr1,10233711,10233934,2.95069,1.77840,91,223,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
44,160,chr1,13290053,13290518,3.10096,1.97462,338,465,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
45,160,chr1,13290853,13291117,3.26156,2.43830,166,264,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
70,177,chr1,14181470,14181906,4.06456,4.43953,148,436,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
75,188,chr1,15287258,15287537,3.58276,3.36928,116,279,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
82,201,chr1,16106930,16107135,3.47804,3.47469,51,205,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
88,204,chr1,16227930,16228761,5.24293,8.10736,240,831,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
95,207,chr1,16616095,16616863,3.71477,3.59221,624,768,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
96,207,chr1,16617185,16617448,4.06456,4.43953,104,263,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
98,210,chr1,16655046,16655521,4.86755,6.64491,299,475,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
99,210,chr1,16655561,16655947,3.58276,3.36928,209,386,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
100,213,chr1,16687811,16688137,3.29067,2.96233,98,326,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
112,276,chr1,21076247,21078514,6.31294,11.21046,1119,2267,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
114,293,chr1,21456359,21456895,3.71477,3.59221,104,536,ENSMUSG00000104138,,Gm36949,chr1,21454691,21457017,-1
121,300,chr1,22805233,22805546,3.09564,2.66084,183,313,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
135,305,chr1,23258649,23258957,2.45891,1.13190,119,308,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
138,306,chr1,23270411,23270676,3.26156,2.43830,183,265,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
139,306,chr1,23270887,23271881,3.58276,3.36928,158,994,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
140,306,chr1,23272170,23272443,3.42216,2.93093,143,273,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
145,316,chr1,24004399,24004731,3.58276,3.36928,245,332,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
168,446,chr1,33908795,33909228,2.99828,2.26023,325,433,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
177,455,chr1,34331664,34331937,2.20421,0.79638,29,273,ENSMUSG00000104397,,Gm37958,chr1,34329433,34330307,-1
179,462,chr1,34438483,34438702,3.74336,3.36928,140,219,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
180,464,chr1,34459983,34460311,2.64506,1.40867,143,328,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
181,465,chr1,34473215,34473478,2.84095,2.21083,129,263,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
184,481,chr1,34802073,34802559,3.09564,2.66084,345,486,ENSMUSG00000118272,,Arhgef4,chr1,34801794,34801964,1
197,497,chr1,36012385,36012711,4.06456,4.43953,167,326,ENSMUSG00000103708,,Gm33222,chr1,36002985,36011044,-1
205,500,chr1,36065701,36066044,2.84095,2.21083,52,343,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
220,513,chr1,36472141,36473355,4.86755,6.64491,367,1214,ENSMUSG00000104316,,Gm37909,chr1,36473952,36476110,1
221,513,chr1,36473406,36474000,3.73319,3.88964,356,594,ENSMUSG00000104316,,Gm37909,chr1,36473952,36476110,1
222,513,chr1,36474077,36475345,4.38575,4.91614,606,1268,ENSMUSG00000104316,,Gm37909,chr1,36473952,36476110,1
228,519,chr1,36548096,36548477,3.58276,3.36928,58,381,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
230,520,chr1,36554830,36555208,3.22299,3.09460,185,378,ENSMUSG00000087589,,D430040D24Rik,chr1,36557701,36565613,1
231,520,chr1,36555340,36556247,4.48782,5.76223,88,907,ENSMUSG00000087589,,D430040D24Rik,chr1,36557701,36565613,1
232,521,chr1,36558674,36559161,3.29067,2.96233,120,487,ENSMUSG00000026121,20353.0,Sema4c,chr1,36548639,36558349,-1
