peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,20,chr1,4497063,4497294,3.39471,1.77917,124,231,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,40,chr1,4970076,4970466,2.68649,0.74772,152,390,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
8,51,chr1,5917707,5917962,3.61745,1.93676,37,255,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
9,55,chr1,6358872,6359039,2.92335,1.03647,129,167,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
16,73,chr1,7313510,7313674,3.27040,1.47706,100,164,ENSMUSG00000102768,,Gm19002,chr1,7315451,7316462,1
19,102,chr1,9547493,9547648,3.27040,1.47706,100,155,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
20,102,chr1,9547971,9548421,4.13802,2.45642,133,450,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
21,105,chr1,9630488,9630703,3.08792,1.13436,98,215,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
24,108,chr1,9745689,9746285,4.65859,3.64761,415,596,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
25,108,chr1,9746358,9746885,4.83212,4.22326,400,527,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
26,108,chr1,9746940,9747539,3.49865,1.93676,132,599,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
29,114,chr1,9942187,9942476,2.97821,1.32893,30,289,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
30,116,chr1,9967350,9967538,3.61745,1.93676,54,188,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
30,117,chr1,9967350,9967538,3.61745,1.93676,54,188,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
31,116,chr1,9967579,9967843,4.13802,2.45642,145,264,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
31,117,chr1,9967579,9967843,4.13802,2.45642,145,264,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
32,119,chr1,10008671,10009073,2.83535,0.94249,111,402,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
33,121,chr1,10036933,10037118,3.36329,1.93676,61,185,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
34,122,chr1,10038954,10039424,3.82193,2.99441,207,470,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
42,151,chr1,12690504,12690678,3.61745,1.93676,36,174,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
43,151,chr1,12691717,12692126,4.48507,2.99441,205,409,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
44,151,chr1,12692287,12692568,2.06171,0.30528,132,281,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
61,156,chr1,13126797,13126952,2.92335,1.03647,33,155,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
62,156,chr1,13128047,13128600,2.79892,1.12380,139,553,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
75,177,chr1,14180290,14180500,3.79097,1.93676,137,210,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
76,177,chr1,14181725,14181986,2.90721,1.47706,119,261,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
