peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670070,3672717,45.57210,263.82382,1403,2647,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4496535,4497789,13.23852,49.69363,895,1254,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4496535,4497789,13.23852,49.69363,895,1254,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4689009,4689505,6.90486,16.07638,327,496,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
8,32,chr1,4783904,4786654,25.62294,129.66298,2217,2750,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
10,33,chr1,4807276,4809347,21.89841,116.22579,256,2071,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
10,34,chr1,4807276,4809347,21.89841,116.22579,256,2071,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
12,35,chr1,4856892,4859391,17.47138,101.55645,1799,2499,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
17,47,chr1,5588136,5589085,12.42875,42.25117,310,949,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
18,51,chr1,5916270,5917985,17.72253,76.73985,820,1715,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
19,54,chr1,6213103,6216303,30.38140,153.28815,2150,3200,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
20,54,chr1,6216452,6216779,3.68259,4.44943,149,327,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
22,55,chr1,6358687,6359689,24.62735,114.72762,651,1002,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
23,57,chr1,6382308,6383523,40.73869,227.50398,710,1215,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
25,58,chr1,6441074,6441888,30.38140,153.28815,293,814,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
27,67,chr1,7087992,7091480,27.79549,152.00528,518,3488,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
29,74,chr1,7396804,7398015,17.54183,73.84076,922,1211,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
30,74,chr1,7398087,7399039,38.89740,213.92551,335,952,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
31,95,chr1,9298466,9300413,22.32573,99.96568,877,1947,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
32,101,chr1,9544724,9548940,22.83850,136.38498,1131,4216,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
32,102,chr1,9544724,9548940,22.83850,136.38498,1131,4216,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
33,107,chr1,9699270,9701462,45.34193,262.07364,742,2192,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
34,108,chr1,9742824,9745191,11.51554,44.67836,1848,2367,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
35,108,chr1,9745274,9749251,34.52431,182.31415,2300,3977,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
35,109,chr1,9745274,9749251,34.52431,182.31415,2300,3977,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
37,110,chr1,9797365,9800183,34.06399,179.04250,530,2818,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
39,113,chr1,9908367,9909028,11.96843,39.85787,272,661,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
40,114,chr1,9942348,9944752,22.32487,121.97378,1459,2404,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
40,115,chr1,9942348,9944752,22.32487,121.97378,1459,2404,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
41,116,chr1,9966939,9968722,35.21480,187.24344,1284,1783,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
41,117,chr1,9966939,9968722,35.21480,187.24344,1284,1783,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
42,119,chr1,10008721,10009532,16.44139,68.75303,274,811,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
42,120,chr1,10008721,10009532,16.44139,68.75303,274,811,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
43,121,chr1,10036632,10040922,25.37611,158.17375,876,4290,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
43,122,chr1,10036632,10040922,25.37611,158.17375,876,4290,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
44,126,chr1,10231106,10234441,29.26081,174.23100,1167,3335,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
47,136,chr1,10992965,10995413,36.82594,198.83780,710,2448,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
