peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
8,19,chr1,4494607,4495390,2.85062,1.86704,109,783,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
9,20,chr1,4497396,4497666,2.37698,0.66747,253,270,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
10,20,chr1,4497831,4499040,4.65221,6.37845,112,1209,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
11,20,chr1,4499134,4499423,5.29835,6.04737,126,289,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
12,20,chr1,4499804,4500012,3.51547,2.87495,118,208,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
22,51,chr1,5916017,5917839,2.61380,1.02942,275,1822,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
23,51,chr1,5918831,5919062,3.28526,1.67930,117,231,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
24,51,chr1,5919167,5919540,3.66272,2.23696,173,373,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
25,55,chr1,6359020,6359825,2.45592,0.66747,570,805,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
26,110,chr1,9796355,9796697,3.53690,2.23696,189,342,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
29,116,chr1,9964584,9964902,2.71404,1.50019,148,318,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
30,116,chr1,9967597,9968106,4.92089,5.34879,311,509,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
30,117,chr1,9967597,9968106,4.92089,5.34879,311,509,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
31,117,chr1,9968823,9969925,3.87684,4.91177,390,1102,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
32,140,chr1,11412210,11412444,3.21024,1.41950,145,234,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
43,151,chr1,12690076,12691178,4.79508,5.34879,734,1102,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
53,156,chr1,13126531,13126818,3.17274,1.53978,177,287,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
54,156,chr1,13127001,13127350,3.50490,2.02362,170,349,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
55,156,chr1,13128723,13129988,4.54192,5.17603,899,1265,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
67,179,chr1,14311153,14311554,4.92089,5.34879,221,401,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
82,180,chr1,14753389,14753619,3.89439,3.99887,177,230,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
85,181,chr1,14756925,14757406,3.38001,2.61975,278,481,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
86,181,chr1,14757740,14758304,3.61020,3.41352,140,564,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
87,185,chr1,14919910,14920324,3.41108,1.67930,258,414,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
93,247,chr1,19100038,19101535,6.42928,10.56812,160,1497,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
94,247,chr1,19101998,19102299,4.16599,3.41352,166,301,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
96,248,chr1,19105090,19105672,3.44706,1.93328,438,582,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
97,248,chr1,19106333,19106640,3.53690,2.23696,171,307,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
111,250,chr1,19207082,19207332,4.16599,3.41352,82,250,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
112,250,chr1,19207454,19207929,5.46003,6.95855,314,475,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
140,251,chr1,19239919,19240759,4.65221,6.37845,396,840,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
141,251,chr1,19240833,19241171,3.44706,1.93328,133,338,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
142,251,chr1,19241436,19241713,3.56547,2.48591,168,277,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
143,251,chr1,19241931,19243097,4.92089,5.34879,238,1166,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
152,276,chr1,21078254,21078461,3.21024,1.41950,83,207,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
154,296,chr1,21963177,21963387,2.87538,1.42795,131,210,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
157,314,chr1,23759419,23760245,4.04017,3.41352,283,826,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
158,314,chr1,23760314,23760870,3.09183,1.41950,65,556,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
164,323,chr1,24588245,24588648,2.90781,0.68700,333,403,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
165,446,chr1,33909523,33909750,3.66272,2.23696,105,227,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
166,464,chr1,34457151,34457743,4.29377,4.59792,295,592,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
167,464,chr1,34457870,34458790,4.79549,5.76010,388,920,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
168,464,chr1,34458997,34459310,3.30402,2.51840,175,313,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
169,464,chr1,34460200,34460896,2.45592,0.66747,661,696,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
172,465,chr1,34472605,34473655,3.79966,3.41352,827,1050,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
173,469,chr1,34535545,34536138,2.18401,0.80829,271,593,ENSMUSG00000026124,12627.0,Cfc1,chr1,34535648,34544313,1
176,470,chr1,34538131,34538424,3.86276,2.98592,55,293,ENSMUSG00000101803,,Gm28419,chr1,34538086,34538560,-1
177,470,chr1,34538656,34538949,2.30806,0.74587,189,293,ENSMUSG00000101803,,Gm28419,chr1,34538086,34538560,-1
178,470,chr1,34539131,34539585,3.04183,1.86704,288,454,ENSMUSG00000101803,,Gm28419,chr1,34538086,34538560,-1
179,472,chr1,34576987,34577214,3.21024,1.41950,56,227,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
180,478,chr1,34677600,34678172,3.41576,2.07582,334,572,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
191,548,chr1,37543021,37543612,3.13656,1.86704,230,591,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
193,552,chr1,37719498,37719766,3.74610,2.98592,164,268,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
194,554,chr1,37868636,37869218,3.66272,2.23696,263,582,ENSMUSG00000060771,211484.0,Tsga10,chr1,37754776,37866429,-1
195,584,chr1,39191052,39191451,3.78853,2.81945,102,399,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
196,584,chr1,39193116,39193555,3.09183,1.41950,337,439,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
197,584,chr1,39194223,39195397,4.79508,5.34879,393,1174,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
200,599,chr1,39652012,39652290,2.30806,0.74587,210,278,ENSMUSG00000050967,263764.0,Creg2,chr1,39618406,39651474,-1
203,610,chr1,40324019,40324235,2.95224,1.40834,146,216,ENSMUSG00000070942,107527.0,Il1rl2,chr1,40324610,40367562,1
204,610,chr1,40324438,40324778,3.71258,3.91118,185,340,ENSMUSG00000070942,107527.0,Il1rl2,chr1,40324610,40367562,1
206,618,chr1,40677997,40679711,4.14561,3.92476,1541,1714,ENSMUSG00000026062,226999.0,Slc9a2,chr1,40680574,40769273,1
207,618,chr1,40679911,40680094,2.37573,0.74587,53,183,ENSMUSG00000026062,226999.0,Slc9a2,chr1,40680574,40769273,1
212,640,chr1,42849551,42849872,3.09183,1.41950,200,321,ENSMUSG00000060679,69527.0,Mrps9,chr1,42851233,42905683,1
213,705,chr1,45926217,45926438,3.06637,1.91092,81,221,ENSMUSG00000025993,53945.0,Slc40a1,chr1,45908068,45926523,-1
217,844,chr1,55363136,55363989,4.03911,3.66879,60,853,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
218,844,chr1,55364187,55364572,3.41108,1.67930,277,385,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
219,847,chr1,55403596,55403843,2.75765,0.96265,111,247,ENSMUSG00000038349,227120.0,Plcl1,chr1,55405921,55754285,1
236,852,chr1,55961451,55961632,2.80512,0.71490,17,181,ENSMUSG00000102491,,Gm36986,chr1,55960404,55960756,-1
239,857,chr1,56969011,56969470,3.00850,2.33046,302,459,ENSMUSG00000087022,,9130024F11Rik,chr1,56971412,57050084,1
240,857,chr1,56969594,56970457,3.51547,2.87495,395,863,ENSMUSG00000087022,,9130024F11Rik,chr1,56971412,57050084,1
241,857,chr1,56970726,56970977,3.39612,1.86704,78,251,ENSMUSG00000087022,,9130024F11Rik,chr1,56971412,57050084,1
242,858,chr1,56975313,56975829,4.16599,3.41352,143,516,ENSMUSG00000104310,,Gm4081,chr1,56976803,56978640,1
243,858,chr1,56975993,56976585,2.71404,1.50019,525,592,ENSMUSG00000104310,,Gm4081,chr1,56976803,56978640,1
244,858,chr1,56977068,56977902,3.15945,1.16277,464,834,ENSMUSG00000104310,,Gm4081,chr1,56976803,56978640,1
245,859,chr1,56977939,56978190,2.14016,0.08794,72,251,ENSMUSG00000038331,212712.0,Satb2,chr1,56793981,56978650,-1
246,859,chr1,56979508,56980479,5.82122,8.58494,489,971,ENSMUSG00000038331,212712.0,Satb2,chr1,56793981,56978650,-1
247,859,chr1,56980586,56981020,4.15752,3.66879,378,434,ENSMUSG00000038331,212712.0,Satb2,chr1,56793981,56978650,-1
266,873,chr1,57772086,57772378,2.57710,0.26357,138,292,ENSMUSG00000038305,67198.0,Spats2l,chr1,57774162,57948394,1
267,916,chr1,59256628,59256823,2.78199,0.68700,83,195,ENSMUSG00000026023,271697.0,Cdk15,chr1,59256906,59352993,1
270,918,chr1,59450946,59451248,3.41108,1.67930,145,302,ENSMUSG00000104502,,Gm37737,chr1,59447865,59449502,-1
272,919,chr1,59482823,59483079,2.85238,1.40834,113,256,ENSMUSG00000041075,14369.0,Fzd7,chr1,59482424,59486955,1
278,939,chr1,60044065,60044338,3.44706,1.93328,199,273,ENSMUSG00000026018,70375.0,Ica1l,chr1,59982490,60043184,-1
279,939,chr1,60044380,60044617,3.18746,1.55987,28,237,ENSMUSG00000026018,70375.0,Ica1l,chr1,59982490,60043184,-1
284,1015,chr1,63249167,63249414,2.80512,0.71490,124,247,ENSMUSG00000102536,,1700039I01Rik,chr1,63248021,63248499,-1
285,1015,chr1,63249664,63250287,3.51547,2.87495,484,623,ENSMUSG00000102536,,1700039I01Rik,chr1,63248021,63248499,-1
303,1017,chr1,63270872,63271376,3.91435,2.81945,166,504,ENSMUSG00000027520,73884.0,Zdbf2,chr1,63273265,63314576,1
304,1017,chr1,63272184,63272521,3.41108,1.67930,177,337,ENSMUSG00000027520,73884.0,Zdbf2,chr1,63273265,63314576,1
305,1016,chr1,63273104,63273358,3.15945,1.16277,102,254,ENSMUSG00000087561,,Gm11608,chr1,63266848,63273120,-1
305,1017,chr1,63273104,63273358,3.15945,1.16277,102,254,ENSMUSG00000027520,73884.0,Zdbf2,chr1,63273265,63314576,1
305,1018,chr1,63273104,63273358,3.15945,1.16277,102,254,ENSMUSG00000092705,,Gm24513,chr1,63273226,63273363,-1
308,1024,chr1,63613543,63613991,3.41108,1.67930,293,448,ENSMUSG00000115378,105243944.0,Gm39653,chr1,63615968,63620819,1
309,1028,chr1,63728382,63728867,3.44706,1.93328,344,485,ENSMUSG00000025962,75619.0,Fastkd2,chr1,63730614,63754655,1
312,1046,chr1,64734956,64736123,5.10480,6.25289,549,1167,ENSMUSG00000102140,,Gm38058,chr1,64736240,64740607,1
313,1046,chr1,64736389,64736629,3.42075,2.87495,170,240,ENSMUSG00000102140,,Gm38058,chr1,64736240,64740607,1
314,1047,chr1,64736924,64737441,3.61020,3.41352,135,517,ENSMUSG00000045005,14367.0,Fzd5,chr1,64730558,64737751,-1
315,1047,chr1,64737802,64738175,3.28526,1.67930,146,373,ENSMUSG00000045005,14367.0,Fzd5,chr1,64730558,64737751,-1
316,1047,chr1,64738355,64739228,3.80229,3.06550,639,873,ENSMUSG00000045005,14367.0,Fzd5,chr1,64730558,64737751,-1
317,1047,chr1,64739300,64739858,2.47347,0.57291,260,558,ENSMUSG00000045005,14367.0,Fzd5,chr1,64730558,64737751,-1
319,1117,chr1,69109167,69109445,3.41108,1.67930,144,278,ENSMUSG00000087514,,Gm16076,chr1,69091913,69106740,-1
319,1118,chr1,69109167,69109445,3.41108,1.67930,144,278,ENSMUSG00000062209,13869.0,Erbb4,chr1,68032186,69108059,-1
320,1118,chr1,69110284,69110499,2.65618,0.26357,40,215,ENSMUSG00000062209,13869.0,Erbb4,chr1,68032186,69108059,-1
328,1142,chr1,71650695,71650995,3.14024,1.67930,194,300,ENSMUSG00000073652,,Apol7d,chr1,71652837,71662843,1
329,1143,chr1,71653847,71654391,4.04017,3.41352,312,544,ENSMUSG00000026193,14268.0,Fn1,chr1,71585520,71653200,-1
330,1143,chr1,71655369,71655605,3.66272,2.23696,134,236,ENSMUSG00000026193,14268.0,Fn1,chr1,71585520,71653200,-1
334,1155,chr1,72223877,72224792,2.30806,0.74587,338,915,ENSMUSG00000094655,,Gm25360,chr1,72226240,72226430,1
335,1156,chr1,72235472,72235809,2.90781,0.68700,179,337,ENSMUSG00000094050,,Gm23472,chr1,72236946,72237136,1
336,1165,chr1,72639438,72639694,2.53036,0.26357,158,256,ENSMUSG00000110712,,Gm39662,chr1,72641188,72642963,1
337,1171,chr1,72877284,72877754,2.66292,0.96265,321,470,ENSMUSG00000026185,16011.0,Igfbp5,chr1,72857932,72874884,-1
344,1188,chr1,74122801,74123872,3.68388,2.48591,655,1071,ENSMUSG00000061815,435626.0,Rufy4,chr1,74125541,74148223,1
345,1187,chr1,74124097,74125255,3.51547,2.87495,772,1158,ENSMUSG00000055322,21961.0,Tns1,chr1,73910231,74124449,-1
345,1188,chr1,74124097,74125255,3.51547,2.87495,772,1158,ENSMUSG00000061815,435626.0,Rufy4,chr1,74125541,74148223,1
347,1191,chr1,74208805,74209039,3.12939,1.47488,106,234,ENSMUSG00000087820,,Mir1928,chr1,74206554,74206620,-1
351,1200,chr1,74304993,74305250,2.97342,0.94825,110,257,ENSMUSG00000006301,69660.0,Tmbim1,chr1,74288247,74305622,-1
354,1204,chr1,74389682,74389997,3.27946,1.86704,144,315,ENSMUSG00000026176,227292.0,Ctdsp1,chr1,74391509,74397285,1
355,1204,chr1,74390347,74390961,2.53486,1.02942,362,614,ENSMUSG00000026176,227292.0,Ctdsp1,chr1,74391509,74397285,1
356,1217,chr1,74713119,74713417,3.01236,1.47739,126,298,ENSMUSG00000026170,104086.0,Cyp27a1,chr1,74713574,74737892,1
360,1219,chr1,74764598,74764788,3.04614,1.37254,51,190,ENSMUSG00000098351,,Gm27507,chr1,74764798,74764890,1
362,1220,chr1,74769253,74770985,3.64002,3.83732,1575,1732,ENSMUSG00000033227,22420.0,Wnt6,chr1,74771892,74785322,1
363,1220,chr1,74771123,74771761,2.75765,0.96265,515,638,ENSMUSG00000033227,22420.0,Wnt6,chr1,74771892,74785322,1
364,1220,chr1,74772387,74772957,5.21316,5.93886,422,570,ENSMUSG00000033227,22420.0,Wnt6,chr1,74771892,74785322,1
368,1221,chr1,74778861,74779240,2.47347,0.57291,250,379,ENSMUSG00000099472,,Gm29539,chr1,74774943,74777405,-1
372,1222,chr1,74788364,74790198,2.77168,1.42795,1522,1834,ENSMUSG00000026167,22409.0,Wnt10a,chr1,74791516,74804179,1
373,1222,chr1,74790265,74791130,3.89439,3.99887,453,865,ENSMUSG00000026167,22409.0,Wnt10a,chr1,74791516,74804179,1
374,1222,chr1,74791244,74792661,3.24532,2.81945,1175,1417,ENSMUSG00000026167,22409.0,Wnt10a,chr1,74791516,74804179,1
396,1225,chr1,74884910,74886170,3.16186,1.91092,278,1260,ENSMUSG00000055197,260298.0,Fev,chr1,74881509,74885419,-1
397,1225,chr1,74886254,74888768,5.36984,7.50043,572,2514,ENSMUSG00000055197,260298.0,Fev,chr1,74881509,74885419,-1
401,1226,chr1,74892142,74893642,5.04671,5.34879,997,1500,ENSMUSG00000006546,12958.0,Cryba2,chr1,74889934,74893143,-1
402,1226,chr1,74894096,74894361,3.57819,3.16050,73,265,ENSMUSG00000006546,12958.0,Cryba2,chr1,74889934,74893143,-1
403,1226,chr1,74894411,74895063,3.78831,3.81245,159,652,ENSMUSG00000006546,12958.0,Cryba2,chr1,74889934,74893143,-1
409,1228,chr1,74899583,74900154,5.04836,6.78593,77,571,ENSMUSG00000089653,,Gm15841,chr1,74902371,74907653,1
410,1227,chr1,74900944,74901768,2.78170,1.91403,715,824,ENSMUSG00000065616,,Mir375,chr1,74900658,74900721,-1
410,1228,chr1,74900944,74901768,2.78170,1.91403,715,824,ENSMUSG00000089653,,Gm15841,chr1,74902371,74907653,1
411,1227,chr1,74901943,74903456,4.79604,5.45229,426,1513,ENSMUSG00000065616,,Mir375,chr1,74900658,74900721,-1
411,1228,chr1,74901943,74903456,4.79604,5.45229,426,1513,ENSMUSG00000089653,,Gm15841,chr1,74902371,74907653,1
423,1229,chr1,74936206,74936627,2.94711,1.40834,382,421,ENSMUSG00000047021,241116.0,Cfap65,chr1,74902071,74935599,-1
424,1229,chr1,74937106,74937414,3.68388,2.48591,233,308,ENSMUSG00000047021,241116.0,Cfap65,chr1,74902071,74935599,-1
432,1230,chr1,74950409,74951370,2.25638,0.88359,108,961,ENSMUSG00000006538,16147.0,Ihh,chr1,74945315,74951672,-1
433,1230,chr1,74951415,74954425,6.17049,9.14419,1726,3010,ENSMUSG00000006538,16147.0,Ihh,chr1,74945315,74951672,-1
433,1231,chr1,74951415,74954425,6.17049,9.14419,1726,3010,ENSMUSG00000103145,,Gm37744,chr1,74954252,74955841,1
439,1244,chr1,75219427,75219734,2.63743,0.67470,128,307,ENSMUSG00000026202,22145.0,Tuba4a,chr1,75214228,75219865,-1
440,1244,chr1,75219892,75221670,4.93639,7.02076,793,1778,ENSMUSG00000026202,22145.0,Tuba4a,chr1,75214228,75219865,-1
445,1253,chr1,75358714,75359766,4.48584,4.90350,641,1052,ENSMUSG00000026208,13346.0,Des,chr1,75360329,75368579,1
446,1253,chr1,75360075,75360763,4.09608,3.58018,176,688,ENSMUSG00000026208,13346.0,Des,chr1,75360329,75368579,1
449,1254,chr1,75374634,75375080,2.99045,1.14611,346,446,ENSMUSG00000085653,,Gm15179,chr1,75368212,75375012,-1
449,1255,chr1,75374634,75375080,2.99045,1.14611,346,446,ENSMUSG00000026207,11790.0,Speg,chr1,75375297,75432320,1
450,1254,chr1,75375298,75375530,2.61568,0.64526,155,232,ENSMUSG00000085653,,Gm15179,chr1,75368212,75375012,-1
450,1255,chr1,75375298,75375530,2.61568,0.64526,155,232,ENSMUSG00000026207,11790.0,Speg,chr1,75375297,75432320,1
451,1254,chr1,75375655,75376283,3.71584,3.16996,438,628,ENSMUSG00000085653,,Gm15179,chr1,75368212,75375012,-1
451,1255,chr1,75375655,75376283,3.71584,3.16996,438,628,ENSMUSG00000026207,11790.0,Speg,chr1,75375297,75432320,1
481,1284,chr1,77974160,77974517,2.85502,0.94825,152,357,ENSMUSG00000102052,,Gm28387,chr1,77942966,77972376,-1
546,1285,chr1,78197414,78198148,2.45592,0.66747,675,734,ENSMUSG00000004872,18505.0,Pax3,chr1,78101267,78197134,-1
547,1285,chr1,78198426,78198713,2.43377,0.72864,146,287,ENSMUSG00000004872,18505.0,Pax3,chr1,78101267,78197134,-1
548,1285,chr1,78199221,78199895,5.48609,7.86419,458,674,ENSMUSG00000004872,18505.0,Pax3,chr1,78101267,78197134,-1
564,1286,chr1,78217479,78217725,2.97342,0.94825,157,246,ENSMUSG00000118426,,Gm2102,chr1,78216732,78217476,-1
565,1286,chr1,78218105,78218549,3.00850,2.33046,139,444,ENSMUSG00000118426,,Gm2102,chr1,78216732,78217476,-1
566,1286,chr1,78218882,78219362,4.02710,3.99006,248,480,ENSMUSG00000118426,,Gm2102,chr1,78216732,78217476,-1
567,1286,chr1,78219534,78221082,5.46003,6.95855,282,1548,ENSMUSG00000118426,,Gm2102,chr1,78216732,78217476,-1
570,1287,chr1,78309106,78309617,3.67575,2.66673,119,511,ENSMUSG00000032908,433323.0,Sgpp2,chr1,78310345,78420289,1
571,1287,chr1,78309876,78310415,3.53690,2.23696,282,539,ENSMUSG00000032908,433323.0,Sgpp2,chr1,78310345,78420289,1
574,1308,chr1,79672129,79672438,3.78853,2.81945,188,309,ENSMUSG00000054702,252903.0,Ap1s3,chr1,79606876,79671972,-1
575,1308,chr1,79672638,79672957,3.66272,2.23696,115,319,ENSMUSG00000054702,252903.0,Ap1s3,chr1,79606876,79671972,-1
576,1308,chr1,79673046,79673645,3.86276,2.98592,253,599,ENSMUSG00000054702,252903.0,Ap1s3,chr1,79606876,79671972,-1
577,1308,chr1,79673825,79674040,2.44339,1.12958,51,215,ENSMUSG00000054702,252903.0,Ap1s3,chr1,79606876,79671972,-1
581,1348,chr1,82586113,82586698,3.66272,2.23696,460,585,ENSMUSG00000067158,12829.0,Col4a4,chr1,82448423,82586849,-1
581,1349,chr1,82586113,82586698,3.66272,2.23696,460,585,ENSMUSG00000079465,12828.0,Col4a3,chr1,82586921,82722059,1
582,1348,chr1,82588642,82588839,2.65618,0.26357,94,197,ENSMUSG00000067158,12829.0,Col4a4,chr1,82448423,82586849,-1
587,1351,chr1,82722326,82722657,3.53690,2.23696,236,331,ENSMUSG00000026150,75734.0,Mff,chr1,82724890,82752394,1
588,1351,chr1,82722775,82723230,4.54344,4.70871,154,455,ENSMUSG00000026150,75734.0,Mff,chr1,82724890,82752394,1
589,1448,chr1,86016877,86017233,2.94331,1.06037,294,356,ENSMUSG00000099342,,Gm18180,chr1,86014403,86015886,-1
589,1449,chr1,86016877,86017233,2.94331,1.06037,294,356,ENSMUSG00000026226,70060.0,Spata3,chr1,86016816,86029958,1
591,1450,chr1,86044561,86045357,4.45990,4.92925,599,796,ENSMUSG00000026227,72792.0,2810459M11Rik,chr1,86045863,86055456,1
594,1457,chr1,86302114,86302565,4.95665,5.52877,200,451,ENSMUSG00000087538,,Gm16341,chr1,86275509,86301375,-1
594,1458,chr1,86302114,86302565,4.95665,5.52877,200,451,ENSMUSG00000079445,227327.0,B3gnt7,chr1,86302832,86307305,1
595,1457,chr1,86302745,86302986,3.19110,1.40834,158,241,ENSMUSG00000087538,,Gm16341,chr1,86275509,86301375,-1
595,1458,chr1,86302745,86302986,3.19110,1.40834,158,241,ENSMUSG00000079445,227327.0,B3gnt7,chr1,86302832,86307305,1
596,1459,chr1,86304539,86305413,4.23551,4.05223,502,874,ENSMUSG00000099644,,Gm28626,chr1,86303195,86304059,-1
605,1499,chr1,87156393,87156920,3.10976,3.29827,215,527,ENSMUSG00000026247,13599.0,Ecel1,chr1,87147655,87156521,-1
606,1499,chr1,87157228,87158233,4.60882,5.74183,524,1005,ENSMUSG00000026247,13599.0,Ecel1,chr1,87147655,87156521,-1
608,1500,chr1,87183446,87184348,3.13656,1.86704,752,902,ENSMUSG00000036480,69453.0,Prss56,chr1,87183313,87188405,1
612,1501,chr1,87187790,87188843,3.80229,3.06550,364,1053,ENSMUSG00000026251,11447.0,Chrnd,chr1,87190607,87200070,1
616,1505,chr1,87262247,87262579,2.94790,1.57406,102,332,ENSMUSG00000026255,98363.0,Efhd1,chr1,87264363,87310839,1
617,1505,chr1,87263356,87263639,3.14024,1.67930,51,283,ENSMUSG00000026255,98363.0,Efhd1,chr1,87264363,87310839,1
618,1505,chr1,87263856,87264080,3.69878,2.75634,107,224,ENSMUSG00000026255,98363.0,Efhd1,chr1,87264363,87310839,1
619,1505,chr1,87264363,87265127,3.23129,2.35875,393,764,ENSMUSG00000026255,98363.0,Efhd1,chr1,87264363,87310839,1
619,1506,chr1,87264363,87265127,3.23129,2.35875,393,764,ENSMUSG00000089821,,Efhd1os,chr1,87264481,87265174,-1
