peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,11,chr1,3670909,3671487,3.08998,6.43977,169,578,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,11,chr1,3671812,3672653,3.72786,10.46683,458,841,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
9,19,chr1,4496346,4497890,3.57549,10.13427,930,1544,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
9,20,chr1,4496346,4497890,3.57549,10.13427,930,1544,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
14,26,chr1,4689047,4689366,2.32335,3.02293,220,319,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
16,32,chr1,4786359,4786840,2.73644,4.71636,168,481,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
20,35,chr1,4855473,4856050,3.72786,10.46683,437,577,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
21,35,chr1,4856353,4856601,2.36415,4.09538,90,248,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
24,40,chr1,4969567,4969797,2.67420,4.88342,133,230,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
25,40,chr1,4969929,4970401,3.17103,6.93173,190,472,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
26,40,chr1,4970598,4970959,2.91101,6.10079,260,361,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
30,47,chr1,5588499,5589267,3.64524,9.88509,122,768,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
31,51,chr1,5916382,5917721,4.71927,16.80266,322,1339,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
32,51,chr1,5917794,5917973,2.73644,4.71636,122,179,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
34,54,chr1,6215484,6216823,4.05833,12.25966,754,1339,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
36,55,chr1,6358799,6359631,3.48000,8.75073,142,832,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
37,58,chr1,6441002,6441375,3.06691,6.61763,223,373,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
41,67,chr1,7087843,7088264,2.68318,5.19586,109,421,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
49,95,chr1,9298709,9300260,5.21498,21.04064,692,1551,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
50,95,chr1,9300410,9300657,2.24073,2.66068,127,247,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
52,102,chr1,9547174,9548867,4.96713,18.88577,1130,1693,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
60,107,chr1,9699320,9699718,2.98429,6.13490,257,398,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
61,107,chr1,9699811,9700099,2.98429,6.13490,181,288,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
62,107,chr1,9701079,9701439,2.73644,4.71636,108,360,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
64,108,chr1,9744698,9745169,3.81047,11.06065,301,471,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
65,108,chr1,9745303,9747615,7.77614,43.08859,1864,2312,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
71,113,chr1,9908829,9909170,2.59656,4.09827,251,341,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
72,114,chr1,9942163,9943208,3.56262,9.31165,718,1045,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
73,114,chr1,9944481,9944699,3.20398,7.98114,141,218,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
73,115,chr1,9944481,9944699,3.20398,7.98114,141,218,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
76,116,chr1,9967107,9968336,2.98429,6.13490,307,1229,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
76,117,chr1,9967107,9968336,2.98429,6.13490,307,1229,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
78,119,chr1,10008507,10009844,4.88451,18.18284,405,1337,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
78,120,chr1,10008507,10009844,4.88451,18.18284,405,1337,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
80,121,chr1,10035940,10036213,2.55510,3.80270,122,273,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
81,121,chr1,10036279,10037263,6.61949,32.75204,705,984,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
82,122,chr1,10038893,10039826,4.40213,18.90264,284,933,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
83,122,chr1,10040245,10041210,3.98159,11.97509,642,965,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
86,126,chr1,10233561,10233884,2.57120,3.83831,225,323,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
92,131,chr1,10719693,10720116,2.79086,5.47892,311,423,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
109,140,chr1,11413542,11413796,2.47742,4.35445,99,254,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
110,140,chr1,11413969,11414215,2.73644,4.71636,141,246,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
111,141,chr1,11414739,11415053,2.29154,4.00425,123,314,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
112,141,chr1,11415230,11415447,2.90167,5.64668,123,217,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
139,150,chr1,12670742,12672271,3.00102,8.04914,273,1529,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
141,151,chr1,12688983,12691416,5.40375,25.57843,548,2433,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
142,151,chr1,12691618,12692716,4.54898,16.46778,232,1098,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
194,152,chr1,12992456,12993243,3.14953,6.61763,377,787,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
207,156,chr1,13126269,13127581,3.97571,11.64771,347,1312,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
208,156,chr1,13127857,13128781,3.48000,8.75073,358,924,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
218,160,chr1,13289851,13290691,4.60358,19.18266,598,840,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
219,160,chr1,13290769,13291231,4.55404,16.13953,265,462,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
220,160,chr1,13291336,13291936,4.80189,17.48649,336,600,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
221,160,chr1,13292183,13292606,3.69519,10.90827,184,423,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
223,161,chr1,13300401,13301307,3.06691,6.61763,574,906,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
240,165,chr1,13374330,13374931,3.39738,8.19902,517,601,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
240,166,chr1,13374330,13374931,3.39738,8.19902,517,601,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
252,169,chr1,13642987,13643367,2.62589,6.39714,235,380,ENSMUSG00000102982,,Gm38319,chr1,13641483,13642748,-1
254,170,chr1,13660624,13661027,3.06691,6.61763,269,403,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
264,174,chr1,13847886,13848861,3.31476,7.66032,759,975,ENSMUSG00000102166,,Gm36947,chr1,13846871,13849119,-1
265,174,chr1,13849011,13849221,2.59656,4.09827,99,210,ENSMUSG00000102166,,Gm36947,chr1,13846871,13849119,-1
291,177,chr1,14181131,14182419,4.14738,16.99581,750,1288,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
292,177,chr1,14183072,14183478,2.38667,3.42178,273,406,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
311,178,chr1,14257182,14257875,2.75818,5.55351,546,693,ENSMUSG00000102588,,Gm37444,chr1,14255552,14255990,-1
