peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
7,20,chr1,4497245,4497675,3.34941,4.47692,238,430,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
19,47,chr1,5588689,5589274,4.61890,8.38586,167,585,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
20,51,chr1,5917340,5917974,3.36265,4.74134,456,634,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
24,54,chr1,6215546,6216890,7.81865,22.63878,921,1344,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
25,55,chr1,6358838,6359336,3.78411,5.32829,319,498,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
34,67,chr1,7087779,7088349,3.98578,7.85501,283,570,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
44,95,chr1,9300269,9300932,4.71075,8.97160,313,663,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
45,102,chr1,9547270,9547791,2.94232,3.73245,307,521,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
46,102,chr1,9547952,9548339,2.42990,2.20805,257,387,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
49,105,chr1,9630158,9631063,3.87286,6.42844,191,905,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
55,108,chr1,9745382,9747511,5.96834,18.36168,1655,2129,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
58,114,chr1,9941763,9943048,4.54573,8.57469,701,1285,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
59,121,chr1,10036295,10036551,3.88111,6.14131,152,256,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
60,121,chr1,10036696,10037379,4.19034,11.00948,334,683,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
61,122,chr1,10038810,10039572,6.23562,16.80814,241,762,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
62,122,chr1,10040316,10041384,4.61890,8.38586,441,1068,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
65,126,chr1,10233744,10233990,2.62929,2.85073,34,246,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
72,151,chr1,12691708,12692621,4.06238,6.51978,187,913,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
89,156,chr1,13128074,13128883,2.62929,2.85073,515,809,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
