peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
5,19,chr1,4495998,4496438,3.92757,8.96131,268,440,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,19,chr1,4496524,4498042,7.25523,24.98791,675,1518,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,20,chr1,4496524,4498042,7.25523,24.98791,675,1518,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
18,32,chr1,4785337,4785664,4.32107,10.42705,166,327,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
19,32,chr1,4785794,4786081,4.12928,7.62848,132,287,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
20,33,chr1,4807468,4808315,13.32314,62.03541,522,847,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
20,34,chr1,4807468,4808315,13.32314,62.03541,522,847,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
21,35,chr1,4856904,4858654,11.31892,67.55009,509,1750,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
23,54,chr1,6214114,6215659,31.38251,216.25119,693,1545,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
24,57,chr1,6382681,6383385,9.17224,34.69912,321,704,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
26,67,chr1,7087886,7088818,14.94228,109.81298,686,932,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
27,67,chr1,7088964,7090054,20.67930,123.62885,210,1090,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
28,74,chr1,7397641,7397935,10.99159,45.88659,143,294,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
29,74,chr1,7398208,7398815,4.96646,15.68247,262,607,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
31,101,chr1,9545441,9546349,5.60580,15.11687,140,908,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
31,102,chr1,9545441,9546349,5.60580,15.11687,140,908,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
32,105,chr1,9629586,9631079,6.65062,21.38004,744,1493,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
33,105,chr1,9631268,9631947,2.57747,2.88222,221,679,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
34,107,chr1,9699901,9701290,8.66004,31.04553,834,1389,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
35,108,chr1,9747442,9748553,20.17821,129.12054,790,1111,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
35,109,chr1,9747442,9748553,20.17821,129.12054,790,1111,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
36,110,chr1,9797734,9798920,7.55753,26.84742,620,1186,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
37,114,chr1,9942842,9943173,2.88071,3.82030,135,331,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
38,114,chr1,9943346,9944099,10.45732,47.41245,580,753,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
38,115,chr1,9943346,9944099,10.45732,47.41245,580,753,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
39,121,chr1,10037369,10040402,15.80717,125.89214,682,3033,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
39,122,chr1,10037369,10040402,15.80717,125.89214,682,3033,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
40,126,chr1,10231856,10233985,18.38220,117.93673,949,2129,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
48,136,chr1,10991173,10991443,3.99694,7.03405,98,270,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
49,136,chr1,10992857,10995086,16.15431,83.07482,826,2229,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
85,160,chr1,13290833,13291201,4.23222,8.72924,259,368,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
86,160,chr1,13291510,13291943,5.55678,14.22857,197,433,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
87,161,chr1,13300441,13301641,4.81187,10.53564,691,1200,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
90,165,chr1,13371848,13374721,46.25207,396.87909,1137,2873,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
90,166,chr1,13371848,13374721,46.25207,396.87909,1137,2873,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
94,168,chr1,13588994,13589967,31.13701,232.45619,673,973,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
95,168,chr1,13590093,13590419,2.83117,2.87247,160,326,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
97,170,chr1,13658164,13661275,7.85288,38.86963,2108,3111,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
105,179,chr1,14309413,14310345,20.17498,117.66638,548,932,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
111,188,chr1,15286612,15287363,5.05160,13.54425,140,751,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
116,195,chr1,15804963,15805520,7.36419,31.09518,360,557,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
117,195,chr1,15805607,15806473,11.34305,71.55040,239,866,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
118,201,chr1,16103790,16106436,49.62870,397.67294,1100,2646,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
118,202,chr1,16103790,16106436,49.62870,397.67294,1100,2646,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
123,204,chr1,16227893,16228394,3.66386,5.73956,355,501,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
124,204,chr1,16228469,16228753,3.66386,5.73956,221,284,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
127,206,chr1,16519752,16520169,3.38110,7.01253,173,417,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
128,207,chr1,16618530,16619306,9.99236,39.35017,365,776,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
128,208,chr1,16618530,16619306,9.99236,39.35017,365,776,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
129,209,chr1,16656180,16658019,33.14132,231.25284,595,1839,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
129,210,chr1,16656180,16658019,33.14132,231.25284,595,1839,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
130,211,chr1,16665128,16665727,8.10920,35.69894,176,599,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
130,212,chr1,16665128,16665727,8.10920,35.69894,176,599,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
131,213,chr1,16687735,16689114,14.20639,96.30000,875,1379,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
132,218,chr1,17097468,17097791,3.99694,7.03405,190,323,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
133,227,chr1,17601922,17602779,6.16112,17.84625,189,857,ENSMUSG00000067780,94227.0,Pi15,chr1,17601901,17630939,1
135,252,chr1,19321037,19322551,6.66157,19.63638,550,1514,ENSMUSG00000101117,,Gm28341,chr1,19320226,19320697,-1
136,260,chr1,20617494,20618144,4.66310,9.83603,440,650,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
137,260,chr1,20618209,20618609,5.19192,14.30724,229,400,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
140,266,chr1,20819891,20820230,4.49656,9.10998,144,339,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
