peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670144,3672744,20.97156,120.29241,1112,2600,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,32,chr1,4784870,4786370,11.91708,67.67139,681,1500,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807350,4808686,13.89178,75.89812,260,1336,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807350,4808686,13.89178,75.89812,260,1336,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4857164,4859125,17.56883,83.55727,1040,1961,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,47,chr1,5588274,5589275,5.50966,11.88957,352,1001,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
12,51,chr1,5916729,5917396,3.95444,7.31349,249,667,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
13,51,chr1,5917486,5917853,4.66763,8.09883,170,367,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6213829,6215954,25.63209,143.91852,1246,2125,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
16,54,chr1,6216172,6216819,3.00154,3.75044,432,647,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
17,55,chr1,6358852,6359685,6.10109,14.53793,482,833,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
18,57,chr1,6382628,6383449,12.55170,49.79737,384,821,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
19,58,chr1,6441093,6441816,11.65578,44.00978,276,723,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
25,67,chr1,7087814,7090042,21.44800,124.43358,782,2228,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
29,74,chr1,7397656,7397933,5.58798,16.10975,153,277,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
30,74,chr1,7398181,7398760,9.26321,31.90402,382,579,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
31,95,chr1,9298257,9300399,14.70190,64.32201,1141,2142,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
32,95,chr1,9300468,9300768,3.21633,3.83714,182,300,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
33,101,chr1,9544859,9545203,3.54606,5.44617,206,344,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
34,101,chr1,9545471,9546224,7.71375,22.79984,389,753,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
34,102,chr1,9545471,9546224,7.71375,22.79984,389,753,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
35,104,chr1,9600900,9602567,9.95770,56.34706,678,1667,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
37,107,chr1,9699413,9701333,8.78885,27.77741,648,1920,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
38,108,chr1,9745415,9746128,4.17481,9.71669,232,713,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
39,108,chr1,9746388,9748466,17.74802,84.87868,1641,2078,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
