peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,11,chr1,3670231,3672767,20.42998,98.41593,963,2536,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
6,32,chr1,4784968,4786339,22.63637,86.49869,584,1371,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807332,4809048,24.53530,96.84139,304,1716,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807332,4809048,24.53530,96.84139,304,1716,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4857230,4859034,20.31545,73.54148,889,1804,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,47,chr1,5588242,5589296,5.72862,12.28449,212,1054,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
14,51,chr1,5916585,5918007,7.44491,15.16830,161,1422,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6213831,6215788,27.48919,113.50973,1016,1957,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
16,54,chr1,6215938,6216599,3.64705,3.20976,520,661,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
18,55,chr1,6358819,6359564,6.12385,11.33913,478,745,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
19,57,chr1,6382641,6383454,13.28278,42.78258,381,813,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
20,58,chr1,6441094,6441895,14.25537,47.77843,388,801,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
26,67,chr1,7087843,7088790,17.75672,66.12717,698,947,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
27,67,chr1,7088833,7090045,14.44989,47.77843,294,1212,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
29,74,chr1,7397673,7397923,12.93072,37.61366,127,250,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
30,74,chr1,7398132,7398775,12.96045,49.34239,356,643,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
32,95,chr1,9298092,9300968,13.35906,55.26476,1184,2876,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
33,101,chr1,9544863,9545207,3.31230,3.22887,239,344,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
34,101,chr1,9545416,9546248,6.42461,15.42880,165,832,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
34,102,chr1,9545416,9546248,6.42461,15.42880,165,832,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
35,102,chr1,9546608,9546853,3.64705,3.20976,103,245,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
36,102,chr1,9547992,9548208,3.01961,3.19403,121,216,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
37,102,chr1,9548423,9548931,2.93346,2.26118,157,508,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
38,104,chr1,9601050,9602781,11.55991,41.18594,717,1731,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
39,107,chr1,9699473,9701346,14.44989,47.77843,1344,1873,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
40,108,chr1,9745472,9745886,3.46792,3.84145,294,414,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
41,108,chr1,9747144,9748431,17.00645,75.60403,919,1287,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
41,109,chr1,9747144,9748431,17.00645,75.60403,919,1287,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
43,110,chr1,9797564,9798793,15.88461,51.63735,768,1229,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
46,113,chr1,9908541,9909077,4.25555,8.63409,200,536,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
47,114,chr1,9942186,9944648,25.59026,102.84647,1711,2462,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
47,115,chr1,9942186,9944648,25.59026,102.84647,1711,2462,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
48,117,chr1,9967850,9968305,3.94586,4.05551,302,455,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
49,119,chr1,10008646,10009419,6.61557,13.52802,380,773,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
49,120,chr1,10008646,10009419,6.61557,13.52802,380,773,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
50,121,chr1,10037283,10038209,16.85083,74.29960,337,926,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
50,122,chr1,10037283,10038209,16.85083,74.29960,337,926,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
51,121,chr1,10038265,10039306,4.31641,7.56012,796,1041,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
51,122,chr1,10038265,10039306,4.31641,7.56012,796,1041,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
52,122,chr1,10039387,10039640,5.53977,10.29291,122,253,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
53,122,chr1,10039767,10040407,14.67222,60.29995,262,640,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
54,126,chr1,10231431,10234075,26.22324,105.87243,1404,2644,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
56,136,chr1,10993238,10994710,17.78354,61.02666,447,1472,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
57,140,chr1,11413506,11414946,11.56504,37.05481,887,1440,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
57,141,chr1,11413506,11414946,11.56504,37.05481,887,1440,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
58,141,chr1,11415056,11415439,3.64935,3.54178,158,383,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
60,151,chr1,12692226,12692559,5.73874,9.97640,154,333,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
67,152,chr1,12990328,12993214,20.71085,77.32829,557,2886,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
69,156,chr1,13128395,13128723,3.15669,2.64897,195,328,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
72,165,chr1,13372599,13374898,24.37037,103.00401,884,2299,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
72,166,chr1,13372599,13374898,24.37037,103.00401,884,2299,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
76,168,chr1,13588882,13589938,26.70459,116.44609,655,1056,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
77,168,chr1,13590077,13590307,5.75698,9.51754,74,230,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
78,170,chr1,13660096,13660951,9.88673,25.20504,211,855,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
79,179,chr1,14309564,14310407,10.62622,36.67719,330,843,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
81,181,chr1,14754937,14756221,11.70813,50.33453,610,1284,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
82,188,chr1,15286014,15288368,23.59229,98.59385,982,2354,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
84,195,chr1,15805108,15805460,4.71284,7.97580,238,352,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
85,195,chr1,15805622,15806586,23.90232,93.85926,385,964,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
86,198,chr1,15892401,15893142,12.93072,37.61366,410,741,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
87,200,chr1,16092677,16093649,21.15942,79.25099,442,972,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
88,201,chr1,16103056,16104317,19.30555,70.90284,896,1261,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
88,202,chr1,16103056,16104317,19.30555,70.90284,896,1261,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
89,201,chr1,16104417,16106578,22.00339,83.58195,474,2161,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
89,202,chr1,16104417,16106578,22.00339,83.58195,474,2161,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
90,206,chr1,16518188,16520632,28.96614,121.22312,1789,2444,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
91,207,chr1,16617255,16617675,5.58684,9.20326,333,420,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
92,207,chr1,16617830,16619871,26.13711,122.32689,1266,2041,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
92,208,chr1,16617830,16619871,26.13711,122.32689,1266,2041,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
93,209,chr1,16656138,16657226,12.96045,49.34239,550,1088,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
93,210,chr1,16656138,16657226,12.96045,49.34239,550,1088,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
94,209,chr1,16657267,16657642,6.12385,11.33913,200,375,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
94,210,chr1,16657267,16657642,6.12385,11.33913,200,375,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
95,211,chr1,16664906,16666096,20.89683,101.18048,584,1190,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
95,212,chr1,16664906,16666096,20.89683,101.18048,584,1190,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
96,213,chr1,16688084,16689091,7.64172,16.93764,445,1007,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
97,218,chr1,17096789,17098140,11.87576,32.76833,733,1351,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
98,219,chr1,17123248,17123593,4.70201,6.15738,174,345,ENSMUSG00000100110,,Gm28783,chr1,17124747,17128956,1
99,220,chr1,17145343,17146063,24.21972,98.29636,222,720,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
102,229,chr1,17727039,17728045,6.14516,19.38397,533,1006,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
102,230,chr1,17727039,17728045,6.14516,19.38397,533,1006,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
103,236,chr1,18057725,18059269,12.48092,64.02139,872,1544,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
103,237,chr1,18057725,18059269,12.48092,64.02139,872,1544,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
106,247,chr1,19102058,19102275,3.18771,2.15439,119,217,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
107,247,chr1,19102641,19103123,2.84546,2.09994,75,482,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
108,247,chr1,19103313,19106129,7.04707,18.17461,1404,2816,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
108,248,chr1,19103313,19106129,7.04707,18.17461,1404,2816,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
109,248,chr1,19106211,19106658,5.75698,9.51754,273,447,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
110,248,chr1,19106823,19108390,5.70621,11.12488,1394,1567,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
119,250,chr1,19207120,19207950,5.12400,6.95943,587,830,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
120,250,chr1,19209240,19210988,7.64172,16.93764,1104,1748,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
139,266,chr1,20819876,20820267,4.28003,4.61756,249,391,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
139,267,chr1,20819876,20820267,4.28003,4.61756,249,391,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
140,270,chr1,20889858,20891912,15.24003,54.23643,927,2054,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
140,271,chr1,20889858,20891912,15.24003,54.23643,927,2054,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
142,274,chr1,20950931,20951496,4.03324,7.95605,285,565,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
143,274,chr1,20951554,20952549,13.36214,49.09080,310,995,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
144,275,chr1,21078602,21079951,18.75530,68.79370,1009,1349,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
144,276,chr1,21078602,21079951,18.75530,68.79370,1009,1349,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
146,278,chr1,21218295,21219633,16.30660,54.28336,384,1338,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
148,296,chr1,21960364,21962739,17.33783,60.10806,1256,2375,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
153,300,chr1,22804550,22806678,25.80126,104.34966,1374,2128,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
154,300,chr1,22806776,22807047,3.66801,5.56427,102,271,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
155,305,chr1,23255689,23256146,11.03179,29.23679,288,457,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
156,305,chr1,23256201,23257751,12.10475,39.40175,499,1550,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
161,314,chr1,23760780,23764211,20.10446,73.54148,1810,3431,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
163,315,chr1,23921322,23922697,24.32431,95.34916,829,1375,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
164,316,chr1,24004426,24004780,4.16642,4.80318,240,354,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
165,316,chr1,24004987,24005928,23.90232,93.85926,500,941,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
165,317,chr1,24004987,24005928,23.90232,93.85926,500,941,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
166,318,chr1,24099305,24100529,19.55226,78.31239,655,1224,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
166,319,chr1,24099305,24100529,19.55226,78.31239,655,1224,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
167,318,chr1,24100565,24101124,15.21041,49.37424,176,559,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
167,319,chr1,24100565,24101124,15.21041,49.37424,176,559,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
170,323,chr1,24586273,24587619,11.97982,39.49761,478,1346,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
