peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670476,3672615,21.28641,132.61891,945,2139,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,32,chr1,4785427,4786226,6.99188,22.69402,134,799,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
3,33,chr1,4807452,4808181,8.26391,39.82346,557,729,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
3,34,chr1,4807452,4808181,8.26391,39.82346,557,729,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
4,35,chr1,4857034,4858675,9.82759,45.88669,421,1641,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,54,chr1,6214163,6215684,32.78417,243.01860,647,1521,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
11,57,chr1,6382910,6383201,3.57363,5.61022,141,291,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
18,67,chr1,7087842,7089679,25.63155,210.96544,775,1837,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
19,74,chr1,7397645,7397901,5.59351,14.94261,122,256,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
20,74,chr1,7398146,7398714,9.63326,39.38420,321,568,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
21,95,chr1,9298587,9299890,6.37038,19.14002,777,1303,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
22,101,chr1,9545468,9545993,5.12738,12.56903,255,525,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
22,102,chr1,9545468,9545993,5.12738,12.56903,255,525,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
25,104,chr1,9601119,9602497,5.90531,20.20796,480,1378,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
26,105,chr1,9630472,9630726,3.46061,5.33636,100,254,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
28,107,chr1,9699817,9701108,5.12738,12.56903,1008,1291,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
29,108,chr1,9747486,9748468,16.31440,89.82147,707,982,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
29,109,chr1,9747486,9748468,16.31440,89.82147,707,982,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
30,110,chr1,9798135,9798624,4.66126,10.31720,175,489,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
31,114,chr1,9942845,9943531,3.26677,5.46754,130,686,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
32,114,chr1,9943652,9944130,14.04310,74.26926,291,478,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
32,115,chr1,9943652,9944130,14.04310,74.26926,291,478,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
33,121,chr1,10037370,10038225,19.11115,113.44802,689,855,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
33,122,chr1,10037370,10038225,19.11115,113.44802,689,855,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
34,121,chr1,10038310,10038512,3.41825,5.00968,119,202,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
34,122,chr1,10038310,10038512,3.41825,5.00968,119,202,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
35,122,chr1,10039239,10040426,19.42190,116.14505,710,1187,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
36,126,chr1,10231454,10233550,20.46707,129.99463,1432,2096,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
38,136,chr1,10993436,10993970,4.22801,11.73296,197,534,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
39,140,chr1,11413901,11414533,2.56065,2.84921,319,632,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
39,141,chr1,11413901,11414533,2.56065,2.84921,319,632,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
45,151,chr1,12692047,12693597,7.02155,23.70425,1089,1550,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
52,152,chr1,12990385,12993222,20.19878,122.95062,1876,2837,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
57,160,chr1,13290236,13290629,2.60185,3.25070,33,393,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
59,165,chr1,13371988,13374660,36.66855,283.07053,973,2672,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
59,166,chr1,13371988,13374660,36.66855,283.07053,973,2672,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
61,168,chr1,13589072,13589977,17.34258,129.02443,445,905,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
62,170,chr1,13660134,13660539,4.91380,12.99702,211,405,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
65,177,chr1,14181130,14182357,6.68822,23.60164,866,1227,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
70,179,chr1,14308294,14310695,19.57728,117.49960,1602,2401,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
74,188,chr1,15286267,15287902,11.81062,66.69049,741,1635,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
75,195,chr1,15805129,15805509,2.78724,4.89256,173,380,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
76,195,chr1,15805596,15806462,14.33001,79.62926,178,866,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
77,201,chr1,16103976,16106190,34.33792,258.89529,911,2214,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
77,202,chr1,16103976,16106190,34.33792,258.89529,911,2214,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
79,206,chr1,16518565,16520285,18.37554,111.10329,1363,1720,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
80,207,chr1,16618341,16619334,5.96257,23.65488,583,993,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
80,208,chr1,16618341,16619334,5.96257,23.65488,583,993,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
81,208,chr1,16619462,16619772,2.76419,3.37895,163,310,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
82,209,chr1,16656231,16658007,12.80116,70.87550,537,1776,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
82,210,chr1,16656231,16658007,12.80116,70.87550,537,1776,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
83,211,chr1,16664973,16665675,12.58539,60.45859,428,702,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
83,212,chr1,16664973,16665675,12.58539,60.45859,428,702,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
84,213,chr1,16688288,16689077,5.58687,19.51715,247,789,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
85,220,chr1,17145399,17145648,4.03976,7.52338,112,249,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
87,229,chr1,17727270,17727817,4.97201,11.80359,409,547,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
87,230,chr1,17727270,17727817,4.97201,11.80359,409,547,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
92,250,chr1,19208734,19213590,9.16714,36.27221,1218,4856,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
103,270,chr1,20890075,20891133,8.21671,31.24416,627,1058,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
103,271,chr1,20890075,20891133,8.21671,31.24416,627,1058,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
107,274,chr1,20950953,20952446,9.91207,41.99688,1073,1493,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
115,275,chr1,21078910,21079263,3.72901,6.23088,138,353,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
115,276,chr1,21078910,21079263,3.72901,6.23088,138,353,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
116,275,chr1,21079403,21079912,7.16176,28.84863,179,509,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
116,276,chr1,21079403,21079912,7.16176,28.84863,179,509,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
117,278,chr1,21218611,21219057,3.66366,7.02683,110,446,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
118,296,chr1,21961362,21961771,3.64025,6.24289,195,409,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
122,300,chr1,22805249,22806639,9.16714,36.27221,679,1390,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
123,305,chr1,23255765,23256073,5.28276,13.34772,191,308,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
124,305,chr1,23256229,23257185,17.24665,97.55815,478,956,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
126,314,chr1,23761667,23762855,3.46913,7.37171,488,1188,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
127,315,chr1,23921582,23922695,18.33428,106.76258,573,1113,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
128,316,chr1,24005056,24005938,10.55417,55.70511,451,882,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
128,317,chr1,24005056,24005938,10.55417,55.70511,451,882,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
129,318,chr1,24099578,24100296,9.46466,40.61231,507,718,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
129,319,chr1,24099578,24100296,9.46466,40.61231,507,718,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
130,318,chr1,24100528,24100882,7.11306,26.32842,161,354,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
130,319,chr1,24100528,24100882,7.11306,26.32842,161,354,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
134,332,chr1,24678284,24679273,8.85639,34.23357,504,989,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
145,360,chr1,25829349,25831344,11.96389,55.84235,659,1995,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
145,361,chr1,25829349,25831344,11.96389,55.84235,659,1995,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
147,391,chr1,30872740,30874512,36.04705,276.58170,651,1772,ENSMUSG00000048874,213109.0,Phf3,chr1,30802339,30873921,-1
148,392,chr1,30948448,30950795,25.16021,252.01973,1613,2347,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
148,393,chr1,30948448,30950795,25.16021,252.01973,1613,2347,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
149,392,chr1,30950880,30951101,2.48600,1.89390,117,221,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
149,393,chr1,30950880,30951101,2.48600,1.89390,117,221,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
150,411,chr1,32172739,32173247,8.07951,29.27621,172,508,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
158,437,chr1,33669556,33670955,9.16714,36.27221,596,1399,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
158,438,chr1,33669556,33670955,9.16714,36.27221,596,1399,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
159,440,chr1,33719627,33720541,12.85823,70.36970,460,914,ENSMUSG00000004768,19335.0,Rab23,chr1,33719887,33742564,1
160,442,chr1,33757367,33758028,5.12738,12.56903,250,661,ENSMUSG00000042215,213539.0,Bag2,chr1,33745484,33757795,-1
161,443,chr1,33813148,33814597,21.59715,135.41025,980,1449,ENSMUSG00000042197,98403.0,Zfp451,chr1,33761545,33814595,-1
162,446,chr1,33907273,33907745,4.97201,11.80359,378,472,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
162,447,chr1,33907273,33907745,4.97201,11.80359,378,472,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
163,446,chr1,33907818,33908168,7.76876,27.35000,135,350,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
163,447,chr1,33907818,33908168,7.76876,27.35000,135,350,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
164,446,chr1,33908231,33908586,3.82525,6.72605,162,355,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
164,447,chr1,33908231,33908586,3.82525,6.72605,162,355,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
181,459,chr1,34432572,34433599,7.19147,24.20942,511,1027,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
181,460,chr1,34432572,34433599,7.19147,24.20942,511,1027,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
182,459,chr1,34433800,34434493,5.12738,12.56903,190,693,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
182,460,chr1,34433800,34434493,5.12738,12.56903,190,693,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
183,459,chr1,34434914,34435704,11.49777,52.43990,190,790,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
183,460,chr1,34434914,34435704,11.49777,52.43990,190,790,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
184,461,chr1,34439916,34440223,5.45977,16.06689,141,307,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
184,462,chr1,34439916,34440223,5.45977,16.06689,141,307,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
185,472,chr1,34578955,34580352,9.16714,36.27221,860,1397,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
185,473,chr1,34578955,34580352,9.16714,36.27221,860,1397,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
193,481,chr1,34801406,34802632,10.33832,46.94247,411,1226,ENSMUSG00000118272,,Arhgef4,chr1,34801794,34801964,1
196,484,chr1,34842103,34843901,18.94348,117.19696,757,1798,ENSMUSG00000037503,214469.0,Fam168b,chr1,34813219,34843065,-1
197,485,chr1,34849726,34850455,3.72901,6.23088,369,729,ENSMUSG00000026123,226971.0,Plekhb2,chr1,34849976,34879580,1
