peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670281,3672735,36.55190,264.12576,1157,2454,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,32,chr1,4785310,4786209,7.67757,25.25016,285,899,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
3,33,chr1,4807410,4808382,10.29591,48.22773,185,972,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
3,34,chr1,4807410,4808382,10.29591,48.22773,185,972,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
4,35,chr1,4857030,4858778,13.85300,65.87597,1103,1748,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
5,40,chr1,4970129,4970465,3.50498,5.08763,136,336,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
12,54,chr1,6214138,6215664,39.72307,295.50812,690,1526,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,57,chr1,6382812,6383278,5.34092,12.90285,211,466,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
14,58,chr1,6441234,6441537,3.67188,5.70835,152,303,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
27,67,chr1,7087812,7089956,36.41069,285.09671,788,2144,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
28,74,chr1,7397658,7397900,4.84021,10.57582,112,242,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
29,74,chr1,7398120,7398735,10.34803,41.64864,345,615,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
34,95,chr1,9298207,9300338,15.18823,75.75002,1073,2131,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
35,101,chr1,9545448,9545982,5.00711,11.33688,143,534,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
35,102,chr1,9545448,9545982,5.00711,11.33688,143,534,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
37,104,chr1,9601068,9602480,6.14873,21.15277,492,1412,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
40,107,chr1,9699982,9700281,2.83736,2.83319,201,299,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
41,108,chr1,9747382,9748461,20.19534,115.31693,869,1079,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
41,109,chr1,9747382,9748461,20.19534,115.31693,869,1079,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
42,114,chr1,9943614,9944163,13.92174,71.92165,304,549,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
42,115,chr1,9943614,9944163,13.92174,71.92165,304,549,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
43,114,chr1,9944289,9944565,4.32923,9.53730,146,276,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
43,115,chr1,9944289,9944565,4.32923,9.53730,146,276,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
44,121,chr1,10037391,10038223,24.70174,153.73163,647,832,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
44,122,chr1,10037391,10038223,24.70174,153.73163,647,832,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
45,121,chr1,10038334,10038639,3.33807,4.48895,145,305,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
45,122,chr1,10038334,10038639,3.33807,4.48895,145,305,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
46,122,chr1,10038983,10040377,21.85645,132.90129,969,1394,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
47,126,chr1,10231793,10233455,23.53341,143.54987,1046,1662,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
50,136,chr1,10993649,10994179,4.13062,8.14514,100,530,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
57,152,chr1,12990049,12993267,22.10928,164.95164,2114,3218,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
65,160,chr1,13289900,13290521,2.56176,2.81210,124,621,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
68,165,chr1,13372568,13374808,38.55474,283.86707,422,2240,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
68,166,chr1,13372568,13374808,38.55474,283.86707,422,2240,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
70,168,chr1,13589074,13589986,26.70458,171.51205,644,912,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
71,177,chr1,14181262,14182214,5.99809,18.20667,274,952,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
72,179,chr1,14309384,14310341,6.83135,27.39559,510,957,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
73,188,chr1,15286037,15288071,17.54881,102.06650,683,2034,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
75,195,chr1,15805114,15805465,8.17828,28.16032,185,351,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
76,195,chr1,15805613,15806459,19.02702,105.76253,200,846,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
77,200,chr1,16092948,16093642,4.67330,9.82940,132,694,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
78,201,chr1,16103713,16106334,50.73871,409.26660,1170,2621,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
78,202,chr1,16103713,16106334,50.73871,409.26660,1170,2621,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
82,206,chr1,16518575,16520593,30.71027,208.21487,1342,2018,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
84,207,chr1,16618374,16619870,9.71398,38.62934,757,1496,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
84,208,chr1,16618374,16619870,9.71398,38.62934,757,1496,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
85,209,chr1,16656162,16658043,20.05739,115.78476,578,1881,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
85,210,chr1,16656162,16658043,20.05739,115.78476,578,1881,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
86,211,chr1,16664919,16665792,9.94263,48.85785,389,873,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
86,212,chr1,16664919,16665792,9.94263,48.85785,389,873,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
87,213,chr1,16688417,16689047,4.88678,11.03077,186,630,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
88,220,chr1,17145393,17145865,5.67472,14.52426,140,472,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
89,236,chr1,18058219,18058732,2.96184,3.80449,363,513,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
89,237,chr1,18058219,18058732,2.96184,3.80449,363,513,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
97,247,chr1,19102354,19109552,10.05581,56.50079,2168,7198,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
97,248,chr1,19102354,19109552,10.05581,56.50079,2168,7198,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
100,250,chr1,19207167,19207863,4.17259,7.68835,537,696,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
101,250,chr1,19208755,19213743,12.97566,69.58595,1247,4988,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
111,251,chr1,19239963,19241615,4.50640,9.09863,1406,1652,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
131,270,chr1,20889974,20891487,7.84945,32.82242,797,1513,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
131,271,chr1,20889974,20891487,7.84945,32.82242,797,1513,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
136,274,chr1,20950868,20952614,16.02275,82.07935,953,1746,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
140,275,chr1,21079330,21079918,9.68041,37.35888,360,588,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
140,276,chr1,21079330,21079918,9.68041,37.35888,360,588,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
