peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670300,3672669,13.35200,66.31177,973,2369,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,32,chr1,4784646,4786323,11.02317,49.10180,921,1677,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
4,33,chr1,4807392,4808840,13.18222,79.21871,618,1448,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
4,34,chr1,4807392,4808840,13.18222,79.21871,618,1448,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
5,35,chr1,4857065,4859008,20.80429,128.09010,1045,1943,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
8,47,chr1,5588200,5589200,3.51526,6.56580,423,1000,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
9,51,chr1,5916536,5917763,3.58270,5.81716,156,1227,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
10,54,chr1,6213250,6215888,19.40698,115.86002,1892,2638,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
11,55,chr1,6358835,6359475,5.74447,15.77563,421,640,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
12,57,chr1,6382759,6383401,8.69433,33.25915,293,642,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
13,58,chr1,6441079,6441759,13.63871,77.25674,301,680,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
17,67,chr1,7087851,7088834,9.96358,47.57917,733,983,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
18,67,chr1,7088971,7090034,11.64419,53.56734,153,1063,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
21,74,chr1,7397666,7397934,5.12344,12.57219,155,268,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
22,74,chr1,7398343,7398708,7.60754,26.43337,201,365,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
23,95,chr1,9298354,9300303,6.52075,20.04018,1104,1949,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
24,101,chr1,9544816,9545098,4.50078,10.81416,142,282,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
25,101,chr1,9545345,9546741,8.69433,33.25915,509,1396,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
25,102,chr1,9545345,9546741,8.69433,33.25915,509,1396,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
26,102,chr1,9548042,9548474,3.26037,4.35215,61,432,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
27,104,chr1,9600918,9602581,6.04758,22.78273,625,1663,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
28,107,chr1,9699389,9701329,10.46696,59.12245,662,1940,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
29,108,chr1,9745439,9748483,17.23340,97.38198,2665,3044,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
29,109,chr1,9745439,9748483,17.23340,97.38198,2665,3044,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
30,110,chr1,9797731,9799021,14.59405,75.95681,627,1290,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
32,113,chr1,9908559,9908926,3.41563,4.94168,194,367,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
33,114,chr1,9942129,9944190,19.09647,113.17967,1774,2061,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
33,115,chr1,9942129,9944190,19.09647,113.17967,1774,2061,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
34,114,chr1,9944251,9944645,3.64080,7.17027,246,394,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
34,115,chr1,9944251,9944645,3.64080,7.17027,246,394,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
35,116,chr1,9967003,9968266,4.34716,8.86698,1142,1263,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
35,117,chr1,9967003,9968266,4.34716,8.86698,1142,1263,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
36,119,chr1,10008774,10009295,4.00793,10.40832,170,521,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
37,121,chr1,10036937,10040593,18.47545,107.85664,3029,3656,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
37,122,chr1,10036937,10040593,18.47545,107.85664,3029,3656,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
38,126,chr1,10231458,10233912,17.58259,101.74128,1388,2454,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
39,136,chr1,10993216,10994898,10.04359,51.45137,497,1682,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
40,140,chr1,11413874,11415006,5.33430,21.61508,556,1132,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
40,141,chr1,11413874,11415006,5.33430,21.61508,556,1132,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
41,151,chr1,12692305,12693707,4.17981,8.42491,1110,1402,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
46,152,chr1,12990355,12993191,13.66252,68.69547,1841,2836,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
49,160,chr1,13289845,13290059,3.97519,7.33638,121,214,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
50,165,chr1,13371917,13374802,24.21991,159.01927,1504,2885,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
50,166,chr1,13371917,13374802,24.21991,159.01927,1504,2885,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
53,168,chr1,13588941,13589882,13.49075,88.21880,586,941,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
54,170,chr1,13660022,13660870,7.98559,30.08137,326,848,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
58,179,chr1,14308222,14310418,11.64419,53.56734,1623,2196,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
61,181,chr1,14755096,14756208,8.73449,36.11635,462,1112,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
62,185,chr1,14918749,14918953,3.57088,5.55129,91,204,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
63,188,chr1,15286105,15287954,12.36724,62.52814,950,1849,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
64,195,chr1,15805597,15806669,13.05667,78.05595,222,1072,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
65,198,chr1,15892243,15893127,7.29703,24.55919,374,884,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
66,200,chr1,16092782,16093544,8.45600,35.76021,443,762,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
67,201,chr1,16102974,16104376,16.30186,89.68530,1028,1402,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
67,202,chr1,16102974,16104376,16.30186,89.68530,1028,1402,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
68,201,chr1,16104696,16106933,12.26521,58.12665,949,2237,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
68,202,chr1,16104696,16106933,12.26521,58.12665,949,2237,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
69,206,chr1,16518356,16520401,16.61238,92.23575,634,2045,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
70,207,chr1,16617203,16619861,15.23525,106.16808,1621,2658,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
70,208,chr1,16617203,16619861,15.23525,106.16808,1621,2658,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
71,209,chr1,16655390,16657633,9.02189,52.71118,1170,2243,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
71,210,chr1,16655390,16657633,9.02189,52.71118,1170,2243,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
72,211,chr1,16664973,16666137,19.49660,123.89943,563,1164,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
72,212,chr1,16664973,16666137,19.49660,123.89943,563,1164,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
73,213,chr1,16688053,16689077,3.89961,9.76749,568,1024,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
74,218,chr1,17096604,17098354,7.45228,25.49184,1031,1750,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
75,220,chr1,17145385,17146331,8.07330,29.31025,246,946,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
76,229,chr1,17727098,17728176,6.56828,21.05580,519,1078,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
76,230,chr1,17727098,17728176,6.56828,21.05580,519,1078,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
77,236,chr1,18057683,18059121,9.78112,40.46334,926,1438,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
77,237,chr1,18057683,18059121,9.78112,40.46334,926,1438,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
78,250,chr1,19209238,19211395,7.49171,26.10021,1197,2157,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
88,267,chr1,20819262,20819484,4.65768,10.30682,117,222,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
89,266,chr1,20819824,20820238,8.07330,29.31025,198,414,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
