peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
4,19,chr1,4494305,4495377,3.73175,4.89540,567,1072,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,19,chr1,4496257,4499060,4.06073,5.08199,2671,2803,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496257,4499060,4.06073,5.08199,2671,2803,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,20,chr1,4499108,4499408,5.54037,7.14135,188,300,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,20,chr1,4499756,4499986,5.67854,7.37093,137,230,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
14,51,chr1,5915755,5918089,2.94917,2.16674,722,2334,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,55,chr1,6358721,6359160,3.91319,2.81519,109,439,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
16,55,chr1,6359717,6359878,2.59582,0.34074,100,161,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
17,110,chr1,9796191,9796573,4.73127,4.99780,230,382,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
20,116,chr1,9964650,9964900,3.91319,2.81519,128,250,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
21,116,chr1,9965661,9965881,4.24042,3.53617,82,220,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
22,116,chr1,9966787,9968462,6.53106,9.07774,1235,1675,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
22,117,chr1,9966787,9968462,6.53106,9.07774,1235,1675,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
23,117,chr1,9968711,9969886,4.06073,5.08199,428,1175,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
24,140,chr1,11413561,11413754,3.25872,1.55861,100,193,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
25,141,chr1,11415278,11415642,3.51650,1.87747,212,364,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
46,156,chr1,13126427,13127748,5.59763,8.46797,913,1321,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
47,156,chr1,13127900,13128609,6.04021,8.21596,359,709,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
48,156,chr1,13128650,13128977,5.94450,8.10454,150,327,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
49,156,chr1,13129017,13130003,5.54936,6.55990,505,986,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
66,181,chr1,14755462,14757454,6.36744,9.07774,639,1992,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
67,181,chr1,14757859,14758141,2.70425,1.18414,260,282,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
69,185,chr1,14918822,14918982,3.25872,1.55861,65,160,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
70,198,chr1,15892834,15893017,3.91319,2.81519,117,183,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
71,236,chr1,18057284,18059037,4.89489,4.99780,234,1753,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
71,237,chr1,18057284,18059037,4.89489,4.99780,234,1753,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
72,236,chr1,18059205,18059897,6.69468,9.95047,165,692,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
72,237,chr1,18059205,18059897,6.69468,9.95047,165,692,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
78,247,chr1,19099626,19100951,7.84000,12.68989,141,1325,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
79,247,chr1,19100990,19101842,2.79881,2.75699,387,852,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
80,247,chr1,19101887,19106144,6.25195,13.07291,3660,4257,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
80,248,chr1,19101887,19106144,6.25195,13.07291,3660,4257,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
81,248,chr1,19106239,19106720,5.11706,6.46554,121,481,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
82,248,chr1,19106814,19107171,4.46154,5.11385,127,357,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
83,248,chr1,19107281,19110971,7.86096,14.34969,2756,3690,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
