peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3669962,3672750,46.99448,476.65063,1283,2788,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4496066,4496412,2.82480,3.73209,221,346,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,19,chr1,4496576,4497974,6.44134,28.71695,948,1398,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496576,4497974,6.44134,28.71695,948,1398,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4689102,4689430,5.64961,18.74615,164,328,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
6,32,chr1,4784084,4786814,54.69849,582.30310,1478,2730,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807077,4809288,59.06410,643.72443,955,2211,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807077,4809288,59.06410,643.72443,955,2211,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856837,4859338,53.74113,636.90900,1257,2501,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,47,chr1,5588057,5589297,24.78124,198.90289,545,1240,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
14,51,chr1,5916333,5918064,28.50485,241.93129,831,1731,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6213303,6216570,59.19250,645.54565,1802,3267,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
17,55,chr1,6358724,6359752,33.89766,307.10666,587,1028,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
18,57,chr1,6382597,6383523,34.00180,318.54745,442,926,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
19,58,chr1,6440995,6441868,27.47765,229.88783,416,873,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
24,67,chr1,7087804,7090733,43.78447,433.81552,1403,2929,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
26,74,chr1,7396913,7399026,41.53242,452.42923,881,2113,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
30,95,chr1,9298391,9300722,35.02872,359.37106,1473,2331,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
31,101,chr1,9544411,9548962,55.59729,594.86505,1190,4551,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
31,102,chr1,9544411,9548962,55.59729,594.86505,1190,4551,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
32,104,chr1,9601109,9602118,8.13075,36.43972,515,1009,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
35,107,chr1,9699025,9701623,44.71342,576.36932,943,2598,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
36,108,chr1,9743674,9749091,61.24690,674.78760,4457,5417,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
36,109,chr1,9743674,9749091,61.24690,674.78760,4457,5417,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
38,110,chr1,9797305,9799409,53.15769,560.87506,1042,2104,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
40,113,chr1,9908415,9909193,19.00323,135.99872,332,778,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
41,114,chr1,9941058,9944767,60.99010,671.12195,2863,3709,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
41,115,chr1,9941058,9944767,60.99010,671.12195,2863,3709,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
42,116,chr1,9967048,9968623,29.78885,257.16019,1065,1575,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
42,117,chr1,9967048,9968623,29.78885,257.16019,1065,1575,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
43,119,chr1,10008571,10009696,24.65284,197.45135,497,1125,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
43,120,chr1,10008571,10009696,24.65284,197.45135,497,1125,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
44,121,chr1,10036546,10041199,63.68651,709.74365,3418,4653,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
44,122,chr1,10036546,10041199,63.68651,709.74365,3418,4653,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
45,126,chr1,10231307,10234015,56.71104,630.67999,1256,2708,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
46,136,chr1,10992993,10995135,53.41449,564.43665,682,2142,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
48,140,chr1,11413463,11415113,25.08787,278.35303,968,1650,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
48,141,chr1,11413463,11415113,25.08787,278.35303,968,1650,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
50,151,chr1,12689406,12690057,3.40602,6.59208,117,651,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
51,151,chr1,12691640,12694957,31.71485,280.35001,1393,3317,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
58,152,chr1,12990195,12993106,52.25889,548.44080,2083,2911,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
61,156,chr1,13125134,13127256,9.50162,46.81676,1476,2122,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
62,156,chr1,13127989,13128859,3.53923,13.66001,486,870,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
63,165,chr1,13371304,13375165,63.42971,706.05396,2156,3861,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
63,166,chr1,13371304,13375165,63.42971,706.05396,2156,3861,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
67,168,chr1,13587945,13590629,63.68651,709.74365,1583,2684,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
68,170,chr1,13659473,13661094,53.27988,592.35272,889,1621,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
72,179,chr1,14306380,14310758,28.67185,335.65839,3403,4378,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
75,181,chr1,14754914,14756538,39.02222,416.02213,620,1624,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
76,185,chr1,14918137,14919518,22.08484,168.90764,636,1381,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
77,188,chr1,15286004,15288116,48.39672,511.97656,712,2112,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
78,195,chr1,15805121,15807521,60.21970,660.14185,850,2400,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
79,198,chr1,15892238,15893282,46.48088,469.74677,616,1044,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
80,200,chr1,16092492,16093654,33.25566,299.18649,730,1162,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
82,201,chr1,16102561,16107623,52.06344,574.63623,3359,5062,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
82,202,chr1,16102561,16107623,52.06344,574.63623,3359,5062,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
84,206,chr1,16518183,16520906,58.42210,634.63000,762,2723,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
85,207,chr1,16617101,16619954,66.38291,748.61151,1813,2853,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
85,208,chr1,16617101,16619954,66.38291,748.61151,1813,2853,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
86,209,chr1,16655095,16657968,53.73278,587.67346,1577,2873,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
86,210,chr1,16655095,16657968,53.73278,587.67346,1577,2873,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
87,211,chr1,16664885,16666689,49.94680,622.98480,631,1804,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
87,212,chr1,16664885,16666689,49.94680,622.98480,631,1804,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
88,213,chr1,16687805,16689328,26.61014,264.70822,834,1523,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
89,218,chr1,17094692,17098481,34.82894,438.88745,2881,3789,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
90,220,chr1,17145158,17146273,24.64730,305.30432,314,1115,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
91,229,chr1,17726978,17728201,28.25669,248.18814,696,1223,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
91,230,chr1,17726978,17728201,28.25669,248.18814,696,1223,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
92,236,chr1,18057068,18059145,42.24367,413.52853,1458,2077,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
92,237,chr1,18057068,18059145,42.24367,413.52853,1458,2077,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
94,248,chr1,19103984,19104900,5.13601,15.57045,731,916,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
95,250,chr1,19205709,19206492,9.37322,45.78148,220,783,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
96,250,chr1,19207610,19207977,3.46681,6.54396,98,367,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
97,250,chr1,19208645,19217921,20.92924,156.38536,1307,9276,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
99,251,chr1,19240904,19242066,8.08921,35.76884,474,1162,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
102,266,chr1,20817524,20820887,53.15769,560.87506,2589,3363,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
102,267,chr1,20817524,20820887,53.15769,560.87506,2589,3363,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
104,270,chr1,20889851,20892100,52.00209,544.89709,887,2249,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
104,271,chr1,20889851,20892100,52.00209,544.89709,887,2249,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
105,274,chr1,20951111,20952589,33.51245,302.34961,717,1478,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
107,275,chr1,21076924,21080037,51.23169,534.29144,1997,3113,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
107,276,chr1,21076924,21080037,51.23169,534.29144,1997,3113,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
109,278,chr1,21218310,21219671,44.81168,447.44043,385,1361,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
110,281,chr1,21271371,21272432,8.08921,35.76884,157,1061,ENSMUSG00000099343,,Gm28836,chr1,21250359,21271593,-1
110,282,chr1,21271371,21272432,8.08921,35.76884,157,1061,ENSMUSG00000096375,,Gm7094,chr1,21272403,21272906,1
111,296,chr1,21960185,21962785,50.58968,525.48187,1460,2600,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
113,300,chr1,22805085,22806902,40.65437,473.49924,853,1817,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
114,305,chr1,23255721,23258379,50.08993,580.57861,978,2658,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
116,314,chr1,23761260,23764075,46.35248,468.02377,1171,2815,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
117,315,chr1,23920392,23922877,61.76051,682.12720,1584,2485,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
119,316,chr1,24004481,24006052,47.42408,549.19971,1019,1571,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
119,317,chr1,24004481,24006052,47.42408,549.19971,1019,1571,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
120,318,chr1,24098495,24101431,61.88890,683.96387,1445,2936,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
120,319,chr1,24098495,24101431,61.88890,683.96387,1445,2936,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
123,323,chr1,24586106,24587799,36.59406,340.80829,600,1693,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
124,332,chr1,24677949,24680092,54.82689,584.09460,973,2143,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
127,360,chr1,25827439,25831986,31.99552,341.87775,2479,4547,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
127,361,chr1,25827439,25831986,31.99552,341.87775,2479,4547,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
128,391,chr1,30871832,30874577,45.49960,589.91370,1673,2745,ENSMUSG00000048874,213109.0,Phf3,chr1,30802339,30873921,-1
129,392,chr1,30946656,30950936,61.63210,680.29120,2746,4280,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
129,393,chr1,30946656,30950936,61.63210,680.29120,2746,4280,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
130,411,chr1,32172134,32174203,29.68271,352.21274,760,2069,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
132,438,chr1,33668589,33669032,4.87921,14.04598,314,443,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
133,437,chr1,33669100,33671157,45.61737,552.41266,1068,2057,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
133,438,chr1,33669100,33671157,45.61737,552.41266,1068,2057,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
135,440,chr1,33719503,33721529,60.60490,665.62848,817,2026,ENSMUSG00000004768,19335.0,Rab23,chr1,33719887,33742564,1
136,442,chr1,33756166,33758288,52.00209,544.89709,1451,2122,ENSMUSG00000042215,213539.0,Bag2,chr1,33745484,33757795,-1
137,443,chr1,33812693,33815343,63.16393,725.37805,1449,2650,ENSMUSG00000042197,98403.0,Zfp451,chr1,33761545,33814595,-1
139,446,chr1,33906842,33909472,47.63648,485.30597,1133,2630,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
139,447,chr1,33906842,33909472,47.63648,485.30597,1133,2630,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
146,453,chr1,34177773,34178336,3.08161,4.80443,420,563,ENSMUSG00000096992,,Gm26788,chr1,34165856,34178446,-1
148,459,chr1,34432117,34435684,41.85847,408.48578,2950,3567,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
148,460,chr1,34432117,34435684,41.85847,408.48578,2950,3567,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
149,461,chr1,34438219,34441209,53.54289,566.21906,1865,2990,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
149,462,chr1,34438219,34441209,53.54289,566.21906,1865,2990,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
150,464,chr1,34459026,34460620,46.35248,468.02377,533,1594,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
151,465,chr1,34472361,34473535,36.20886,335.95178,518,1174,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
152,466,chr1,34485323,34486201,11.75231,73.53103,468,878,ENSMUSG00000101223,,4930568A12Rik,chr1,34477167,34485933,-1
155,472,chr1,34578834,34580331,30.68765,267.93124,586,1497,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
