peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670564,3672567,16.68452,95.04426,874,2003,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,32,chr1,4785353,4786269,8.64562,33.63000,604,916,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
4,33,chr1,4807461,4808224,9.25233,37.68858,548,763,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
4,34,chr1,4807461,4808224,9.25233,37.68858,548,763,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
5,35,chr1,4857038,4858674,13.80265,71.36351,476,1636,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
6,40,chr1,4969463,4969833,4.70200,10.75691,212,370,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
7,40,chr1,4969969,4971483,7.29424,25.96238,442,1514,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
14,54,chr1,6214205,6215546,27.48402,234.14267,595,1341,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
15,58,chr1,6441338,6441534,3.48858,5.40322,110,196,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
26,67,chr1,7087875,7089658,30.63885,226.68620,710,1783,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
29,74,chr1,7398132,7398629,5.91542,17.03733,328,497,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
32,95,chr1,9298533,9300255,6.06710,17.87623,725,1722,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
33,101,chr1,9545414,9546051,5.00536,12.25022,145,637,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
33,102,chr1,9545414,9546051,5.00536,12.25022,145,637,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
36,105,chr1,9630133,9630829,3.37666,6.42381,287,696,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
38,107,chr1,9699837,9701322,8.03891,29.69417,313,1485,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
39,108,chr1,9747417,9748473,10.35751,61.80753,794,1056,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
39,109,chr1,9747417,9748473,10.35751,61.80753,794,1056,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
40,110,chr1,9797818,9798529,3.18523,4.24581,600,711,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
41,114,chr1,9942843,9943539,4.05457,8.39285,271,696,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
42,114,chr1,9943638,9944227,11.40816,54.81228,306,589,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
42,115,chr1,9943638,9944227,11.40816,54.81228,306,589,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
43,119,chr1,10008979,10009217,3.48858,5.40322,139,238,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
45,121,chr1,10037551,10038226,18.80801,113.42252,498,675,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
45,122,chr1,10037551,10038226,18.80801,113.42252,498,675,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
46,122,chr1,10039420,10040385,19.56640,120.15662,523,965,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
47,126,chr1,10231773,10233506,10.35751,61.80753,1097,1733,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
48,135,chr1,10920123,10920635,3.05274,5.23502,291,512,ENSMUSG00000088585,,Gm22963,chr1,10921670,10921760,1
49,136,chr1,10993462,10993879,4.09524,8.22563,262,417,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
59,152,chr1,12990484,12992913,15.47110,84.88457,1766,2429,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
64,160,chr1,13290155,13290599,2.73019,2.67832,324,444,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
69,165,chr1,13372077,13374542,36.09924,283.74094,894,2465,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
69,166,chr1,13372077,13374542,36.09924,283.74094,894,2465,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
70,168,chr1,13589003,13589972,24.57175,166.56429,680,969,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
71,170,chr1,13660016,13660448,3.48858,5.40322,302,432,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
75,177,chr1,14181298,14182167,5.55782,15.62140,704,869,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
79,179,chr1,14309350,14310384,21.38653,136.65279,564,1034,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
80,188,chr1,15286313,15287686,8.03891,29.69417,736,1373,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
81,195,chr1,15805124,15806491,14.77211,81.87859,674,1367,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
82,200,chr1,16092966,16093257,3.18523,4.24581,128,291,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
83,201,chr1,16103741,16105891,33.55375,287.18390,1139,2150,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
83,202,chr1,16103741,16105891,33.55375,287.18390,1139,2150,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
88,206,chr1,16519371,16520257,14.25768,74.99617,543,886,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
89,207,chr1,16618625,16619574,6.06393,19.92671,259,949,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
89,208,chr1,16618625,16619574,6.06393,19.92671,259,949,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
90,209,chr1,16656187,16658008,20.02143,124.23714,551,1821,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
90,210,chr1,16656187,16658008,20.02143,124.23714,551,1821,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
91,211,chr1,16664961,16665711,6.97769,31.49237,364,750,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
91,212,chr1,16664961,16665711,6.97769,31.49237,364,750,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
92,213,chr1,16688090,16689103,6.37045,19.58696,474,1013,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
93,218,chr1,17096558,17098062,4.09524,8.22563,1001,1504,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
108,270,chr1,20890081,20891474,7.58387,26.83068,699,1393,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
108,271,chr1,20890081,20891474,7.58387,26.83068,699,1393,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
111,274,chr1,20951111,20952446,8.34226,31.64614,795,1335,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
114,275,chr1,21078866,21079252,3.33690,4.81367,112,386,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
114,276,chr1,21078866,21079252,3.33690,4.81367,112,386,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
115,275,chr1,21079447,21079899,8.33673,32.68761,211,452,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
115,276,chr1,21079447,21079899,8.33673,32.68761,211,452,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
116,278,chr1,21218568,21218915,4.23066,8.87393,110,347,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
118,300,chr1,22805561,22806560,5.46039,14.58890,390,999,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
119,305,chr1,23256204,23257127,17.40476,104.68877,507,923,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
120,306,chr1,23271511,23271886,3.33690,4.81367,323,375,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
125,313,chr1,23574454,23574746,3.48858,5.40322,146,292,ENSMUSG00000099503,,Gm28822,chr1,23574587,23596664,1
126,314,chr1,23761751,23762267,3.50124,5.66525,318,516,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
129,315,chr1,23921616,23922679,16.07781,89.93181,527,1063,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
130,316,chr1,24005180,24005889,9.99419,51.28198,328,709,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
130,317,chr1,24005180,24005889,9.99419,51.28198,328,709,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
131,318,chr1,24099633,24100314,8.49394,32.63397,403,681,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
131,319,chr1,24099633,24100314,8.49394,32.63397,403,681,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
132,318,chr1,24100523,24100855,4.17737,9.29845,202,332,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
132,319,chr1,24100523,24100855,4.17737,9.29845,202,332,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
134,332,chr1,24678068,24678456,2.57852,2.20732,262,388,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
135,332,chr1,24678519,24679150,4.39429,15.03591,443,631,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
149,360,chr1,25829269,25831457,14.10601,73.78048,1240,2188,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
149,361,chr1,25829269,25831457,14.10601,73.78048,1240,2188,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
153,391,chr1,30872668,30874772,38.98111,314.82346,843,2104,ENSMUSG00000048874,213109.0,Phf3,chr1,30802339,30873921,-1
154,392,chr1,30948703,30950911,37.76770,301.65851,1316,2208,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
154,393,chr1,30948703,30950911,37.76770,301.65851,1316,2208,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
155,411,chr1,32172776,32173217,5.00536,12.25022,155,441,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
162,437,chr1,33669517,33669740,3.23410,4.96712,118,223,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
162,438,chr1,33669517,33669740,3.23410,4.96712,118,223,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
163,437,chr1,33669823,33670870,12.58236,63.24994,345,1047,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
163,438,chr1,33669823,33670870,12.58236,63.24994,345,1047,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
164,440,chr1,33719590,33720550,15.77446,87.39928,473,960,ENSMUSG00000004768,19335.0,Rab23,chr1,33719887,33742564,1
165,443,chr1,33813379,33814812,15.62278,86.13992,989,1433,ENSMUSG00000042197,98403.0,Zfp451,chr1,33761545,33814595,-1
166,446,chr1,33907862,33908096,4.09529,7.94797,92,234,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
166,447,chr1,33907862,33908096,4.09529,7.94797,92,234,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
184,459,chr1,34432675,34433637,8.49394,32.63397,517,962,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
184,460,chr1,34432675,34433637,8.49394,32.63397,517,962,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
185,459,chr1,34434239,34434492,4.55032,10.03216,135,253,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
185,460,chr1,34434239,34434492,4.55032,10.03216,135,253,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
186,459,chr1,34434747,34435747,9.06803,37.68858,336,1000,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
186,460,chr1,34434747,34435747,9.06803,37.68858,336,1000,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
187,461,chr1,34439101,34439322,3.48858,5.40322,111,221,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
187,462,chr1,34439101,34439322,3.48858,5.40322,111,221,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
188,461,chr1,34439479,34439739,5.91542,17.03733,132,260,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
188,462,chr1,34439479,34439739,5.91542,17.03733,132,260,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
189,461,chr1,34439869,34440309,5.41156,14.82358,142,440,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
189,462,chr1,34439869,34440309,5.41156,14.82358,142,440,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
190,472,chr1,34578973,34579174,3.33690,4.81367,131,201,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
191,472,chr1,34579328,34580157,6.33344,21.61802,543,829,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
191,473,chr1,34579328,34580157,6.33344,21.61802,543,829,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
194,481,chr1,34801163,34802877,10.01071,42.92286,721,1714,ENSMUSG00000118272,,Arhgef4,chr1,34801794,34801964,1
195,484,chr1,34841386,34843839,23.81337,159.33084,1481,2453,ENSMUSG00000037503,214469.0,Fam168b,chr1,34813219,34843065,-1
196,485,chr1,34849972,34850288,5.15703,13.01703,143,316,ENSMUSG00000026123,226971.0,Plekhb2,chr1,34849976,34879580,1
204,495,chr1,35958130,35958499,2.25352,1.35242,307,369,ENSMUSG00000103096,,Gm8022,chr1,35958919,35959822,1
212,500,chr1,36068336,36068952,5.91542,17.03733,121,616,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
214,504,chr1,36243503,36244536,9.78067,52.87879,646,1033,ENSMUSG00000037470,320011.0,Uggt1,chr1,36140027,36244720,-1
216,509,chr1,36368675,36369159,6.21878,18.72664,338,484,ENSMUSG00000010453,226976.0,Kansl3,chr1,36335730,36369181,-1
218,511,chr1,36444455,36445256,9.25233,37.68858,649,801,ENSMUSG00000001143,214895.0,Lman2l,chr1,36419871,36445271,-1
219,511,chr1,36445416,36446047,6.67381,21.33984,187,631,ENSMUSG00000001143,214895.0,Lman2l,chr1,36419871,36445271,-1
220,512,chr1,36471061,36471529,5.76374,16.20900,262,468,ENSMUSG00000037408,94220.0,Cnnm4,chr1,36471620,36508764,1
220,513,chr1,36471061,36471529,5.76374,16.20900,262,468,ENSMUSG00000104316,,Gm37909,chr1,36473952,36476110,1
222,515,chr1,36511371,36513237,33.67240,258.07303,703,1866,ENSMUSG00000001138,94218.0,Cnnm3,chr1,36511867,36528237,1
227,516,chr1,36527620,36529166,7.58387,26.83068,1097,1546,ENSMUSG00000102845,,Gm38033,chr1,36527534,36528237,-1
228,517,chr1,36537651,36538073,5.00536,12.25022,252,422,ENSMUSG00000067653,78321.0,Ankrd23,chr1,36530188,36536883,-1
229,519,chr1,36546821,36547169,4.37655,9.56459,213,348,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
230,519,chr1,36547402,36548093,8.34226,31.64614,321,691,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
231,519,chr1,36548149,36548611,4.09529,7.94797,83,462,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
232,520,chr1,36554550,36559194,25.38316,223.89017,2382,4644,ENSMUSG00000087589,,D430040D24Rik,chr1,36557701,36565613,1
232,521,chr1,36554550,36559194,25.38316,223.89017,2382,4644,ENSMUSG00000026121,20353.0,Sema4c,chr1,36548639,36558349,-1
235,525,chr1,36691154,36691383,3.70069,6.41289,105,229,ENSMUSG00000061518,12859.0,Cox5b,chr1,36691449,36693681,1
236,525,chr1,36691617,36692029,3.60563,5.93578,126,412,ENSMUSG00000061518,12859.0,Cox5b,chr1,36691449,36693681,1
237,526,chr1,36709281,36709990,5.76374,16.20900,482,709,ENSMUSG00000102416,71166.0,4933424G06Rik,chr1,36710149,36757953,1
254,540,chr1,37300043,37300445,3.54450,6.01068,239,402,ENSMUSG00000102231,,1700074A21Rik,chr1,37299352,37299697,-1
254,541,chr1,37300043,37300445,3.54450,6.01068,239,402,ENSMUSG00000026113,269180.0,Inpp4a,chr1,37299865,37410736,1
256,544,chr1,37429624,37430074,3.21769,4.52662,355,450,ENSMUSG00000026112,76178.0,Coa5,chr1,37417084,37430103,-1
256,545,chr1,37429624,37430074,3.21769,4.52662,355,450,ENSMUSG00000026111,67387.0,Unc50,chr1,37430139,37439124,1
257,544,chr1,37430208,37430698,5.32071,14.56776,133,490,ENSMUSG00000026112,76178.0,Coa5,chr1,37417084,37430103,-1
257,545,chr1,37430208,37430698,5.32071,14.56776,133,490,ENSMUSG00000026111,67387.0,Unc50,chr1,37430139,37439124,1
261,548,chr1,37541197,37541683,6.37045,19.58696,156,486,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
262,553,chr1,37864375,37865889,10.20286,48.98093,344,1514,ENSMUSG00000097268,,Gm26805,chr1,37865299,37871388,1
263,555,chr1,37871509,37872066,5.38764,15.12680,397,557,ENSMUSG00000037216,623661.0,Lipt1,chr1,37871738,37876228,1
