peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,11,chr1,3667772,3672790,19.43773,123.15195,4702,5018,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,19,chr1,4496885,4497815,5.25684,10.08117,299,930,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496885,4497815,5.25684,10.08117,299,930,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,26,chr1,4689062,4689557,7.00913,17.23740,235,495,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
8,32,chr1,4784485,4786705,23.33523,119.14804,1655,2220,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
9,33,chr1,4807295,4809172,15.60909,89.22687,219,1877,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
9,34,chr1,4807295,4809172,15.60909,89.22687,219,1877,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
10,35,chr1,4856834,4857703,11.82790,40.89305,686,869,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,35,chr1,4857894,4859336,27.36282,146.91061,548,1442,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
15,47,chr1,5588050,5589276,19.44025,101.53843,393,1226,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
16,51,chr1,5915977,5918069,29.79626,185.03307,947,2092,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
17,54,chr1,6213214,6216772,29.00870,159.21910,975,3558,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
19,55,chr1,6358752,6359684,27.81747,142.03577,503,932,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
20,57,chr1,6382417,6383545,31.98226,176.14305,725,1128,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
21,58,chr1,6440977,6441944,37.03239,221.77835,414,967,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
25,67,chr1,7087815,7088810,16.93439,100.69408,694,995,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
26,67,chr1,7089038,7090813,19.98530,105.66091,803,1775,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
29,74,chr1,7396906,7397487,10.08104,33.55194,287,581,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
30,74,chr1,7397587,7397894,7.26738,21.62652,158,307,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
31,74,chr1,7398135,7398919,14.11278,90.08833,358,784,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
36,95,chr1,9296128,9301089,33.28574,198.78745,3858,4961,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
37,101,chr1,9544756,9547771,29.09606,151.25929,278,3015,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
37,102,chr1,9544756,9547771,29.09606,151.25929,278,3015,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
38,102,chr1,9547921,9548783,10.23432,33.31795,167,862,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
39,104,chr1,9600865,9603208,19.41668,93.71169,666,2343,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
40,107,chr1,9699285,9701439,53.66362,341.62296,770,2154,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
42,108,chr1,9743381,9745249,17.69325,79.18388,1632,1868,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
43,108,chr1,9745313,9748439,31.10631,181.29616,2142,3126,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
43,109,chr1,9745313,9748439,31.10631,181.29616,2142,3126,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
44,109,chr1,9748604,9749020,10.22282,50.35592,166,416,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
46,110,chr1,9797363,9799470,39.29548,240.09081,533,2107,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
48,113,chr1,9908249,9909298,13.79922,51.79616,478,1049,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
49,114,chr1,9942124,9944701,33.14202,218.92065,843,2577,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
49,115,chr1,9942124,9944701,33.14202,218.92065,843,2577,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
50,116,chr1,9967123,9968616,12.48500,44.46135,258,1493,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
50,117,chr1,9967123,9968616,12.48500,44.46135,258,1493,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
51,119,chr1,10008561,10009761,24.89399,128.83105,549,1200,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
51,120,chr1,10008561,10009761,24.89399,128.83105,549,1200,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
52,121,chr1,10035630,10035831,3.06649,2.82559,83,201,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
53,121,chr1,10036758,10038133,36.12724,203.85219,801,1375,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
53,122,chr1,10036758,10038133,36.12724,203.85219,801,1375,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
54,121,chr1,10038276,10041031,28.99725,154.08142,782,2755,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
54,122,chr1,10038276,10041031,28.99725,154.08142,782,2755,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
55,126,chr1,10230971,10234093,34.60756,191.27525,1242,3122,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
56,136,chr1,10993121,10994720,47.05630,341.64514,562,1599,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
58,140,chr1,11413277,11415751,28.69361,148.22585,1233,2474,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
58,141,chr1,11413277,11415751,28.69361,148.22585,1233,2474,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
59,141,chr1,11416323,11416661,4.93765,9.38301,202,338,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
