peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3671127,3671509,5.34619,6.89087,251,382,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4494227,4494374,4.33598,3.42503,66,147,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,19,chr1,4496090,4496398,4.81899,8.53064,179,308,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,19,chr1,4496488,4497739,8.97558,24.41372,920,1251,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,20,chr1,4496488,4497739,8.97558,24.41372,920,1251,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
12,32,chr1,4785192,4785751,11.27069,68.70244,385,559,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
13,32,chr1,4785811,4786265,5.59050,15.85986,107,454,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
14,33,chr1,4807372,4807797,14.18199,129.87170,280,425,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
14,34,chr1,4807372,4807797,14.18199,129.87170,280,425,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
15,33,chr1,4807843,4808329,16.91947,85.94174,141,486,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
15,34,chr1,4807843,4808329,16.91947,85.94174,141,486,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
17,35,chr1,4857376,4857571,4.58023,18.88897,107,195,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
18,35,chr1,4857845,4858754,12.96735,58.15662,450,909,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
24,54,chr1,6214666,6215650,19.55942,106.98887,136,984,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
25,57,chr1,6382888,6383184,5.52522,6.89087,158,296,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
26,67,chr1,7087916,7088731,19.78507,127.38915,651,815,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
27,67,chr1,7089046,7089646,11.95888,59.23913,189,600,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
31,74,chr1,7397695,7397872,3.34079,8.96568,89,177,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
32,74,chr1,7398181,7398747,10.20744,29.81454,130,566,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
33,101,chr1,9544928,9545154,3.04765,3.18347,121,226,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
34,101,chr1,9545458,9546134,8.38279,37.92789,100,676,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
34,102,chr1,9545458,9546134,8.38279,37.92789,100,676,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
35,102,chr1,9548061,9549047,3.36229,7.33996,134,986,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
39,105,chr1,9630889,9631062,2.34837,0.46396,121,173,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
40,107,chr1,9699889,9700379,5.00049,11.01299,206,490,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
41,107,chr1,9700510,9701319,14.36426,49.63485,281,809,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
42,108,chr1,9745505,9745671,5.11622,5.12010,66,166,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
43,108,chr1,9745771,9745963,4.27089,3.42999,99,192,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
44,108,chr1,9746961,9748394,9.45697,45.88029,1221,1433,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
44,109,chr1,9746961,9748394,9.45697,45.88029,1221,1433,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
45,110,chr1,9797734,9798889,17.60177,79.31969,237,1155,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
48,114,chr1,9942818,9943255,4.81528,6.82762,133,437,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
49,114,chr1,9943397,9943540,4.14829,3.64278,55,143,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
50,114,chr1,9943677,9944103,18.99821,87.32909,299,426,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
50,115,chr1,9943677,9944103,18.99821,87.32909,299,426,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
51,116,chr1,9967244,9967546,3.05850,3.53742,98,302,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
51,117,chr1,9967244,9967546,3.05850,3.53742,98,302,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
52,116,chr1,9967720,9967914,4.98414,7.44117,84,194,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
52,117,chr1,9967720,9967914,4.98414,7.44117,84,194,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
53,117,chr1,9967974,9968465,9.95468,20.56922,159,491,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
55,119,chr1,10008769,10009164,4.27819,5.28853,281,395,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
56,121,chr1,10037401,10038179,14.54356,123.22796,647,778,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
56,122,chr1,10037401,10038179,14.54356,123.22796,647,778,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
57,121,chr1,10038335,10038621,3.74481,4.26978,131,286,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
57,122,chr1,10038335,10038621,3.74481,4.26978,131,286,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
58,122,chr1,10039458,10039675,3.41469,5.74540,95,217,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
59,122,chr1,10039792,10040319,9.32270,44.86627,116,527,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
62,126,chr1,10231593,10233542,21.68367,106.60934,1313,1949,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
63,126,chr1,10233583,10233939,4.00964,4.56078,138,356,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
64,136,chr1,10992949,10993089,3.98047,2.70508,98,140,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
65,136,chr1,10993328,10995113,23.82903,113.69621,520,1785,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
71,152,chr1,12991529,12992788,10.07715,57.01854,1061,1259,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
75,165,chr1,13372605,13374855,21.23700,88.54645,1311,2250,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
75,166,chr1,13372605,13374855,21.23700,88.54645,1311,2250,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
78,168,chr1,13589043,13589887,14.62660,68.15396,683,844,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
79,168,chr1,13590091,13590444,6.07468,15.87708,88,353,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
81,170,chr1,13659972,13660901,14.21532,67.42808,358,929,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
82,179,chr1,14309660,14310135,5.03383,9.31000,267,475,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
83,181,chr1,14755161,14755986,4.91098,10.25055,132,825,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
84,195,chr1,15805234,15805430,3.03528,4.63438,115,196,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
85,195,chr1,15805672,15806444,12.74666,74.03957,143,772,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
86,198,chr1,15892466,15892692,3.79172,2.84054,100,226,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
87,198,chr1,15892758,15892898,3.98047,2.70508,81,140,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
88,200,chr1,16092945,16093487,7.23219,14.76318,122,542,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
89,202,chr1,16103063,16103539,3.22286,1.63386,415,476,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
90,201,chr1,16103660,16104336,12.16172,52.36915,444,676,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
90,202,chr1,16103660,16104336,12.16172,52.36915,444,676,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
91,201,chr1,16104697,16106706,18.78894,134.20242,176,2009,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
91,202,chr1,16104697,16106706,18.78894,134.20242,176,2009,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
94,206,chr1,16519742,16520159,8.57863,24.76104,278,417,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
95,207,chr1,16617979,16618321,6.96138,9.50741,86,342,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
96,207,chr1,16618458,16619301,17.80118,94.15417,707,843,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
96,208,chr1,16618458,16619301,17.80118,94.15417,707,843,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
