peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670578,3672199,7.45664,19.81152,755,1621,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4496902,4497481,3.37965,4.28491,504,579,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496902,4497481,3.37965,4.28491,504,579,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,32,chr1,4784927,4786326,29.82656,163.67180,609,1399,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807338,4809261,29.82656,163.67180,315,1923,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807338,4809261,29.82656,163.67180,315,1923,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4857286,4857649,8.24899,31.03526,183,363,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,35,chr1,4857749,4858843,19.05585,87.10356,538,1094,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,47,chr1,5588424,5589142,3.93545,5.47144,417,718,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
13,51,chr1,5916645,5917131,2.27558,1.53039,327,486,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6213854,6215813,35.00478,203.45036,1289,1959,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
16,55,chr1,6358839,6359541,5.22044,15.09722,540,702,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
17,57,chr1,6382652,6383312,10.85046,42.49854,373,660,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
18,58,chr1,6441122,6441647,11.59922,41.22459,287,525,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
19,67,chr1,7087861,7088823,16.19245,90.54926,709,962,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
20,67,chr1,7088942,7090049,15.32754,63.21829,303,1107,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
23,74,chr1,7397656,7397925,12.01347,43.55723,130,269,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
24,74,chr1,7398087,7398773,12.85031,72.05340,388,686,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
25,95,chr1,9299151,9299586,3.31406,3.51851,303,435,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
26,101,chr1,9544792,9545215,11.80634,42.38690,206,423,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
27,101,chr1,9545415,9546390,15.74179,65.78759,445,975,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
27,102,chr1,9545415,9546390,15.74179,65.78759,445,975,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
28,102,chr1,9546985,9547395,3.72832,4.79430,242,410,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
29,102,chr1,9548033,9548982,7.87090,21.76985,192,949,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
30,107,chr1,9699475,9701329,17.19170,74.95205,1315,1854,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
31,108,chr1,9745464,9746014,5.51417,12.95934,173,550,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
32,108,chr1,9746408,9748433,25.67151,149.60507,1660,2025,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
32,109,chr1,9746408,9748433,25.67151,149.60507,1660,2025,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
33,109,chr1,9748628,9748907,5.47246,20.40919,156,279,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
35,110,chr1,9797702,9799020,29.74289,169.64958,680,1318,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
38,114,chr1,9942599,9944303,34.50801,229.43848,1315,1704,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
38,115,chr1,9942599,9944303,34.50801,229.43848,1315,1704,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
39,114,chr1,9944376,9944686,5.79961,12.48253,155,310,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
39,115,chr1,9944376,9944686,5.79961,12.48253,155,310,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
40,116,chr1,9967104,9968562,10.14931,33.30701,1084,1458,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
40,117,chr1,9967104,9968562,10.14931,33.30701,1084,1458,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
41,119,chr1,10008805,10009516,6.62812,16.03795,143,711,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
41,120,chr1,10008805,10009516,6.62812,16.03795,143,711,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
42,121,chr1,10037238,10038746,23.12392,131.95029,521,1508,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
42,122,chr1,10037238,10038746,23.12392,131.95029,521,1508,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
