peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,11,chr1,3670187,3672750,44.37770,289.12790,1044,2563,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,20,chr1,4497408,4497616,2.80666,1.49782,37,208,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,32,chr1,4784878,4786365,61.72573,339.12509,686,1487,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
8,33,chr1,4807302,4808905,62.10739,317.68033,713,1603,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
8,34,chr1,4807302,4808905,62.10739,317.68033,713,1603,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
9,35,chr1,4857170,4859098,67.04606,348.57974,1142,1928,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
14,47,chr1,5588220,5589162,16.43361,52.54752,304,942,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
15,51,chr1,5916448,5918019,30.72289,125.05533,432,1571,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
17,54,chr1,6213793,6215879,55.46796,347.18338,507,2086,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
19,55,chr1,6358772,6359663,14.60106,61.12947,564,891,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
20,57,chr1,6382570,6383487,44.42373,204.05650,471,917,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
21,58,chr1,6441106,6441764,22.75728,82.58591,366,658,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
27,67,chr1,7087922,7090087,57.80595,289.03281,1343,2165,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
30,74,chr1,7396992,7398829,65.61225,338.88956,791,1837,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
33,95,chr1,9298067,9300957,38.74720,241.44516,1200,2890,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
34,101,chr1,9544801,9546858,50.15897,240.39514,776,2057,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
34,102,chr1,9544801,9546858,50.15897,240.39514,776,2057,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
35,102,chr1,9547039,9547423,5.39225,7.91800,234,384,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
36,102,chr1,9547697,9547891,3.16188,1.75188,117,194,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
37,102,chr1,9547967,9548364,4.11340,4.79732,267,397,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
38,104,chr1,9600954,9602765,27.21802,105.75375,619,1811,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
39,107,chr1,9699307,9701404,60.72943,317.06052,1478,2097,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
40,108,chr1,9744897,9745159,7.42346,16.27014,110,262,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
41,108,chr1,9745401,9746239,11.48391,33.69678,201,838,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
42,108,chr1,9746419,9748923,66.88675,348.57974,1691,2504,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
42,109,chr1,9746419,9748923,66.88675,348.57974,1691,2504,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
43,110,chr1,9797479,9799038,58.76183,294.73190,941,1559,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
45,113,chr1,9908324,9909042,8.65195,40.70348,412,718,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
46,114,chr1,9942200,9944684,70.71024,373.84961,1696,2484,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
46,115,chr1,9942200,9944684,70.71024,373.84961,1696,2484,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
47,116,chr1,9966991,9968522,12.97688,50.03436,1186,1531,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
