peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3672389,3672675,3.98371,5.90060,186,286,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,19,chr1,4494083,4494506,3.43734,3.90367,232,423,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,19,chr1,4494544,4495157,3.69433,4.65101,189,613,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
7,19,chr1,4496959,4499149,3.36574,5.45594,1010,2190,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
7,20,chr1,4496959,4499149,3.36574,5.45594,1010,2190,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
8,20,chr1,4499553,4501151,4.60898,8.07315,407,1598,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
15,51,chr1,5916007,5917294,5.09914,10.25951,725,1287,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
16,51,chr1,5917431,5918016,3.66501,4.77664,209,585,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
17,95,chr1,9298811,9300406,5.56334,11.61047,674,1595,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
18,95,chr1,9300461,9300915,3.21461,3.78179,293,454,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
19,116,chr1,9964692,9964931,2.24383,1.20618,112,239,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
20,116,chr1,9967080,9967608,4.18605,6.39733,103,528,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
20,117,chr1,9967080,9967608,4.18605,6.39733,103,528,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
23,152,chr1,12992708,12993474,3.20313,3.03574,358,766,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
28,156,chr1,13126982,13127813,3.47793,5.95207,241,831,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
29,156,chr1,13127978,13129328,4.89180,10.69601,490,1350,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
30,156,chr1,13129372,13129978,3.02917,4.03456,423,606,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
37,181,chr1,14755217,14756342,4.47076,8.02354,440,1125,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
38,181,chr1,14756806,14757493,2.80478,3.10824,175,687,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
39,181,chr1,14757929,14758350,3.35438,4.28372,229,421,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
40,185,chr1,14919144,14919529,2.69738,1.61792,102,385,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
41,236,chr1,18057634,18058260,3.66501,4.77664,342,626,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
42,236,chr1,18058365,18059679,3.91344,6.43607,230,1314,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
42,237,chr1,18058365,18059679,3.91344,6.43607,230,1314,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
43,247,chr1,19102585,19103198,3.87748,5.22379,170,613,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
44,247,chr1,19103369,19104595,5.56334,11.61047,643,1226,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
44,248,chr1,19103369,19104595,5.56334,11.61047,643,1226,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
45,248,chr1,19105028,19106271,4.78045,8.95337,622,1243,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
46,248,chr1,19106794,19107337,3.20313,3.03574,76,543,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
51,250,chr1,19207402,19208473,4.21465,6.41326,399,1071,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
74,251,chr1,19240614,19240953,3.37172,3.55595,145,339,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
75,251,chr1,19241258,19241731,2.65555,1.95497,326,473,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
76,296,chr1,21961697,21962274,3.98371,5.90060,152,577,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
81,300,chr1,22805239,22805578,3.74369,4.95563,162,339,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
82,300,chr1,22806210,22806967,3.87748,5.22379,337,757,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
84,314,chr1,23759407,23759687,3.42810,4.47254,124,280,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
85,314,chr1,23759932,23761163,3.50566,4.22954,1092,1231,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
86,314,chr1,23761214,23761585,3.34631,3.69900,83,371,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
89,323,chr1,24585737,24587784,5.09914,10.25951,424,2047,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
90,360,chr1,25828937,25830109,3.34631,3.69900,1009,1172,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
90,361,chr1,25828937,25830109,3.34631,3.69900,1009,1172,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
92,447,chr1,33906223,33906526,4.04606,5.81112,130,303,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
93,446,chr1,33906968,33907696,2.48939,1.70627,52,728,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
93,447,chr1,33906968,33907696,2.48939,1.70627,52,728,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
94,446,chr1,33908311,33908982,3.87748,5.22379,188,671,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
94,447,chr1,33908311,33908982,3.87748,5.22379,188,671,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
