peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,19,chr1,4496951,4497719,3.73742,6.39713,159,768,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
1,20,chr1,4496951,4497719,3.73742,6.39713,159,768,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
3,32,chr1,4784517,4786376,13.13558,64.19324,1069,1859,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
4,33,chr1,4807329,4808925,12.77248,60.99659,669,1596,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
4,34,chr1,4807329,4808925,12.77248,60.99659,669,1596,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
5,35,chr1,4856889,4857673,5.06799,14.81783,575,784,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
6,35,chr1,4857765,4859083,13.71859,68.09866,534,1318,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
8,54,chr1,6213908,6215782,17.51410,98.94651,899,1874,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
9,55,chr1,6358837,6359523,3.35080,6.45045,382,686,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
10,57,chr1,6382610,6383238,5.51897,14.33203,403,628,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
11,58,chr1,6441120,6441626,5.51897,14.33203,162,506,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
12,67,chr1,7087867,7088797,9.70127,57.24660,708,930,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
13,67,chr1,7088939,7090070,13.56091,66.90248,324,1131,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
15,74,chr1,7397661,7397928,6.14971,17.66446,134,267,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
16,74,chr1,7398183,7398778,6.92498,30.34846,287,595,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
17,101,chr1,9544741,9545224,7.10351,25.83129,334,483,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
18,101,chr1,9545424,9546887,10.16700,46.40439,145,1463,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
18,102,chr1,9545424,9546887,10.16700,46.40439,145,1463,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
19,102,chr1,9547033,9547488,2.52296,1.76004,290,455,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
20,102,chr1,9548058,9548314,3.31138,4.40718,93,256,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
21,107,chr1,9699290,9701366,11.03795,48.47664,1462,2076,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
22,108,chr1,9746801,9748432,16.61088,99.28661,1360,1631,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
22,109,chr1,9746801,9748432,16.61088,99.28661,1360,1631,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
23,109,chr1,9748613,9748952,6.14971,17.66446,177,339,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
24,110,chr1,9797626,9798986,12.58733,63.87222,781,1360,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
26,113,chr1,9908525,9908942,4.25749,8.28371,132,417,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
27,114,chr1,9942281,9944165,22.54677,162.32243,1635,1884,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
