peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,19,chr1,4496292,4496884,3.36920,2.94772,411,592,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
0,20,chr1,4496292,4496884,3.36920,2.94772,411,592,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
1,19,chr1,4496979,4497491,2.43883,1.24539,272,512,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
1,20,chr1,4496979,4497491,2.43883,1.24539,272,512,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
4,32,chr1,4785397,4786113,6.80887,14.43322,226,716,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807394,4808369,11.98854,34.75203,628,975,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807394,4808369,11.98854,34.75203,628,975,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4856832,4858443,14.94234,50.04959,631,1611,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,54,chr1,6214020,6215446,12.93618,67.24739,788,1426,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
10,67,chr1,7087759,7090068,29.22437,136.56093,796,2309,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
12,74,chr1,7398121,7398617,4.80576,6.44953,340,496,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
16,101,chr1,9545417,9546052,6.48174,12.39629,441,635,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
16,102,chr1,9545417,9546052,6.48174,12.39629,441,635,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
17,107,chr1,9699945,9701295,7.28964,18.94179,772,1350,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
18,108,chr1,9747543,9748566,25.15697,106.00646,664,1023,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
18,109,chr1,9747543,9748566,25.15697,106.00646,664,1023,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
24,110,chr1,9797655,9798619,6.36273,17.14392,782,964,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
26,114,chr1,9943228,9944645,8.09586,26.84889,713,1417,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
26,115,chr1,9943228,9944645,8.09586,26.84889,713,1417,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
27,121,chr1,10037466,10039662,24.97225,105.61090,579,2196,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
27,122,chr1,10037466,10039662,24.97225,105.61090,579,2196,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
28,122,chr1,10039708,10040298,15.57993,52.19231,192,590,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
33,126,chr1,10232080,10233568,18.12983,68.80113,696,1488,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
36,136,chr1,10993421,10994055,5.04518,7.23280,270,634,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
41,146,chr1,12424803,12425092,4.08748,4.24417,103,289,ENSMUSG00000098555,,Mir6341,chr1,12425986,12426106,1
42,151,chr1,12692064,12692471,3.60863,3.56569,353,407,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
55,165,chr1,13372525,13374863,32.69555,172.86877,463,2338,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
55,166,chr1,13372525,13374863,32.69555,172.86877,463,2338,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
60,168,chr1,13589012,13590059,29.46664,130.75758,548,1047,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
61,170,chr1,13659936,13661301,11.74911,33.56987,406,1365,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
62,170,chr1,13662791,13663238,1.97680,0.73393,425,447,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
65,179,chr1,14309483,14310204,7.56657,22.26497,457,721,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
69,195,chr1,15805029,15805494,6.00289,10.59834,300,465,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
70,195,chr1,15805646,15806485,8.40905,24.78131,210,839,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
72,201,chr1,16103817,16106213,33.53688,156.48059,1071,2396,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
72,202,chr1,16103817,16106213,33.53688,156.48059,1071,2396,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
76,206,chr1,16519789,16520107,4.08748,4.24417,137,318,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
77,207,chr1,16618679,16619254,6.72116,13.32339,199,575,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
77,208,chr1,16618679,16619254,6.72116,13.32339,199,575,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
79,209,chr1,16656070,16657750,31.03394,144.90442,691,1680,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
79,210,chr1,16656070,16657750,31.03394,144.90442,691,1680,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
80,211,chr1,16664986,16665957,11.79009,35.71377,403,971,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
80,212,chr1,16664986,16665957,11.79009,35.71377,403,971,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
81,213,chr1,16687578,16689127,8.29943,41.03722,1009,1549,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
83,266,chr1,20819895,20820191,4.54468,5.98352,121,296,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
83,267,chr1,20819895,20820191,4.54468,5.98352,121,296,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
84,270,chr1,20890329,20890876,5.58247,9.39333,355,547,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
84,271,chr1,20890329,20890876,5.58247,9.39333,355,547,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
86,274,chr1,20951108,20951431,4.91423,7.00358,178,323,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
87,274,chr1,20951676,20952163,4.56633,5.68608,304,487,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
97,275,chr1,21078659,21079966,10.58346,42.29951,915,1307,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
