peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670386,3672683,39.90245,387.91199,1064,2297,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4496436,4496767,3.14403,5.11215,176,331,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,19,chr1,4496876,4497859,6.20705,22.58563,535,983,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496876,4497859,6.20705,22.58563,535,983,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4689124,4689433,4.94030,14.52163,169,309,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
6,32,chr1,4784585,4786422,56.75016,618.79730,979,1837,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807274,4809218,47.85917,555.89410,719,1944,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807274,4809218,47.85917,555.89410,719,1944,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856832,4859128,50.32497,594.08405,1481,2296,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,47,chr1,5588286,5589100,6.26162,27.50398,262,814,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
14,51,chr1,5916311,5917898,17.22773,119.21426,793,1587,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6213223,6216503,60.04370,665.97266,1875,3280,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
17,55,chr1,6358778,6359684,20.01456,148.42296,569,906,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
18,57,chr1,6382492,6383474,34.70881,321.16571,526,982,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
19,58,chr1,6441028,6441839,26.22161,218.01889,370,811,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
20,67,chr1,7087874,7090703,47.88295,494.84375,1297,2829,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
22,74,chr1,7396879,7398875,47.81015,515.76849,899,1996,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
24,95,chr1,9298580,9300282,11.98280,71.65716,407,1702,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
25,101,chr1,9544605,9548707,56.24346,611.58984,970,4102,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
25,102,chr1,9544605,9548707,56.24346,611.58984,970,4102,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
26,107,chr1,9699154,9701429,51.80986,549.14099,1004,2275,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
