peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
7,32,chr1,4786682,4786972,2.96119,1.98464,106,290,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
12,40,chr1,4969436,4970578,2.14066,1.27359,329,1142,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
13,40,chr1,4970721,4970993,3.27485,3.93333,156,272,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
20,47,chr1,5588650,5588896,2.63605,1.75057,170,246,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
22,54,chr1,6215862,6216925,3.64010,4.97165,203,1063,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
23,55,chr1,6358964,6359659,3.17011,3.25482,624,695,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
38,68,chr1,7137860,7138534,3.46334,3.43554,405,674,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
39,68,chr1,7139069,7139811,3.33780,2.91499,298,742,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
44,101,chr1,9544830,9545044,3.08673,2.46958,115,214,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
45,102,chr1,9547368,9547677,3.28281,3.43554,222,309,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
46,102,chr1,9548098,9548483,4.77033,7.37840,192,385,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
54,105,chr1,9629154,9630688,3.27931,3.52083,304,1534,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
56,107,chr1,9699359,9699846,3.08673,2.46958,134,487,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
59,108,chr1,9744934,9745151,4.59320,6.84870,88,217,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
60,108,chr1,9745407,9747475,4.52014,10.79514,1425,2068,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
64,114,chr1,9942164,9943208,4.64671,6.78639,211,1044,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
65,116,chr1,9967622,9967910,3.21227,2.91499,149,288,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
65,117,chr1,9967622,9967910,3.21227,2.91499,149,288,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
66,121,chr1,10035782,10036112,3.21227,2.91499,249,330,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
67,121,chr1,10036302,10036569,3.58888,3.94649,127,267,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
68,121,chr1,10036761,10037421,5.59752,10.10130,158,660,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
69,122,chr1,10038890,10039610,4.47071,7.12472,216,720,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
84,151,chr1,12689481,12689953,3.99916,5.28638,100,472,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
85,151,chr1,12691770,12692187,2.96119,1.98464,251,417,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
104,156,chr1,13128076,13128750,3.28476,3.15347,316,674,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
109,160,chr1,13292222,13292783,2.96119,1.98464,139,561,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
118,162,chr1,13333417,13334160,3.33780,2.91499,360,743,ENSMUSG00000087782,,Gm23169,chr1,13334498,13334609,-1
134,177,chr1,14180325,14180710,3.64196,4.17962,144,385,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
135,177,chr1,14180939,14182096,3.51248,3.94649,913,1157,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
150,185,chr1,14918860,14919264,2.71011,1.56216,41,404,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
151,188,chr1,15286036,15286413,3.08673,2.46958,183,377,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
154,202,chr1,16102885,16103343,3.96550,4.47242,159,458,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
155,201,chr1,16106314,16107177,3.28476,3.15347,384,863,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
159,207,chr1,16616483,16616916,4.34212,5.62885,169,433,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
160,207,chr1,16617155,16618166,2.49058,2.31564,145,1011,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
161,210,chr1,16655154,16656042,5.84860,10.75427,655,888,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
162,211,chr1,16665814,16666828,4.34212,5.62885,261,1014,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
