peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670572,3671592,18.96340,46.34581,772,1020,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4494211,4494786,7.48191,11.49859,136,575,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,19,chr1,4494832,4495045,4.15662,3.56427,139,213,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,19,chr1,4495599,4495847,6.78050,9.54650,138,248,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,19,chr1,4495946,4498158,14.26232,65.05547,407,2212,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4495946,4498158,14.26232,65.05547,407,2212,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
9,32,chr1,4784953,4786349,28.69515,200.90178,957,1396,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
10,33,chr1,4807347,4808873,20.63454,182.68176,289,1526,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
10,34,chr1,4807347,4808873,20.63454,182.68176,289,1526,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
11,35,chr1,4857251,4857650,11.05998,98.42949,251,399,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,35,chr1,4857766,4858790,23.35455,133.75523,594,1024,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
16,54,chr1,6213747,6215768,27.28392,187.32445,656,2021,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
17,57,chr1,6382894,6383153,5.14436,7.17444,142,259,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
19,67,chr1,7087897,7088788,32.09022,207.96579,699,891,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
20,67,chr1,7089020,7090082,26.86975,203.96246,271,1062,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
22,74,chr1,7396986,7397458,7.07203,13.89347,338,472,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
23,74,chr1,7397583,7397968,22.31275,220.22087,204,385,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
24,74,chr1,7398107,7398742,17.52750,62.09805,198,635,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
26,101,chr1,9544885,9545211,12.92329,54.90689,211,326,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
27,101,chr1,9545361,9546871,21.55178,149.35013,148,1510,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
27,102,chr1,9545361,9546871,21.55178,149.35013,148,1510,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
28,102,chr1,9548108,9549441,7.18688,19.71080,130,1333,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
29,105,chr1,9629408,9631235,8.47306,17.99483,1632,1827,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
30,107,chr1,9699780,9700430,10.06681,28.43516,297,650,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
31,107,chr1,9700509,9701365,48.59904,217.90466,402,856,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
33,108,chr1,9745436,9745976,13.47398,27.25335,181,540,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
34,108,chr1,9746291,9748482,21.53888,179.27747,2017,2191,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
34,109,chr1,9746291,9748482,21.53888,179.27747,2017,2191,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
35,109,chr1,9748687,9748869,5.05448,14.97855,77,182,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
36,110,chr1,9797678,9799538,37.82614,161.48856,1016,1860,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
39,114,chr1,9942770,9944628,35.60213,178.92830,1226,1858,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
39,115,chr1,9942770,9944628,35.60213,178.92830,1226,1858,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
40,116,chr1,9967456,9967635,5.10800,8.46630,63,179,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
40,117,chr1,9967456,9967635,5.10800,8.46630,63,179,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
41,116,chr1,9967699,9968566,21.42954,61.25259,418,867,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
41,117,chr1,9967699,9968566,21.42954,61.25259,418,867,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
42,119,chr1,10008812,10009486,10.59132,25.91642,252,674,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
42,120,chr1,10008812,10009486,10.59132,25.91642,252,674,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
43,121,chr1,10037250,10038732,29.65248,328.38940,808,1482,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
43,122,chr1,10037250,10038732,29.65248,328.38940,808,1482,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
44,122,chr1,10038828,10039308,7.12043,15.81962,236,480,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
45,122,chr1,10039407,10040385,17.24845,97.22285,507,978,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
46,126,chr1,10231540,10234007,33.04265,138.75800,1844,2467,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
47,136,chr1,10992896,10995643,33.03328,159.00262,956,2747,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
50,140,chr1,11413958,11414515,5.89277,11.15155,408,557,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
50,141,chr1,11413958,11414515,5.89277,11.15155,408,557,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
52,151,chr1,12692068,12693793,15.07957,61.96795,961,1725,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
59,152,chr1,12990823,12992980,12.17536,63.68139,1760,2157,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
61,165,chr1,13371954,13374911,44.10855,288.61230,746,2957,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
61,166,chr1,13371954,13374911,44.10855,288.61230,746,2957,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
64,168,chr1,13588938,13589868,20.54134,125.38543,712,930,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
65,168,chr1,13590044,13590435,11.76641,48.34626,134,391,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
67,170,chr1,13659484,13660996,25.82117,134.64331,591,1512,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
68,179,chr1,14309476,14310355,9.80534,36.10287,513,879,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
70,181,chr1,14753985,14756065,8.67591,25.85030,1332,2080,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
71,181,chr1,14756102,14756550,6.68150,10.58730,337,448,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
72,181,chr1,14756816,14757182,5.44696,8.05465,94,366,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
73,195,chr1,15805169,15806843,32.46762,264.87396,600,1674,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
74,201,chr1,16103560,16106735,29.80863,235.54762,1311,3175,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
74,202,chr1,16103560,16106735,29.80863,235.54762,1311,3175,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
76,206,chr1,16518998,16520243,16.64350,51.55859,959,1245,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
77,207,chr1,16617846,16619351,26.23431,137.65518,1311,1505,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
77,208,chr1,16617846,16619351,26.23431,137.65518,1311,1505,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
78,208,chr1,16619422,16619825,18.54102,96.05750,147,403,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
79,209,chr1,16656033,16657758,18.49610,167.85703,756,1725,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
79,210,chr1,16656033,16657758,18.49610,167.85703,756,1725,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
80,211,chr1,16664907,16666155,30.57227,170.03593,405,1248,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
80,212,chr1,16664907,16666155,30.57227,170.03593,405,1248,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
81,213,chr1,16687711,16689158,42.96809,229.97017,879,1447,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
83,218,chr1,17096561,17097827,14.79338,47.08496,866,1266,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
84,227,chr1,17601750,17602331,8.68211,13.44659,433,581,ENSMUSG00000067780,94227.0,Pi15,chr1,17601901,17630939,1
86,229,chr1,17727032,17727294,6.61022,16.05222,139,262,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
86,230,chr1,17727032,17727294,6.61022,16.05222,139,262,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
87,229,chr1,17727429,17727992,8.26278,23.80048,213,563,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
87,230,chr1,17727429,17727992,8.26278,23.80048,213,563,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
89,266,chr1,20819560,20820359,13.77345,84.77254,664,799,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
89,267,chr1,20819560,20820359,13.77345,84.77254,664,799,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
90,266,chr1,20820457,20820770,11.98893,32.37927,170,313,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
90,267,chr1,20820457,20820770,11.98893,32.37927,170,313,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
91,270,chr1,20890051,20891622,16.12125,82.58672,894,1571,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
91,271,chr1,20890051,20891622,16.12125,82.58672,894,1571,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
93,274,chr1,20951135,20952245,16.67760,93.02048,691,1110,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
95,275,chr1,21077721,21079241,32.44678,211.12704,1328,1520,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
95,276,chr1,21077721,21079241,32.44678,211.12704,1328,1520,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
96,275,chr1,21079415,21079945,11.00509,70.52631,148,530,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
