peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670235,3672691,28.91338,216.46680,1238,2456,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4496280,4498111,14.45842,77.09034,1146,1831,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496280,4498111,14.45842,77.09034,1146,1831,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4689012,4689479,7.00092,23.69787,304,467,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
6,32,chr1,4784252,4785712,15.85099,91.51231,795,1460,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,32,chr1,4785777,4786909,12.23510,81.93070,380,1132,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
8,33,chr1,4807283,4809321,11.54118,71.06232,264,2038,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
8,34,chr1,4807283,4809321,11.54118,71.06232,264,2038,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
9,35,chr1,4856833,4859309,13.82656,94.06236,1841,2476,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,47,chr1,5588070,5589233,12.62209,64.76276,436,1163,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
14,51,chr1,5916518,5918060,14.62644,102.45770,482,1542,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6213219,6216050,14.96330,93.88563,2105,2831,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
17,55,chr1,6358763,6359729,21.81830,151.57458,533,966,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
18,57,chr1,6382384,6383542,31.19975,232.35107,620,1158,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
20,58,chr1,6440948,6441882,23.04264,157.54764,532,934,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
22,67,chr1,7087907,7088798,15.37158,84.52686,617,891,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
23,67,chr1,7089025,7090845,14.30623,75.86633,866,1820,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
26,74,chr1,7396929,7397940,9.28383,38.38211,376,1011,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
27,74,chr1,7398125,7399043,17.34692,118.38201,419,918,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
29,95,chr1,9298590,9300284,15.75794,96.68195,724,1694,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
30,101,chr1,9544650,9545282,22.81080,151.18716,360,632,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
31,101,chr1,9545336,9548977,17.04572,98.55057,517,3641,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
31,102,chr1,9545336,9548977,17.04572,98.55057,517,3641,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
33,107,chr1,9699148,9701542,32.11292,241.71259,868,2394,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
36,108,chr1,9744426,9745195,9.89260,42.58237,597,769,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
37,108,chr1,9745350,9748415,20.03091,171.65367,2165,3065,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
37,109,chr1,9745350,9748415,20.03091,171.65367,2165,3065,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
