peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,11,chr1,3669025,3672775,54.51042,602.28131,2187,3750,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,19,chr1,4496196,4497811,4.25486,12.51079,1145,1615,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,20,chr1,4496196,4497811,4.25486,12.51079,1145,1615,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,32,chr1,4784530,4786827,60.35276,625.64551,1041,2297,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807274,4809068,59.26287,610.98639,768,1794,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807274,4809068,59.26287,610.98639,768,1794,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856875,4859316,60.30304,634.86090,1428,2441,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,47,chr1,5588065,5589308,24.81274,191.15613,505,1243,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
14,51,chr1,5916189,5918108,34.87654,301.74530,880,1919,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6213158,6216742,67.57330,724.10339,2018,3584,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
17,55,chr1,6358748,6359701,25.74869,198.43057,530,953,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
18,57,chr1,6382567,6383670,35.55772,309.78732,463,1103,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
19,58,chr1,6440962,6441842,23.58519,178.07445,451,880,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
28,67,chr1,7087854,7090709,42.91449,399.12430,1422,2855,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
30,74,chr1,7396981,7398939,48.22771,466.16351,798,1958,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
35,95,chr1,9298034,9300845,48.63642,471.39896,1271,2811,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
36,101,chr1,9544638,9548505,58.17298,596.38574,938,3867,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
36,102,chr1,9544638,9548505,58.17298,596.38574,938,3867,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
37,104,chr1,9600865,9603229,24.32959,216.42889,679,2364,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
38,107,chr1,9699163,9701446,55.17577,556.55017,1028,2283,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
41,108,chr1,9744445,9745186,12.66999,70.00965,570,741,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
42,108,chr1,9745342,9748937,60.80008,694.49982,2640,3595,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
42,109,chr1,9745342,9748937,60.80008,694.49982,2640,3595,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
43,110,chr1,9797374,9799242,58.99039,607.33063,974,1868,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
45,113,chr1,9908394,9909135,15.93967,99.23862,363,741,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
47,114,chr1,9942160,9944764,65.79731,710.74548,1741,2604,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
47,115,chr1,9942160,9944764,65.79731,710.74548,1741,2604,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
48,116,chr1,9966956,9968602,15.14944,131.16042,1035,1646,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
48,117,chr1,9966956,9968602,15.14944,131.16042,1035,1646,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
49,119,chr1,10008628,10009564,18.11945,119.94261,452,936,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
49,120,chr1,10008628,10009564,18.11945,119.94261,452,936,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
50,121,chr1,10036770,10041009,71.52415,778.83948,971,4239,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
