peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
5,19,chr1,4494134,4495402,4.92738,7.84239,689,1268,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,19,chr1,4496040,4499037,8.30967,16.52571,2198,2997,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,20,chr1,4496040,4499037,8.30967,16.52571,2198,2997,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,20,chr1,4499230,4499460,3.51667,2.11236,71,230,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
8,20,chr1,4499734,4500009,4.78541,5.50356,165,275,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
19,51,chr1,5915828,5917257,5.20832,6.26714,680,1429,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
20,51,chr1,5917383,5918120,3.89969,4.47827,595,737,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
23,95,chr1,9299177,9300205,4.10384,4.11414,789,1028,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
28,116,chr1,9966315,9966615,5.91317,8.64993,138,300,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
29,116,chr1,9966714,9968863,7.04094,12.02031,396,2149,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
29,117,chr1,9966714,9968863,7.04094,12.02031,396,2149,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
30,117,chr1,9968907,9969740,6.89997,12.02031,232,833,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
31,117,chr1,9970161,9970576,3.51667,2.11236,236,415,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
33,140,chr1,11412362,11412595,3.79861,2.72719,127,233,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
37,151,chr1,12690526,12690925,3.23473,1.52021,246,399,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
38,151,chr1,12692212,12692469,3.79861,2.72719,123,257,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
44,156,chr1,13126609,13128662,6.41614,10.97158,821,2053,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
45,156,chr1,13128816,13129305,3.42102,3.73138,322,489,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
46,156,chr1,13129442,13129828,4.00246,5.10638,137,386,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
56,181,chr1,14755706,14755925,3.33307,2.21632,185,219,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
57,181,chr1,14756023,14758240,5.30970,7.56920,917,2217,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
59,185,chr1,14918344,14918677,4.22152,4.07206,187,333,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
60,185,chr1,14919494,14919759,2.73711,0.99360,146,265,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
61,198,chr1,15892191,15892386,2.15261,0.00000,30,195,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
79,236,chr1,18057164,18059860,5.49026,7.84239,837,2696,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
79,237,chr1,18057164,18059860,5.49026,7.84239,837,2696,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
85,247,chr1,19099655,19106208,10.00132,22.33125,4377,6553,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
85,248,chr1,19099655,19106208,10.00132,22.33125,4377,6553,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
86,248,chr1,19106249,19111696,9.81164,23.06096,4330,5447,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
90,250,chr1,19207055,19208391,7.04094,12.02031,760,1336,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
91,250,chr1,19208835,19210560,4.36076,4.79943,1595,1725,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
105,251,chr1,19239898,19241147,5.51691,8.56799,355,1249,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
106,251,chr1,19241246,19241753,4.31317,4.25482,321,507,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
107,251,chr1,19241858,19242719,4.63560,4.78580,221,861,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
113,300,chr1,22806602,22807025,3.75370,3.34395,120,423,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
114,314,chr1,23759436,23759691,2.73711,0.99360,104,255,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
115,314,chr1,23759918,23761639,5.34929,7.06105,1082,1721,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
116,314,chr1,23762158,23762849,3.37570,2.11236,168,691,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
122,323,chr1,24586991,24587224,3.93958,3.38660,162,233,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
123,323,chr1,24587306,24587618,2.05143,0.21328,294,312,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
124,323,chr1,24588270,24588596,2.56527,1.32256,172,326,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
125,323,chr1,24589551,24589757,3.09376,1.52021,115,206,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
127,447,chr1,33906224,33906764,3.80843,2.97373,287,540,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
128,446,chr1,33908844,33909301,1.82393,0.00000,15,457,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
129,464,chr1,34457095,34457360,3.33307,2.21632,89,265,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
130,464,chr1,34457706,34459001,4.64444,4.78580,480,1295,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
131,464,chr1,34459063,34459280,3.51667,2.11236,181,217,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
132,464,chr1,34459875,34461058,5.63123,7.84239,258,1183,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
136,465,chr1,34472493,34472849,3.65764,2.72719,98,356,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
137,465,chr1,34472891,34473324,3.23473,1.52021,115,433,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
138,465,chr1,34473872,34474067,2.88554,0.90718,73,195,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
139,466,chr1,34485412,34485672,3.07615,1.64705,89,260,ENSMUSG00000101223,,4930568A12Rik,chr1,34477167,34485933,-1
140,469,chr1,34535582,34536525,4.10384,4.11414,674,943,ENSMUSG00000026124,12627.0,Cfc1,chr1,34535648,34544313,1
142,478,chr1,34676391,34676864,2.87200,1.63044,152,473,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
143,478,chr1,34676905,34677889,4.10384,4.11414,617,984,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
144,478,chr1,34677942,34678210,2.47897,0.80860,49,268,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
148,479,chr1,34750708,34751974,7.56938,14.41797,618,1266,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
148,480,chr1,34750708,34751974,7.56938,14.41797,618,1266,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
149,479,chr1,34752270,34752710,3.71846,2.82052,276,440,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
149,480,chr1,34752270,34752710,3.71846,2.82052,276,440,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
150,500,chr1,36067430,36067714,3.37570,2.11236,153,284,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
161,548,chr1,37540305,37540611,2.85159,1.31627,164,306,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
164,552,chr1,37719394,37719854,4.02975,3.32980,235,460,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
165,552,chr1,37720132,37720567,3.33307,2.21632,168,435,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
166,552,chr1,37720827,37721111,2.97476,1.63044,102,284,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
167,552,chr1,37721762,37721992,2.13641,0.06408,2,230,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
168,584,chr1,39192269,39195819,6.18592,10.93712,787,3550,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
171,598,chr1,39648662,39648999,2.81923,1.11859,147,337,ENSMUSG00000097083,,D930019O06Rik,chr1,39650176,39657390,1
172,598,chr1,39650000,39650672,3.65764,2.72719,512,672,ENSMUSG00000097083,,D930019O06Rik,chr1,39650176,39657390,1
173,599,chr1,39650883,39651236,3.23473,1.52021,277,353,ENSMUSG00000050967,263764.0,Creg2,chr1,39618406,39651474,-1
175,610,chr1,40324989,40327138,5.49705,8.20058,947,2149,ENSMUSG00000070942,107527.0,Il1rl2,chr1,40324610,40367562,1
176,618,chr1,40679379,40680763,5.03084,6.23954,493,1384,ENSMUSG00000026062,226999.0,Slc9a2,chr1,40680574,40769273,1
177,618,chr1,40680811,40681455,4.10615,6.11502,434,644,ENSMUSG00000026062,226999.0,Slc9a2,chr1,40680574,40769273,1
184,635,chr1,42695036,42695356,3.23473,1.52021,155,320,ENSMUSG00000060424,,Pantr1,chr1,42590782,42694842,-1
184,636,chr1,42695036,42695356,3.23473,1.52021,155,320,ENSMUSG00000093436,,Gm20646,chr1,42694925,42744791,1
184,637,chr1,42695036,42695356,3.23473,1.52021,155,320,ENSMUSG00000045515,18993.0,Pou3f3,chr1,42694925,42703176,1
185,635,chr1,42696565,42696931,3.07615,1.64705,284,366,ENSMUSG00000060424,,Pantr1,chr1,42590782,42694842,-1
186,635,chr1,42697311,42698036,3.93958,3.38660,374,725,ENSMUSG00000060424,,Pantr1,chr1,42590782,42694842,-1
200,638,chr1,42713582,42713864,2.98655,1.52021,104,282,ENSMUSG00000097063,,Pantr2,chr1,42707061,42713454,-1
201,638,chr1,42715290,42715917,3.71846,2.82052,383,627,ENSMUSG00000097063,,Pantr2,chr1,42707061,42713454,-1
202,705,chr1,45926102,45926574,2.97476,1.63044,277,472,ENSMUSG00000025993,53945.0,Slc40a1,chr1,45908068,45926523,-1
205,789,chr1,52729114,52729364,3.23473,1.52021,127,250,ENSMUSG00000041439,98682.0,Mfsd6,chr1,52656286,52727462,-1
207,844,chr1,55362401,55363344,4.78541,5.50356,374,943,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
