peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,11,chr1,3671008,3671584,3.29561,3.87334,221,576,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,11,chr1,3671718,3672341,2.97050,3.10445,542,623,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
10,32,chr1,4786009,4786372,3.81597,5.44524,223,363,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
18,54,chr1,6215639,6216382,4.19346,7.11311,319,743,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
21,60,chr1,6866252,6867228,3.02034,3.49931,837,976,ENSMUSG00000103329,,Gm42492,chr1,6861237,6864151,-1
23,67,chr1,7087902,7088295,2.71831,2.62681,152,393,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
28,68,chr1,7137816,7138870,4.50978,7.74053,293,1054,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
32,101,chr1,9544803,9545120,3.92644,6.54637,149,317,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
33,102,chr1,9548178,9548966,2.01041,1.59498,688,788,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
37,105,chr1,9630183,9630731,3.19480,3.70122,151,548,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
39,107,chr1,9699207,9699897,4.68323,8.35269,209,690,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
43,108,chr1,9745538,9747521,5.20449,11.15871,1139,1983,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
48,113,chr1,9908441,9908924,2.82833,3.26830,247,483,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
49,114,chr1,9942317,9943363,3.63642,6.08354,608,1046,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
50,116,chr1,9967045,9967525,1.88017,1.08864,218,480,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
50,117,chr1,9967045,9967525,1.88017,1.08864,218,480,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
51,116,chr1,9967647,9967892,4.15333,6.56170,101,245,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
51,117,chr1,9967647,9967892,4.15333,6.56170,101,245,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
52,119,chr1,10008512,10008810,3.70300,5.63091,160,298,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
53,121,chr1,10036661,10037498,5.92602,16.35369,312,837,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
54,122,chr1,10038945,10039532,5.50497,13.35950,159,587,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
92,160,chr1,13289865,13290576,3.17136,3.96489,538,711,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
93,160,chr1,13290837,13291861,3.81597,5.44524,878,1024,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
94,160,chr1,13292808,13293434,3.20998,3.72075,365,626,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
98,161,chr1,13300631,13301808,2.12357,2.09556,148,1177,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
111,162,chr1,13335763,13336090,3.46906,4.37712,162,327,ENSMUSG00000087782,,Gm23169,chr1,13334498,13334609,-1
133,200,chr1,16093011,16093620,3.17136,3.96489,84,609,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
134,201,chr1,16106131,16107521,4.16287,6.56170,348,1390,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
134,202,chr1,16106131,16107521,4.16287,6.56170,348,1390,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
138,204,chr1,16227761,16228897,3.46906,4.37712,900,1136,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
143,207,chr1,16617147,16618511,4.53051,8.82602,151,1364,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
144,208,chr1,16619555,16619892,3.32238,4.44625,212,337,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
145,210,chr1,16654592,16656024,3.98623,8.89857,1211,1432,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
146,211,chr1,16664848,16665091,3.47339,4.94384,131,243,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
146,212,chr1,16664848,16665091,3.47339,4.94384,131,243,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
147,211,chr1,16665873,16666869,4.07746,7.09960,153,996,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
148,213,chr1,16687356,16688159,4.39260,7.53078,518,803,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
156,230,chr1,17727583,17728186,3.77543,5.99018,146,603,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
158,267,chr1,20818466,20818835,3.07757,3.31996,219,369,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
159,266,chr1,20820567,20820990,1.99311,1.20234,133,423,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
159,267,chr1,20820567,20820990,1.99311,1.20234,133,423,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
160,269,chr1,20844167,20844536,3.46906,4.37712,248,369,ENSMUSG00000088858,,Gm24723,chr1,20842535,20842666,-1
164,274,chr1,20951068,20951452,3.41132,4.28963,266,384,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
175,276,chr1,21077154,21078074,2.97050,3.10445,460,920,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
180,278,chr1,21218852,21219490,3.29561,3.87334,513,638,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
196,296,chr1,21962060,21963153,2.32530,2.15103,939,1093,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
201,300,chr1,22805161,22805849,3.29561,3.87334,532,688,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
202,300,chr1,22806049,22806622,3.77543,5.99018,156,573,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
220,305,chr1,23258578,23259984,4.22848,7.67118,503,1406,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
223,306,chr1,23271511,23272439,3.29561,3.87334,99,928,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
230,311,chr1,23397360,23397970,3.29561,3.87334,437,610,ENSMUSG00000026158,70155.0,Ogfrl1,chr1,23366424,23397772,-1
242,315,chr1,23922584,23922887,4.14060,7.47151,162,303,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
243,316,chr1,24004409,24004731,3.77543,5.99018,159,322,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
250,360,chr1,25829650,25830236,3.29561,3.87334,350,586,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
250,361,chr1,25829650,25830236,3.29561,3.87334,350,586,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
257,392,chr1,30950381,30950736,2.21457,1.82228,215,355,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
257,393,chr1,30950381,30950736,2.21457,1.82228,215,355,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
270,438,chr1,33668677,33668908,3.60908,4.85563,70,231,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
271,437,chr1,33669216,33669529,4.37531,9.97770,143,313,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
271,438,chr1,33669216,33669529,4.37531,9.97770,143,313,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
278,443,chr1,33814739,33815158,4.58423,9.20680,172,419,ENSMUSG00000042197,98403.0,Zfp451,chr1,33761545,33814595,-1
279,446,chr1,33906958,33907374,2.69365,2.85178,138,416,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
279,447,chr1,33906958,33907374,2.69365,2.85178,138,416,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
284,450,chr1,33981496,33982089,2.32530,2.15103,50,593,ENSMUSG00000084506,,Gm23792,chr1,33981410,33981502,-1
293,451,chr1,34030355,34030982,2.03372,1.42142,511,627,ENSMUSG00000103364,,Gm38157,chr1,34032100,34033797,1
321,452,chr1,34115240,34115722,3.84017,5.71336,335,482,ENSMUSG00000105982,,Mir6896,chr1,34117359,34117431,1
352,459,chr1,34433737,34434331,4.22365,6.94089,170,594,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
352,460,chr1,34433737,34434331,4.22365,6.94089,170,594,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
353,462,chr1,34438437,34438908,4.46838,7.68238,154,471,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
