peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670140,3672742,15.22664,83.12943,1309,2602,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,32,chr1,4784963,4786403,15.08401,69.06118,569,1440,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807286,4808892,16.17442,76.65070,336,1606,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807286,4808892,16.17442,76.65070,336,1606,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4857160,4857647,3.76897,6.54318,302,487,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,35,chr1,4857692,4859053,14.90228,67.81300,347,1361,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,47,chr1,5588168,5589273,5.99726,14.84882,462,1105,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
11,51,chr1,5917235,5917703,3.45297,4.36968,396,468,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
12,54,chr1,6213864,6215937,23.49110,134.02811,990,2073,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,55,chr1,6358970,6359573,5.18661,11.68186,434,603,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
14,57,chr1,6382625,6383439,8.90502,30.00405,369,814,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
15,58,chr1,6441105,6441726,9.99543,36.31581,273,621,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
19,67,chr1,7087855,7090269,16.53789,79.21950,706,2414,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
