peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,11,chr1,3669572,3672752,20.81614,143.67180,1651,3180,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,32,chr1,4784669,4786644,20.97479,121.91138,870,1975,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807292,4809161,13.71554,95.22342,334,1869,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807292,4809161,13.71554,95.22342,334,1869,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4856942,4857652,5.07957,20.36062,460,710,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
8,35,chr1,4857747,4859147,18.64426,102.84770,599,1400,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,47,chr1,5588155,5589245,5.10064,14.06781,456,1090,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
12,51,chr1,5916436,5917546,6.65866,19.70915,531,1110,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
13,54,chr1,6213174,6216648,23.97119,147.37193,1664,3474,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
15,55,chr1,6358838,6359556,4.41858,11.62227,460,718,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
16,57,chr1,6382693,6383493,15.64786,79.43958,342,800,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
17,58,chr1,6440971,6441846,17.64546,94.90368,397,875,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
23,67,chr1,7087878,7090756,19.67534,130.09785,734,2878,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
25,74,chr1,7397136,7397389,5.16046,12.10985,178,253,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
26,74,chr1,7397580,7397949,10.69088,46.45869,184,369,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
27,74,chr1,7398167,7398786,16.31372,84.52573,392,619,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
29,95,chr1,9298121,9301015,11.73295,70.00855,1167,2894,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
30,101,chr1,9544902,9545188,4.34072,14.67527,132,286,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
31,101,chr1,9545457,9546879,9.85835,40.32905,184,1422,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
31,102,chr1,9545457,9546879,9.85835,40.32905,184,1422,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
32,102,chr1,9547030,9547847,4.49460,9.07638,654,817,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
33,102,chr1,9547940,9548516,2.76523,3.87911,263,576,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
34,104,chr1,9600891,9602632,14.38803,80.08302,692,1741,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
36,107,chr1,9699653,9701345,11.48619,49.42984,1005,1692,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
37,108,chr1,9745405,9745870,4.41858,11.62227,249,465,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
38,108,chr1,9746110,9748441,18.77919,105.78931,1807,2331,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
38,109,chr1,9746110,9748441,18.77919,105.78931,1807,2331,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
39,110,chr1,9797524,9798889,16.97959,89.68164,771,1365,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
41,113,chr1,9908716,9909193,2.13290,1.96421,59,477,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
