peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,11,chr1,3667734,3672778,31.66156,183.45181,2011,5044,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,19,chr1,4496709,4497560,3.84834,6.51579,685,851,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496709,4497560,3.84834,6.51579,685,851,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,26,chr1,4689016,4689449,6.35955,12.12446,298,433,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
8,32,chr1,4784587,4785692,31.80202,145.87506,529,1105,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
9,32,chr1,4785740,4786436,23.43738,95.99923,385,696,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
10,33,chr1,4807249,4809217,23.96017,98.99179,947,1968,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
10,34,chr1,4807249,4809217,23.96017,98.99179,947,1968,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
11,35,chr1,4857000,4857766,14.89846,49.71822,396,766,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,35,chr1,4857991,4859152,33.54466,155.64659,661,1161,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
17,47,chr1,5588105,5589594,25.38054,159.87454,606,1489,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
18,51,chr1,5916267,5918183,43.82620,223.51416,947,1916,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
21,54,chr1,6214676,6216711,17.64275,109.27324,841,2035,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
23,55,chr1,6358708,6359743,38.67696,202.75752,576,1035,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
24,57,chr1,6382531,6383678,25.35231,110.38371,620,1147,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
25,58,chr1,6441016,6441834,28.49102,125.13050,381,818,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
31,67,chr1,7087770,7088711,24.18087,102.85053,485,941,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
32,67,chr1,7089059,7090809,15.50719,114.17948,811,1750,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
35,74,chr1,7396927,7397576,8.62498,21.11741,314,649,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
36,74,chr1,7398147,7398970,9.70564,42.78603,404,823,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
44,95,chr1,9297998,9301064,32.67334,150.74783,2086,3066,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
45,101,chr1,9544721,9545269,30.58218,137.82368,285,548,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
46,101,chr1,9545452,9548774,17.33815,61.68708,559,3322,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
46,102,chr1,9545452,9548774,17.33815,61.68708,559,3322,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
47,104,chr1,9600860,9603370,14.22396,68.80213,677,2510,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
51,107,chr1,9699248,9701455,48.42867,261.04733,784,2207,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
55,108,chr1,9744753,9745194,20.12637,77.02245,263,441,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
56,108,chr1,9745344,9748470,22.54973,176.86848,2095,3126,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
56,109,chr1,9745344,9748470,22.54973,176.86848,2095,3126,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
57,109,chr1,9748613,9748976,21.00124,85.23516,185,363,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
59,110,chr1,9797316,9799228,39.99240,197.55576,550,1912,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
61,113,chr1,9908147,9909206,9.89690,44.88712,593,1059,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
62,114,chr1,9942143,9944063,44.87178,230.52611,941,1920,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
62,115,chr1,9942143,9944063,44.87178,230.52611,941,1920,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
63,114,chr1,9944128,9944771,11.80945,59.12825,355,643,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
63,115,chr1,9944128,9944771,11.80945,59.12825,355,643,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
64,116,chr1,9967035,9968535,18.65836,71.10410,1158,1500,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
64,117,chr1,9967035,9968535,18.65836,71.10410,1158,1500,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
65,119,chr1,10008552,10009708,28.21258,137.75500,586,1156,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
65,120,chr1,10008552,10009708,28.21258,137.75500,586,1156,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
