peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
4,58,chr1,6430001,6430310,3.00592,2.02181,170,309,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
5,65,chr1,7013601,7013907,2.91149,1.58093,154,306,ENSMUSG00000102213,,Gm37489,chr1,7013762,7013920,1
10,206,chr1,16348691,16348943,3.44435,2.86052,159,252,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
15,457,chr1,34365708,34366010,2.70533,1.25060,174,302,ENSMUSG00000101206,,Gm5266,chr1,34367371,34369003,1
16,460,chr1,34430178,34431733,4.57226,7.66507,593,1555,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
17,486,chr1,34930074,34930916,3.23498,2.46231,691,842,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
26,539,chr1,37229632,37229877,2.92770,1.45552,193,245,ENSMUSG00000026114,12790.0,Cnga3,chr1,37214434,37263384,1
28,592,chr1,39540038,39540354,2.50138,1.07179,186,316,ENSMUSG00000003135,52846.0,Cnot11,chr1,39534992,39546889,1
29,620,chr1,40779060,40779980,2.22533,0.59257,200,920,ENSMUSG00000103270,,Gm37915,chr1,40771385,40785343,1
29,621,chr1,40779060,40779980,2.22533,0.59257,200,920,ENSMUSG00000041945,211798.0,Mfsd9,chr1,40772038,40790687,-1
30,625,chr1,41529736,41529940,3.44435,2.86052,116,204,ENSMUSG00000100185,,Gm28634,chr1,41526931,41529543,-1
34,661,chr1,43809702,43809986,3.44435,2.86052,165,284,ENSMUSG00000057363,67883.0,Uxs1,chr1,43746966,43827800,-1
35,674,chr1,44171414,44172234,3.61657,3.40085,662,820,ENSMUSG00000026048,22592.0,Ercc5,chr1,44147744,44181260,1
40,735,chr1,48881399,48881749,2.35350,18.07326,174,350,ENSMUSG00000097883,,Gm8357,chr1,48881713,48882723,1
41,803,chr1,53341810,53342246,3.15964,2.97450,103,436,ENSMUSG00000101838,,Gm18800,chr1,53326206,53342186,-1
