peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670552,3672642,31.90121,163.79741,1002,2090,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,19,chr1,4494506,4495459,6.18070,13.94711,293,953,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,19,chr1,4495565,4498307,12.71883,45.52585,1617,2742,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,20,chr1,4495565,4498307,12.71883,45.52585,1617,2742,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
8,26,chr1,4689094,4689449,6.65565,14.98783,181,355,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
9,32,chr1,4784812,4786524,18.23762,91.97655,532,1712,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
10,33,chr1,4807247,4808863,17.24636,81.86373,989,1616,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
10,34,chr1,4807247,4808863,17.24636,81.86373,989,1616,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
11,35,chr1,4856934,4858935,19.18148,85.99234,1566,2001,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
14,51,chr1,5916655,5917394,4.81961,8.03349,181,739,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6213219,6216657,22.26200,99.57149,1115,3438,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
16,55,chr1,6358713,6359883,19.96695,85.29835,625,1170,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
17,57,chr1,6382324,6383501,28.91765,143.26646,686,1177,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
18,58,chr1,6441168,6441720,20.19645,86.70495,252,552,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
19,67,chr1,7087916,7088786,24.61436,116.31661,616,870,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
