peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670174,3672633,7.60562,12.06466,1666,2459,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,19,chr1,4494090,4495490,6.10792,8.29634,723,1400,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,19,chr1,4495587,4499000,6.53584,9.21118,1020,3413,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,20,chr1,4495587,4499000,6.53584,9.21118,1020,3413,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,20,chr1,4499753,4500370,3.11252,1.29282,110,617,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
14,51,chr1,5916560,5917864,3.96835,2.60355,562,1304,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,55,chr1,6359384,6359671,2.91581,1.27739,156,287,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
16,57,chr1,6382867,6383175,3.64741,2.60355,126,308,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
17,58,chr1,6441125,6441345,3.43345,1.93209,130,220,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
18,58,chr1,6441385,6442300,3.75439,2.60355,170,915,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
19,95,chr1,9298520,9300162,4.85458,6.53260,1025,1642,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
21,107,chr1,9699034,9700223,6.19739,9.81731,833,1189,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
26,116,chr1,9964575,9964894,2.21315,0.53109,260,319,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
27,116,chr1,9965574,9965861,5.72319,7.51152,162,287,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
28,116,chr1,9966309,9966642,4.83192,7.17058,175,333,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
29,116,chr1,9966694,9969919,12.59365,31.57053,685,3225,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
29,117,chr1,9966694,9969919,12.59365,31.57053,685,3225,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
30,136,chr1,10993171,10994481,6.74979,10.15001,602,1310,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
31,140,chr1,11413566,11414102,4.07533,3.32819,149,536,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
32,140,chr1,11414154,11414726,3.11252,1.29282,196,572,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
32,141,chr1,11414154,11414726,3.11252,1.29282,196,572,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
33,151,chr1,12692304,12692644,4.39626,4.08369,205,340,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
36,152,chr1,12990338,12993413,7.07073,11.10353,769,3075,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
37,156,chr1,13123619,13127722,8.46145,15.09571,3587,4103,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
38,156,chr1,13127901,13129946,6.53584,9.21118,602,2045,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
40,179,chr1,14309113,14310209,5.14511,5.69481,641,1096,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
41,179,chr1,14311189,14311412,3.75439,2.60355,90,223,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
45,181,chr1,14754840,14757268,7.49864,12.06466,963,2428,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
46,188,chr1,15286174,15287397,2.63556,1.91897,610,1223,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
47,198,chr1,15891989,15893175,5.03813,5.69481,874,1186,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
48,198,chr1,15893330,15893664,5.14511,5.69481,168,334,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
49,200,chr1,16091898,16093812,3.88366,4.71818,1153,1914,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
51,206,chr1,16519795,16520906,3.56206,3.01615,144,1111,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
52,206,chr1,16521719,16522074,3.75439,2.60355,170,355,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
54,218,chr1,17096332,17098031,5.50083,8.93749,1050,1699,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
55,218,chr1,17098668,17099318,2.35033,0.26623,64,650,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
56,236,chr1,18057381,18059513,6.85677,10.15001,1163,2132,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
56,237,chr1,18057381,18059513,6.85677,10.15001,1163,2132,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
57,247,chr1,19103139,19104927,5.14511,5.69481,915,1788,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
57,248,chr1,19103139,19104927,5.14511,5.69481,915,1788,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
58,248,chr1,19105179,19105475,4.07533,3.32819,107,296,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
59,250,chr1,19206189,19206504,3.64741,2.60355,246,315,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
60,250,chr1,19207105,19207373,3.56536,2.51742,51,268,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
61,250,chr1,19207420,19208193,4.50324,4.08369,326,773,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
62,250,chr1,19208703,19210557,7.32996,11.82527,1664,1854,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
77,251,chr1,19240233,19240762,2.72040,1.29282,277,529,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
78,251,chr1,19240856,19241595,4.39626,4.08369,133,739,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
79,270,chr1,20891443,20891993,4.39626,4.08369,368,550,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
80,296,chr1,21960875,21962803,5.12644,7.24140,1403,1928,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
84,300,chr1,22805273,22805957,4.71720,4.87497,136,684,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
85,300,chr1,22806332,22807120,2.84965,1.80412,183,788,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
86,314,chr1,23759943,23764069,7.79199,14.00032,2203,4126,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
87,318,chr1,24099094,24101226,7.95060,13.96545,594,2132,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
87,319,chr1,24099094,24101226,7.95060,13.96545,594,2132,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
88,323,chr1,24585907,24587881,5.25209,5.69481,937,1974,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
89,360,chr1,25829156,25830382,5.35907,6.53260,877,1226,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
89,361,chr1,25829156,25830382,5.35907,6.53260,877,1226,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
90,360,chr1,25830431,25831112,3.40050,2.41001,148,681,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
90,361,chr1,25830431,25831112,3.40050,2.41001,148,681,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
91,360,chr1,25831153,25831594,3.43345,1.93209,73,441,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
91,361,chr1,25831153,25831594,3.43345,1.93209,73,441,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
92,411,chr1,32172595,32173200,3.64741,2.60355,437,605,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
94,446,chr1,33905784,33910230,10.70800,22.68737,1244,4446,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
94,447,chr1,33905784,33910230,10.70800,22.68737,1244,4446,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
97,464,chr1,34459072,34459468,4.39626,4.08369,128,396,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
98,469,chr1,34535641,34537243,4.28835,4.63789,1280,1602,ENSMUSG00000026124,12627.0,Cfc1,chr1,34535648,34544313,1
100,472,chr1,34578814,34579359,3.87908,2.51742,357,545,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
100,473,chr1,34578814,34579359,3.87908,2.51742,357,545,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
101,472,chr1,34579838,34580094,3.32647,1.93209,174,256,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
101,473,chr1,34579838,34580094,3.32647,1.93209,174,256,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
102,478,chr1,34677575,34678944,4.61022,4.08369,1200,1369,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
105,479,chr1,34749067,34751994,8.56843,15.09571,1279,2927,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
105,480,chr1,34749067,34751994,8.56843,15.09571,1279,2927,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
106,479,chr1,34752269,34752574,3.65438,2.19493,186,305,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
106,480,chr1,34752269,34752574,3.65438,2.19493,186,305,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
114,513,chr1,36472440,36472766,3.13921,2.10057,174,326,ENSMUSG00000104316,,Gm37909,chr1,36473952,36476110,1
115,520,chr1,36554544,36555571,4.64872,4.46195,676,1027,ENSMUSG00000087589,,D430040D24Rik,chr1,36557701,36565613,1
116,520,chr1,36555691,36560454,7.45298,19.05733,2210,4763,ENSMUSG00000087589,,D430040D24Rik,chr1,36557701,36565613,1
116,521,chr1,36555691,36560454,7.45298,19.05733,2210,4763,ENSMUSG00000026121,20353.0,Sema4c,chr1,36548639,36558349,-1
117,521,chr1,36560829,36561686,2.15929,0.17859,360,857,ENSMUSG00000026121,20353.0,Sema4c,chr1,36548639,36558349,-1
120,540,chr1,37301424,37301702,3.82150,2.58781,124,278,ENSMUSG00000102231,,1700074A21Rik,chr1,37299352,37299697,-1
122,548,chr1,37542129,37542803,2.59115,0.80511,304,674,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
124,552,chr1,37718943,37721355,7.55158,14.18752,670,2412,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
126,574,chr1,38835103,38837619,8.03354,14.07373,685,2516,ENSMUSG00000048814,381338.0,Lonrf2,chr1,38793645,38836711,-1
127,576,chr1,38897049,38898259,4.93116,4.87497,467,1210,ENSMUSG00000026080,98388.0,Chst10,chr1,38863867,38898161,-1
128,584,chr1,39192337,39195742,10.60102,22.68737,1675,3405,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
130,598,chr1,39648976,39651478,9.53124,18.27035,1909,2502,ENSMUSG00000097083,,D930019O06Rik,chr1,39650176,39657390,1
130,599,chr1,39648976,39651478,9.53124,18.27035,1909,2502,ENSMUSG00000050967,263764.0,Creg2,chr1,39618406,39651474,-1
131,599,chr1,39651880,39652123,2.07414,0.02446,36,243,ENSMUSG00000050967,263764.0,Creg2,chr1,39618406,39651474,-1
132,603,chr1,39899818,39902198,3.83575,6.19553,1530,2380,ENSMUSG00000026074,26921.0,Map4k4,chr1,39900913,40026310,1
138,618,chr1,40678313,40678765,2.67346,0.72926,328,452,ENSMUSG00000026062,226999.0,Slc9a2,chr1,40680574,40769273,1
139,618,chr1,40679738,40683801,7.43960,15.09571,1541,4063,ENSMUSG00000026062,226999.0,Slc9a2,chr1,40680574,40769273,1
143,635,chr1,42691189,42699966,14.34938,39.55077,6892,8777,ENSMUSG00000060424,,Pantr1,chr1,42590782,42694842,-1
143,636,chr1,42691189,42699966,14.34938,39.55077,6892,8777,ENSMUSG00000093436,,Gm20646,chr1,42694925,42744791,1
143,637,chr1,42691189,42699966,14.34938,39.55077,6892,8777,ENSMUSG00000045515,18993.0,Pou3f3,chr1,42694925,42703176,1
154,638,chr1,42713040,42714534,8.24749,14.07373,719,1494,ENSMUSG00000097063,,Pantr2,chr1,42707061,42713454,-1
155,638,chr1,42714744,42715686,5.13210,5.85040,170,942,ENSMUSG00000097063,,Pantr2,chr1,42707061,42713454,-1
156,638,chr1,42715769,42716295,3.64741,2.60355,394,526,ENSMUSG00000097063,,Pantr2,chr1,42707061,42713454,-1
157,642,chr1,42952497,42953932,6.38944,11.47241,760,1435,ENSMUSG00000041907,93690.0,Gpr45,chr1,42952872,43035456,1
160,680,chr1,44551775,44552571,3.31972,2.41001,430,796,ENSMUSG00000056870,70676.0,Gulp1,chr1,44551511,44796838,1
164,767,chr1,51915033,51916256,5.52616,7.51152,617,1223,ENSMUSG00000018417,17912.0,Myo1b,chr1,51749765,51916071,-1
165,767,chr1,51916298,51916809,2.67346,0.72926,409,511,ENSMUSG00000018417,17912.0,Myo1b,chr1,51749765,51916071,-1
167,789,chr1,52726545,52728033,6.32188,9.21118,458,1488,ENSMUSG00000041439,98682.0,Mfsd6,chr1,52656286,52727462,-1
168,789,chr1,52728223,52728431,3.43345,1.93209,113,208,ENSMUSG00000041439,98682.0,Mfsd6,chr1,52656286,52727462,-1
173,817,chr1,54194667,54195903,11.04298,25.67340,373,1236,ENSMUSG00000042807,329152.0,Hecw2,chr1,53806876,54195168,-1
174,817,chr1,54196495,54196878,3.32647,1.93209,128,383,ENSMUSG00000042807,329152.0,Hecw2,chr1,53806876,54195168,-1
176,823,chr1,54557161,54557472,3.45735,2.19493,163,311,ENSMUSG00000073678,241062.0,Pgap1,chr1,54472994,54557684,-1
177,829,chr1,54924959,54927238,4.01291,5.36999,1037,2279,ENSMUSG00000052331,329154.0,Ankrd44,chr1,54645340,54926387,-1
178,840,chr1,55225406,55226533,2.15929,0.17859,1064,1127,ENSMUSG00000097649,,Gm10561,chr1,55226251,55235622,1
178,841,chr1,55225406,55226533,2.15929,0.17859,1064,1127,ENSMUSG00000025978,74013.0,Rftn2,chr1,55170159,55226782,-1
180,844,chr1,55362998,55363942,4.61022,4.08369,616,944,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
181,844,chr1,55364218,55364572,2.83503,1.27739,284,354,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
182,847,chr1,55404661,55408252,7.05032,17.19729,1793,3591,ENSMUSG00000038349,227120.0,Plcl1,chr1,55405921,55754285,1
184,857,chr1,56968288,56974614,11.24290,23.82760,4595,6326,ENSMUSG00000087022,,9130024F11Rik,chr1,56971412,57050084,1
184,858,chr1,56968288,56974614,11.24290,23.82760,4595,6326,ENSMUSG00000104310,,Gm4081,chr1,56976803,56978640,1
185,858,chr1,56974898,56975123,6.42886,9.21118,96,225,ENSMUSG00000104310,,Gm4081,chr1,56976803,56978640,1
186,858,chr1,56975249,56978646,9.74520,19.35931,1271,3397,ENSMUSG00000104310,,Gm4081,chr1,56976803,56978640,1
186,859,chr1,56975249,56978646,9.74520,19.35931,1271,3397,ENSMUSG00000038331,212712.0,Satb2,chr1,56793981,56978650,-1
187,859,chr1,56978747,56978975,3.56536,2.51742,128,228,ENSMUSG00000038331,212712.0,Satb2,chr1,56793981,56978650,-1
188,859,chr1,56979401,56983083,6.74979,10.15001,620,3682,ENSMUSG00000038331,212712.0,Satb2,chr1,56793981,56978650,-1
190,873,chr1,57773504,57776175,9.95915,20.45926,1568,2671,ENSMUSG00000038305,67198.0,Spats2l,chr1,57774162,57948394,1
191,919,chr1,59482833,59483211,2.26700,0.53109,16,378,ENSMUSG00000041075,14369.0,Fzd7,chr1,59482424,59486955,1
194,939,chr1,60042264,60043829,11.88477,26.13460,1136,1565,ENSMUSG00000026018,70375.0,Ica1l,chr1,59982490,60043184,-1
195,939,chr1,60043916,60044930,6.96375,11.10353,209,1014,ENSMUSG00000026018,70375.0,Ica1l,chr1,59982490,60043184,-1
196,950,chr1,60565285,60567708,6.47022,11.47241,1001,2423,ENSMUSG00000026014,77300.0,Raph1,chr1,60482292,60567104,-1
197,994,chr1,62701410,62702131,5.03813,5.69481,174,721,ENSMUSG00000025969,18187.0,Nrp2,chr1,62703285,62818695,1
198,994,chr1,62702206,62707783,6.27481,13.74785,1406,5577,ENSMUSG00000025969,18187.0,Nrp2,chr1,62703285,62818695,1
204,1015,chr1,63246966,63250260,5.30542,9.70783,1354,3294,ENSMUSG00000102536,,1700039I01Rik,chr1,63248021,63248499,-1
223,1017,chr1,63270178,63271009,3.86137,2.60355,165,831,ENSMUSG00000027520,73884.0,Zdbf2,chr1,63273265,63314576,1
224,1017,chr1,63271088,63271355,3.64741,2.60355,164,267,ENSMUSG00000027520,73884.0,Zdbf2,chr1,63273265,63314576,1
225,1016,chr1,63271427,63274685,12.41966,28.49337,2072,3258,ENSMUSG00000087561,,Gm11608,chr1,63266848,63273120,-1
225,1017,chr1,63271427,63274685,12.41966,28.49337,2072,3258,ENSMUSG00000027520,73884.0,Zdbf2,chr1,63273265,63314576,1
225,1018,chr1,63271427,63274685,12.41966,28.49337,2072,3258,ENSMUSG00000092705,,Gm24513,chr1,63273226,63273363,-1
226,1016,chr1,63274847,63275271,5.21726,7.35746,165,424,ENSMUSG00000087561,,Gm11608,chr1,63266848,63273120,-1
226,1018,chr1,63274847,63275271,5.21726,7.35746,165,424,ENSMUSG00000092705,,Gm24513,chr1,63273226,63273363,-1
227,1018,chr1,63275675,63276107,4.50324,4.08369,138,432,ENSMUSG00000092705,,Gm24513,chr1,63273226,63273363,-1
231,1022,chr1,63444568,63444808,3.16180,1.56457,183,240,ENSMUSG00000025964,23792.0,Adam23,chr1,63445891,63596276,1
232,1022,chr1,63445053,63447089,7.76273,16.99324,1326,2036,ENSMUSG00000025964,23792.0,Adam23,chr1,63445891,63596276,1
235,1046,chr1,64735465,64735655,3.00513,1.32232,80,190,ENSMUSG00000102140,,Gm38058,chr1,64736240,64740607,1
237,1081,chr1,66467849,66468732,4.50324,4.08369,679,883,ENSMUSG00000055567,329178.0,Unc80,chr1,66468367,66699148,1
238,1117,chr1,69105109,69106830,7.81958,13.06114,786,1721,ENSMUSG00000087514,,Gm16076,chr1,69091913,69106740,-1
239,1117,chr1,69106970,69109099,8.67541,16.14085,868,2129,ENSMUSG00000087514,,Gm16076,chr1,69091913,69106740,-1
239,1118,chr1,69106970,69109099,8.67541,16.14085,868,2129,ENSMUSG00000062209,13869.0,Erbb4,chr1,68032186,69108059,-1
241,1142,chr1,71651260,71652110,4.07533,3.32819,518,850,ENSMUSG00000073652,,Apol7d,chr1,71652837,71662843,1
242,1142,chr1,71652287,71653342,5.17770,7.33291,650,1055,ENSMUSG00000073652,,Apol7d,chr1,71652837,71662843,1
242,1143,chr1,71652287,71653342,5.17770,7.33291,650,1055,ENSMUSG00000026193,14268.0,Fn1,chr1,71585520,71653200,-1
243,1143,chr1,71653437,71654207,3.96835,2.60355,536,770,ENSMUSG00000026193,14268.0,Fn1,chr1,71585520,71653200,-1
245,1154,chr1,72211365,72212541,4.40067,6.73010,688,1176,ENSMUSG00000039395,381269.0,Mreg,chr1,72159442,72212307,-1
247,1155,chr1,72224600,72224862,4.29737,3.95519,128,262,ENSMUSG00000094655,,Gm25360,chr1,72226240,72226430,1
248,1156,chr1,72234766,72235875,5.68001,7.40357,702,1109,ENSMUSG00000094050,,Gm23472,chr1,72236946,72237136,1
249,1156,chr1,72235977,72236725,5.78698,7.40357,579,748,ENSMUSG00000094050,,Gm23472,chr1,72236946,72237136,1
250,1159,chr1,72284517,72284871,4.18230,3.32819,145,354,ENSMUSG00000026189,111175.0,Pecr,chr1,72259167,72284314,-1
250,1160,chr1,72284517,72284871,4.18230,3.32819,145,354,ENSMUSG00000026188,271711.0,Tmem169,chr1,72284369,72303104,1
