peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,19,chr1,4496510,4496907,2.74590,2.19814,146,397,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4496510,4496907,2.74590,2.19814,146,397,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
3,19,chr1,4497042,4497571,3.25335,3.95530,409,529,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4497042,4497571,3.25335,3.95530,409,529,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
13,54,chr1,6215516,6216708,3.37238,4.90490,190,1192,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
15,55,chr1,6359143,6359521,2.88163,2.62607,189,378,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
16,60,chr1,6866407,6866847,2.74590,2.19814,160,440,ENSMUSG00000103329,,Gm42492,chr1,6861237,6864151,-1
17,67,chr1,7087901,7088198,3.06794,3.97949,155,297,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
21,101,chr1,9544767,9545016,3.15307,3.04547,107,249,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
22,102,chr1,9547522,9547774,3.04527,3.06756,109,252,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
28,108,chr1,9745421,9747440,6.75360,19.44568,1641,2019,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
31,114,chr1,9942129,9942897,2.24826,2.14005,179,768,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
32,116,chr1,9967691,9968001,2.76350,3.08182,148,310,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
32,117,chr1,9967691,9968001,2.76350,3.08182,148,310,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
33,121,chr1,10035604,10036197,2.25610,1.60307,168,593,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
34,121,chr1,10036242,10036542,3.27874,3.52425,180,300,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
35,121,chr1,10036756,10037234,5.17305,10.45074,194,478,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
36,122,chr1,10039010,10039411,4.17525,7.52663,173,401,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
40,130,chr1,10693742,10693950,3.42452,4.01281,103,208,ENSMUSG00000081417,,Gm15603,chr1,10695123,10695614,1
41,131,chr1,10720105,10720455,2.61672,3.25152,176,350,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
58,150,chr1,12670755,12671471,2.81035,2.64802,166,716,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
59,151,chr1,12690146,12690729,3.02287,3.48182,393,583,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
60,151,chr1,12690783,12691190,2.81726,3.56744,163,407,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
61,151,chr1,12691759,12692340,3.27426,3.97949,163,581,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
85,156,chr1,13128205,13128633,3.07803,3.36661,149,428,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
92,161,chr1,13299939,13300221,3.01735,3.04547,108,282,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
93,161,chr1,13300462,13300911,3.39024,4.45907,329,449,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
159,181,chr1,14755830,14756498,4.36120,7.29972,212,668,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
160,182,chr1,14787619,14787960,2.79393,2.65074,161,341,ENSMUSG00000103492,,Gm37412,chr1,14788645,14792965,1
163,198,chr1,15892203,15892602,3.62220,5.43640,266,399,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
173,202,chr1,16102573,16103353,3.83168,5.03003,436,780,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
174,201,chr1,16106816,16107654,4.37457,7.29972,318,838,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
181,203,chr1,16212625,16212918,2.36624,2.09008,194,293,ENSMUSG00000104165,,Gm38249,chr1,16208197,16210517,-1
185,204,chr1,16227255,16229132,4.31806,8.17635,1336,1877,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
194,207,chr1,16616318,16616926,4.23885,6.73830,123,608,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
195,207,chr1,16617142,16617612,3.37238,4.90490,155,470,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
196,210,chr1,16655169,16656000,5.98490,13.12631,545,831,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
197,209,chr1,16657709,16658120,3.39024,4.45907,211,411,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
197,210,chr1,16657709,16658120,3.39024,4.45907,211,411,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
198,211,chr1,16666099,16666929,5.59608,11.79653,525,830,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
199,213,chr1,16687772,16688225,4.29794,7.49584,335,453,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
