peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
4,19,chr1,4494511,4494929,4.19634,3.03170,241,418,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,19,chr1,4496633,4497644,3.83544,1.97479,81,1011,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496633,4497644,3.83544,1.97479,81,1011,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,95,chr1,9299879,9300196,3.47454,1.63564,156,317,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
8,116,chr1,9966830,9967525,3.47454,1.63564,389,695,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
8,117,chr1,9966830,9967525,3.47454,1.63564,389,695,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
9,136,chr1,10993543,10993756,3.11364,0.72450,118,213,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
12,156,chr1,13127066,13127562,4.37679,3.58838,411,496,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
13,156,chr1,13129522,13129844,3.29409,1.17289,149,322,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
18,181,chr1,14755131,14755925,3.83544,1.97479,548,794,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
19,181,chr1,14757957,14758175,3.29409,1.17289,116,218,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
20,236,chr1,18057590,18057897,2.93319,0.30889,178,307,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
21,248,chr1,19105322,19105680,3.47454,1.63564,227,358,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
22,250,chr1,19209019,19209330,4.91814,4.67553,129,311,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
31,251,chr1,19240558,19241138,3.11364,0.72450,313,580,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
32,251,chr1,19241220,19241623,3.83544,1.97479,227,403,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
34,314,chr1,23760949,23761592,3.86585,2.88842,454,643,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
38,446,chr1,33908318,33908666,3.83544,1.97479,91,348,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
38,447,chr1,33908318,33908666,3.83544,1.97479,91,348,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
43,618,chr1,40680881,40681342,3.47454,1.63564,279,461,ENSMUSG00000026062,226999.0,Slc9a2,chr1,40680574,40769273,1
49,636,chr1,42691684,42692747,3.47454,1.63564,797,1063,ENSMUSG00000093436,,Gm20646,chr1,42694925,42744791,1
49,637,chr1,42691684,42692747,3.47454,1.63564,797,1063,ENSMUSG00000045515,18993.0,Pou3f3,chr1,42694925,42703176,1
50,635,chr1,42694969,42695435,3.86585,2.88842,145,466,ENSMUSG00000060424,,Pantr1,chr1,42590782,42694842,-1
50,636,chr1,42694969,42695435,3.86585,2.88842,145,466,ENSMUSG00000093436,,Gm20646,chr1,42694925,42744791,1
50,637,chr1,42694969,42695435,3.86585,2.88842,145,466,ENSMUSG00000045515,18993.0,Pou3f3,chr1,42694925,42703176,1
51,635,chr1,42695630,42696121,4.55724,4.03358,296,491,ENSMUSG00000060424,,Pantr1,chr1,42590782,42694842,-1
65,638,chr1,42713330,42713703,3.47454,1.63564,186,373,ENSMUSG00000097063,,Pantr2,chr1,42707061,42713454,-1
66,638,chr1,42714049,42714416,3.47454,1.63564,122,367,ENSMUSG00000097063,,Pantr2,chr1,42707061,42713454,-1
71,844,chr1,55362958,55363291,3.29409,1.17289,189,333,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
73,857,chr1,56969168,56969469,3.83544,1.97479,131,301,ENSMUSG00000087022,,9130024F11Rik,chr1,56971412,57050084,1
74,857,chr1,56969909,56970559,3.47454,1.63564,337,650,ENSMUSG00000087022,,9130024F11Rik,chr1,56971412,57050084,1
75,857,chr1,56970689,56971641,4.91814,4.67553,150,952,ENSMUSG00000087022,,9130024F11Rik,chr1,56971412,57050084,1
76,858,chr1,56975635,56975891,3.11364,0.72450,99,256,ENSMUSG00000104310,,Gm4081,chr1,56976803,56978640,1
77,858,chr1,56976120,56976616,3.65499,1.97479,316,496,ENSMUSG00000104310,,Gm4081,chr1,56976803,56978640,1
78,858,chr1,56976662,56976959,3.65499,1.97479,126,297,ENSMUSG00000104310,,Gm4081,chr1,56976803,56978640,1
79,858,chr1,56977027,56977677,3.29009,1.97479,523,650,ENSMUSG00000104310,,Gm4081,chr1,56976803,56978640,1
80,859,chr1,56979629,56980027,4.95513,5.50659,181,398,ENSMUSG00000038331,212712.0,Satb2,chr1,56793981,56978650,-1
81,859,chr1,56980747,56981642,2.81462,1.63564,606,895,ENSMUSG00000038331,212712.0,Satb2,chr1,56793981,56978650,-1
84,939,chr1,60042470,60042720,2.87517,1.60625,123,250,ENSMUSG00000026018,70375.0,Ica1l,chr1,59982490,60043184,-1
87,1015,chr1,63247764,63248394,4.01589,2.49116,99,630,ENSMUSG00000102536,,1700039I01Rik,chr1,63248021,63248499,-1
88,1015,chr1,63248827,63249083,3.86585,2.88842,179,256,ENSMUSG00000102536,,1700039I01Rik,chr1,63248021,63248499,-1
94,1016,chr1,63272893,63273220,3.54708,1.97479,175,327,ENSMUSG00000087561,,Gm11608,chr1,63266848,63273120,-1
94,1017,chr1,63272893,63273220,3.54708,1.97479,175,327,ENSMUSG00000027520,73884.0,Zdbf2,chr1,63273265,63314576,1
94,1018,chr1,63272893,63273220,3.54708,1.97479,175,327,ENSMUSG00000092705,,Gm24513,chr1,63273226,63273363,-1
