peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670271,3672703,52.60285,513.59875,1193,2432,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,19,chr1,4496870,4497978,12.45857,67.23605,540,1108,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,20,chr1,4496870,4497978,12.45857,67.23605,540,1108,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,26,chr1,4689082,4689497,9.96686,47.20893,189,415,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
7,32,chr1,4784288,4786888,26.78461,219.93330,813,2600,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
8,33,chr1,4807233,4809264,23.12497,179.11185,1298,2031,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
8,34,chr1,4807233,4809264,23.12497,179.11185,1298,2031,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
9,35,chr1,4856815,4857736,14.67343,86.36005,477,921,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,35,chr1,4857957,4859376,28.53723,258.17227,756,1419,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
14,47,chr1,5588109,5589264,17.85728,115.64500,348,1155,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
15,51,chr1,5916306,5918022,31.28485,255.87737,845,1716,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
16,54,chr1,6213153,6216595,31.56171,258.99033,2413,3442,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
18,55,chr1,6358723,6359669,32.80757,273.08997,608,946,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
19,57,chr1,6382367,6383546,46.51199,436.74194,659,1179,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
22,58,chr1,6440950,6441923,36.12985,311.38889,455,973,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
23,67,chr1,7087767,7091244,28.10100,220.64105,2108,3477,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
26,74,chr1,7396893,7397911,7.89043,31.99508,450,1018,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
27,74,chr1,7398145,7398906,17.99571,116.96056,405,761,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
31,95,chr1,9298422,9300343,21.73328,153.66161,898,1921,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
32,101,chr1,9544596,9549095,29.34685,234.30315,391,4499,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
32,102,chr1,9544596,9549095,29.34685,234.30315,391,4499,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
