peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,11,chr1,3671854,3672590,3.85168,4.97255,598,736,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,11,chr1,3673206,3673862,2.74988,2.61892,287,656,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
7,19,chr1,4494500,4495444,5.68565,13.41000,442,944,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,19,chr1,4495601,4499503,3.43148,6.03957,2203,3902,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,20,chr1,4495601,4499503,3.43148,6.03957,2203,3902,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
9,20,chr1,4499748,4501139,4.60878,8.37986,166,1391,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
20,51,chr1,5915734,5918032,5.37782,10.45677,400,2298,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
21,55,chr1,6359430,6360418,4.69827,8.16529,551,988,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
22,58,chr1,6441600,6441877,2.93600,2.17545,185,277,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
23,95,chr1,9298483,9301053,5.68107,14.95140,788,2570,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
26,116,chr1,9966995,9967589,3.26268,3.48306,117,594,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
26,117,chr1,9966995,9967589,3.26268,3.48306,117,594,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
27,116,chr1,9967728,9968145,3.85168,4.97255,120,417,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
27,117,chr1,9967728,9968145,3.85168,4.97255,120,417,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
28,117,chr1,9968803,9969233,3.96992,8.87159,293,430,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
30,141,chr1,11414725,11416071,4.91998,8.98336,614,1346,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
31,141,chr1,11416735,11417051,3.39384,3.19568,148,316,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
33,151,chr1,12689451,12690038,4.46214,6.90491,203,587,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
34,151,chr1,12690256,12691042,5.74308,13.53235,600,786,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
84,152,chr1,12992952,12993500,3.02735,3.47382,364,548,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
85,152,chr1,12993607,12993963,2.93600,2.17545,189,356,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
86,152,chr1,12994218,12995471,3.02735,3.47382,293,1253,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
