peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3669100,3672745,32.99289,268.02292,3003,3645,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4496851,4497981,6.82612,24.17676,567,1130,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496851,4497981,6.82612,24.17676,567,1130,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4689118,4689481,5.26180,14.85311,175,363,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
6,32,chr1,4784208,4786885,22.75372,159.81735,1917,2677,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807225,4809255,10.89365,81.43150,1328,2030,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807225,4809255,10.89365,81.43150,1328,2030,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856768,4857744,13.93665,77.82668,689,976,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,35,chr1,4857899,4859334,27.73110,211.00388,736,1435,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,40,chr1,4970184,4970483,2.91774,3.98908,212,299,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
14,47,chr1,5587965,5589397,28.58436,220.06207,699,1432,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
15,51,chr1,5916330,5918124,34.69942,287.07047,595,1794,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
16,54,chr1,6213274,6216656,23.73982,181.20200,2246,3382,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
18,55,chr1,6358698,6359977,36.12153,303.13257,639,1279,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
19,57,chr1,6382580,6383594,26.73562,200.53600,552,1014,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
20,58,chr1,6440977,6441855,28.44215,218.54692,438,878,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
27,67,chr1,7087780,7091264,17.91128,147.54283,2112,3484,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
29,74,chr1,7396915,7397963,9.10149,39.63330,427,1048,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
30,74,chr1,7398079,7398804,19.90950,131.99683,456,725,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
33,82,chr1,8468738,8469060,3.05037,4.53676,73,322,ENSMUSG00000086235,,Gm16284,chr1,8468426,8468825,-1
36,95,chr1,9298049,9300972,38.25469,327.53064,1930,2923,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
37,101,chr1,9544559,9545280,25.88235,191.65125,443,721,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
38,101,chr1,9545364,9548842,21.75824,149.95143,514,3478,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
38,102,chr1,9545364,9548842,21.75824,149.95143,514,3478,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
39,104,chr1,9601088,9602553,11.68997,59.84596,492,1465,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
43,107,chr1,9699089,9701500,35.97932,301.51874,957,2411,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
44,108,chr1,9743422,9745199,16.63866,101.53452,1599,1777,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
45,108,chr1,9745340,9748433,40.10343,348.95889,2180,3093,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
45,109,chr1,9745340,9748433,40.10343,348.95889,2180,3093,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
46,109,chr1,9748587,9748969,14.07886,79.03750,192,382,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
48,110,chr1,9797347,9799555,36.40595,306.36499,559,2208,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
50,113,chr1,9908349,9909176,11.22671,68.04255,366,827,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
52,114,chr1,9942126,9944747,28.93646,310.12054,810,2621,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
52,115,chr1,9942126,9944747,28.93646,310.12054,810,2621,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
53,116,chr1,9967011,9968575,16.84334,110.33648,1212,1564,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
53,117,chr1,9967011,9968575,16.84334,110.33648,1212,1564,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
54,119,chr1,10008625,10009697,27.30446,206.50400,422,1072,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
54,120,chr1,10008625,10009697,27.30446,206.50400,422,1072,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
55,121,chr1,10036748,10038223,32.62567,281.90363,705,1475,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
55,122,chr1,10036748,10038223,32.62567,281.90363,705,1475,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
56,121,chr1,10038274,10041218,34.41500,283.87820,822,2944,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
56,122,chr1,10038274,10041218,34.41500,283.87820,822,2944,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
57,126,chr1,10231206,10234025,26.80664,246.85857,1046,2819,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
58,136,chr1,10992996,10995046,41.11365,385.36017,691,2050,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
60,140,chr1,11413439,11415047,28.72657,221.57941,1078,1608,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
60,141,chr1,11413439,11415047,28.72657,221.57941,1078,1608,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
