peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
4,11,chr1,3670576,3672602,10.49845,65.98450,865,2026,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
9,32,chr1,4784893,4786299,20.36699,181.10110,681,1406,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
11,33,chr1,4807435,4808856,26.56108,264.40305,607,1421,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
11,34,chr1,4807435,4808856,26.56108,264.40305,607,1421,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
12,35,chr1,4856876,4858797,21.20687,191.98866,1236,1921,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
17,47,chr1,5588548,5589110,2.62461,3.69133,66,562,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
19,54,chr1,6213903,6215648,27.50594,277.66724,897,1745,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
21,55,chr1,6358879,6359622,6.92898,32.62106,380,743,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
22,57,chr1,6382766,6383340,10.91839,70.27978,288,574,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
23,58,chr1,6440968,6441779,13.96294,103.27729,444,811,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
29,67,chr1,7087787,7090110,17.87878,222.34157,793,2323,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
31,74,chr1,7396881,7398781,17.42743,144.15631,925,1900,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
43,95,chr1,9298457,9300196,5.35421,20.15815,1050,1739,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
44,101,chr1,9544617,9546724,10.51033,85.40559,965,2107,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
44,102,chr1,9544617,9546724,10.51033,85.40559,965,2107,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
45,102,chr1,9548080,9548388,2.93957,5.13366,98,308,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
46,104,chr1,9601033,9602724,6.95132,39.24543,534,1691,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
49,105,chr1,9629779,9631151,6.19409,26.59612,607,1372,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
54,107,chr1,9699457,9701271,16.37758,131.43999,652,1814,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
55,108,chr1,9747221,9748966,12.74288,124.47708,983,1745,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
55,109,chr1,9747221,9748966,12.74288,124.47708,983,1745,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
58,110,chr1,9797615,9798882,11.71380,101.57647,749,1267,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
60,114,chr1,9942122,9944787,33.38507,363.00247,1809,2665,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
60,115,chr1,9942122,9944787,33.38507,363.00247,1809,2665,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
61,117,chr1,9967975,9968330,2.86742,5.76140,241,355,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
62,119,chr1,10008633,10010007,8.81870,49.52760,387,1374,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
62,120,chr1,10008633,10010007,8.81870,49.52760,387,1374,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
63,121,chr1,10037249,10040477,43.67355,521.96619,816,3228,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
63,122,chr1,10037249,10040477,43.67355,521.96619,816,3228,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
64,126,chr1,10231670,10233827,23.93646,228.29097,1191,2157,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
65,136,chr1,10993142,10994490,20.26201,179.75015,525,1348,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
70,140,chr1,11413764,11414685,6.51686,34.92790,650,921,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
70,141,chr1,11413764,11414685,6.51686,34.92790,650,921,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
81,151,chr1,12688875,12690541,4.54571,20.07595,721,1666,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
82,151,chr1,12690746,12691053,3.14953,6.17634,244,307,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
83,151,chr1,12691633,12694811,9.23864,53.52564,1378,3178,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
107,152,chr1,12990332,12993220,19.10718,165.03799,1927,2888,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
114,160,chr1,13290166,13290569,4.72430,15.68624,253,403,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
119,165,chr1,13371916,13374928,37.26950,421.72726,1666,3012,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
119,166,chr1,13371916,13374928,37.26950,421.72726,1666,3012,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
122,168,chr1,13588906,13590510,30.13055,315.19083,631,1604,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
123,170,chr1,13659905,13660983,15.67075,126.74229,410,1078,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
132,177,chr1,14180156,14181151,2.32671,3.26546,320,995,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
133,177,chr1,14181298,14182335,5.93877,24.76538,401,1037,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
136,179,chr1,14308108,14310809,20.57696,183.80933,1802,2701,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
141,181,chr1,14755181,14756099,6.04296,25.58641,608,918,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
142,188,chr1,15286184,15287706,7.82783,63.68216,659,1522,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
145,195,chr1,15804980,15806733,32.96513,356.75839,834,1753,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
146,198,chr1,15892368,15893077,6.50904,29.13609,438,709,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
147,200,chr1,16092724,16093511,8.39876,45.61138,397,787,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
148,201,chr1,16103063,16106494,28.55578,292.56055,1814,3431,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
148,202,chr1,16103063,16106494,28.55578,292.56055,1814,3431,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
155,206,chr1,16518451,16520267,17.74238,148.02271,1003,1816,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
156,207,chr1,16618030,16619810,24.46139,235.42331,1076,1780,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
156,208,chr1,16618030,16619810,24.46139,235.42331,1076,1780,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
157,209,chr1,16655766,16657693,17.08931,181.17094,1008,1927,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
157,210,chr1,16655766,16657693,17.08931,181.17094,1008,1927,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
158,211,chr1,16664939,16665995,25.13425,252.05026,450,1056,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
158,212,chr1,16664939,16665995,25.13425,252.05026,450,1056,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
159,213,chr1,16687909,16689139,10.61282,74.00333,679,1230,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
160,218,chr1,17097079,17098271,6.08910,25.76416,590,1192,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
161,220,chr1,17145353,17145833,5.31364,20.00619,199,480,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
163,229,chr1,17727033,17727996,7.39107,40.29726,505,963,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
163,230,chr1,17727033,17727996,7.39107,40.29726,505,963,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
164,236,chr1,18058005,18058946,6.40405,28.28276,505,941,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
164,237,chr1,18058005,18058946,6.40405,28.28276,505,941,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
169,247,chr1,19103495,19104988,4.30436,12.89742,1317,1493,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
169,248,chr1,19103495,19104988,4.30436,12.89742,1317,1493,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
170,248,chr1,19105065,19106125,4.09181,14.92958,478,1060,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
181,262,chr1,20677968,20678232,2.93748,5.65820,104,264,ENSMUSG00000065559,,Mir206,chr1,20679010,20679082,1
182,262,chr1,20678736,20679064,3.04455,5.64827,124,328,ENSMUSG00000065559,,Mir206,chr1,20679010,20679082,1
184,266,chr1,20818815,20820352,18.79222,161.07504,1296,1537,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
184,267,chr1,20818815,20820352,18.79222,161.07504,1296,1537,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
185,266,chr1,20820506,20820799,3.64661,8.95139,145,293,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
185,267,chr1,20820506,20820799,3.64661,8.95139,145,293,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
186,269,chr1,20845000,20845445,3.77944,9.65359,299,445,ENSMUSG00000088858,,Gm24723,chr1,20842535,20842666,-1
189,270,chr1,20889823,20891700,8.34408,58.24242,913,1877,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
189,271,chr1,20889823,20891700,8.34408,58.24242,913,1877,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
193,274,chr1,20950850,20953038,24.25142,232.56500,1132,2188,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
203,276,chr1,21077138,21077900,3.31651,7.78550,146,762,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
204,275,chr1,21078323,21079967,21.41684,194.73242,1293,1644,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
204,276,chr1,21078323,21079967,21.41684,194.73242,1293,1644,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
209,278,chr1,21218475,21219588,22.88662,214.16901,217,1113,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
211,296,chr1,21960739,21962482,7.55888,38.04467,906,1743,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
215,300,chr1,22805202,22806610,15.01278,115.32638,662,1408,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
217,305,chr1,23255617,23257675,26.03615,257.09250,1079,2058,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
220,314,chr1,23761718,23763456,3.98941,10.91651,180,1738,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
221,315,chr1,23921618,23922760,19.52712,170.35547,488,1142,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
226,316,chr1,24004839,24006005,21.82097,202.93401,650,1166,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
226,317,chr1,24004839,24006005,21.82097,202.93401,650,1166,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
227,318,chr1,24099169,24101323,22.57167,209.97031,866,2154,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
227,319,chr1,24099169,24101323,22.57167,209.97031,866,2154,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
232,323,chr1,24586396,24587119,3.12699,6.69946,411,723,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
233,332,chr1,24678154,24679418,18.58226,158.44469,655,1264,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
242,359,chr1,25824671,25825425,3.14953,6.17634,258,754,ENSMUSG00000103004,,2900002M20Rik,chr1,25824390,25824719,-1
243,360,chr1,25828666,25831933,17.84736,149.31679,1314,3267,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
243,361,chr1,25828666,25831933,17.84736,149.31679,1314,3267,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
249,391,chr1,30872459,30874567,35.48476,394.53470,1034,2108,ENSMUSG00000048874,213109.0,Phf3,chr1,30802339,30873921,-1
250,391,chr1,30874732,30875055,2.30966,2.41740,40,323,ENSMUSG00000048874,213109.0,Phf3,chr1,30802339,30873921,-1
251,392,chr1,30948565,30951210,36.53460,410.48834,841,2645,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
251,393,chr1,30948565,30951210,36.53460,410.48834,841,2645,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
252,411,chr1,32172273,32173257,7.50160,37.81427,614,984,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
262,437,chr1,33669349,33670760,11.56039,84.84192,698,1411,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
262,438,chr1,33669349,33670760,11.56039,84.84192,698,1411,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
263,440,chr1,33719476,33720807,19.84207,174.36827,756,1331,ENSMUSG00000004768,19335.0,Rab23,chr1,33719887,33742564,1
264,442,chr1,33757063,33758266,13.36078,106.39616,611,1203,ENSMUSG00000042215,213539.0,Bag2,chr1,33745484,33757795,-1
265,443,chr1,33812912,33815202,36.63959,412.09018,1177,2290,ENSMUSG00000042197,98403.0,Zfp451,chr1,33761545,33814595,-1
266,446,chr1,33907290,33908616,11.25241,74.27872,672,1326,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
266,447,chr1,33907290,33908616,11.25241,74.27872,672,1326,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
289,453,chr1,34177977,34178197,2.60675,4.36490,76,220,ENSMUSG00000096992,,Gm26788,chr1,34165856,34178446,-1
290,453,chr1,34178255,34178613,3.14953,6.17634,134,358,ENSMUSG00000096992,,Gm26788,chr1,34165856,34178446,-1
298,459,chr1,34432117,34433609,11.69960,108.84293,989,1492,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
298,460,chr1,34432117,34433609,11.69960,108.84293,989,1492,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
299,459,chr1,34433691,34435755,12.33860,102.12262,1412,2064,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
299,460,chr1,34433691,34435755,12.33860,102.12262,1412,2064,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
300,461,chr1,34438955,34440508,11.15218,93.94035,646,1553,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
300,462,chr1,34438955,34440508,11.15218,93.94035,646,1553,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
302,465,chr1,34472515,34473200,3.98941,10.91651,261,685,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
303,466,chr1,34485650,34485931,2.24648,2.88631,127,281,ENSMUSG00000101223,,4930568A12Rik,chr1,34477167,34485933,-1
304,472,chr1,34579080,34580127,4.68850,15.55736,312,1047,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
304,473,chr1,34579080,34580127,4.68850,15.55736,312,1047,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
306,478,chr1,34677854,34678570,3.47566,9.49732,364,716,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
307,479,chr1,34750279,34751196,6.08910,25.76416,480,917,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
307,480,chr1,34750279,34751196,6.08910,25.76416,480,917,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
308,481,chr1,34801381,34802426,7.81417,40.59789,496,1045,ENSMUSG00000118272,,Arhgef4,chr1,34801794,34801964,1
309,484,chr1,34841265,34844027,27.61092,279.14944,1583,2762,ENSMUSG00000037503,214469.0,Fam168b,chr1,34813219,34843065,-1
310,485,chr1,34849614,34850767,14.38288,108.05920,509,1153,ENSMUSG00000026123,226971.0,Plekhb2,chr1,34849976,34879580,1
356,495,chr1,35957451,35957919,3.46449,7.85432,192,468,ENSMUSG00000103096,,Gm8022,chr1,35958919,35959822,1
357,495,chr1,35959188,35959498,2.55845,3.77543,173,310,ENSMUSG00000103096,,Gm8022,chr1,35958919,35959822,1
372,497,chr1,36013443,36013752,3.25452,6.72177,178,309,ENSMUSG00000103708,,Gm33222,chr1,36002985,36011044,-1
376,499,chr1,36030419,36030822,2.38463,3.83207,264,403,ENSMUSG00000102434,,Gm38049,chr1,36029647,36031018,-1
379,500,chr1,36065138,36066298,10.31470,64.59120,302,1160,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
380,500,chr1,36067220,36067520,3.50602,8.92447,143,300,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
381,500,chr1,36067684,36071029,14.48786,109.26266,783,3345,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
389,504,chr1,36243304,36244724,17.53241,145.44232,821,1420,ENSMUSG00000037470,320011.0,Uggt1,chr1,36140027,36244720,-1
390,504,chr1,36246774,36247156,3.14953,6.17634,227,382,ENSMUSG00000037470,320011.0,Uggt1,chr1,36140027,36244720,-1
396,506,chr1,36307698,36308244,4.30436,12.89742,408,546,ENSMUSG00000037447,214855.0,Arid5a,chr1,36307733,36324029,1
398,509,chr1,36368186,36369640,29.44459,319.39822,819,1454,ENSMUSG00000010453,226976.0,Kansl3,chr1,36335730,36369181,-1
399,511,chr1,36444551,36445349,20.78693,186.52718,539,798,ENSMUSG00000001143,214895.0,Lman2l,chr1,36419871,36445271,-1
400,511,chr1,36445481,36445993,4.79269,16.27553,186,512,ENSMUSG00000001143,214895.0,Lman2l,chr1,36419871,36445271,-1
401,512,chr1,36470993,36472432,11.12836,72.45303,378,1439,ENSMUSG00000037408,94220.0,Cnnm4,chr1,36471620,36508764,1
401,513,chr1,36470993,36472432,11.12836,72.45303,378,1439,ENSMUSG00000104316,,Gm37909,chr1,36473952,36476110,1
404,515,chr1,36511436,36513417,20.27806,198.48544,591,1981,ENSMUSG00000001138,94218.0,Cnnm3,chr1,36511867,36528237,1
405,519,chr1,36546608,36547314,8.34969,71.15109,463,706,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
406,519,chr1,36547429,36547992,6.08241,30.75409,200,563,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
407,519,chr1,36548083,36548587,3.25626,6.93903,91,504,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
408,520,chr1,36553996,36559664,41.88881,493.63580,2986,5668,ENSMUSG00000087589,,D430040D24Rik,chr1,36557701,36565613,1
408,521,chr1,36553996,36559664,41.88881,493.63580,2986,5668,ENSMUSG00000026121,20353.0,Sema4c,chr1,36548639,36558349,-1
428,522,chr1,36600094,36600433,2.84272,5.16397,279,339,ENSMUSG00000089906,,Gm6428,chr1,36601802,36602146,1
433,524,chr1,36684008,36684496,3.30188,8.36994,110,488,ENSMUSG00000046337,381337.0,Fam178b,chr1,36562692,36683183,-1
434,525,chr1,36690725,36692436,9.13769,58.23862,506,1711,ENSMUSG00000061518,12859.0,Cox5b,chr1,36691449,36693681,1
435,526,chr1,36708697,36710606,16.43845,208.86203,1090,1909,ENSMUSG00000102416,71166.0,4933424G06Rik,chr1,36710149,36757953,1
