peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
8,11,chr1,3672332,3672666,3.52975,7.79011,172,334,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
11,19,chr1,4496693,4497811,3.58189,10.73417,708,1118,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
11,20,chr1,4496693,4497811,3.58189,10.73417,708,1118,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
15,32,chr1,4786352,4787127,3.64391,8.72008,373,775,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
16,34,chr1,4808384,4809317,3.31786,8.10909,207,933,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
19,40,chr1,4969911,4971552,2.72334,5.83777,928,1641,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
26,47,chr1,5588215,5589239,3.03659,6.61423,170,1024,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
27,51,chr1,5916452,5918127,3.77290,10.33062,1452,1675,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
31,54,chr1,6215473,6217187,6.18658,25.37179,506,1714,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
33,55,chr1,6358727,6359691,3.89705,9.87410,744,964,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
40,67,chr1,7087521,7088410,2.86792,6.20154,381,889,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
46,68,chr1,7138005,7138804,3.35834,7.24832,157,799,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
47,73,chr1,7313451,7313856,2.67320,4.87683,243,405,ENSMUSG00000102768,,Gm19002,chr1,7315451,7316462,1
56,95,chr1,9300419,9300998,3.81267,9.87410,415,579,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
57,101,chr1,9544760,9545124,3.84960,10.91263,232,364,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
58,102,chr1,9546470,9546894,3.27263,6.72372,241,424,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
