peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,32,chr1,4785342,4786295,6.03711,13.40912,759,953,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
2,33,chr1,4807422,4808189,8.48786,19.64945,173,767,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
2,34,chr1,4807422,4808189,8.48786,19.64945,173,767,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
3,35,chr1,4856906,4858260,13.94546,54.88605,593,1354,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,54,chr1,6214135,6215523,15.54889,53.69508,646,1388,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
8,67,chr1,7087865,7089926,12.56269,55.58330,688,2061,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
9,74,chr1,7398123,7398630,5.09353,6.73469,175,507,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
10,101,chr1,9545389,9545967,7.12463,13.84129,225,578,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
10,102,chr1,9545389,9545967,7.12463,13.84129,225,578,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
11,102,chr1,9548425,9548653,4.01588,4.64156,58,228,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
12,107,chr1,9699989,9701100,4.72198,6.08216,655,1111,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
13,108,chr1,9747383,9748485,21.59621,81.45515,781,1102,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
13,109,chr1,9747383,9748485,21.59621,81.45515,781,1102,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
22,110,chr1,9797437,9799514,9.26754,33.66980,918,2077,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
28,114,chr1,9942140,9944212,14.88654,49.16438,1756,2072,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
28,115,chr1,9942140,9944212,14.88654,49.16438,1756,2072,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
29,114,chr1,9944363,9944691,6.36955,11.92969,257,328,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
29,115,chr1,9944363,9944691,6.36955,11.92969,257,328,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
30,121,chr1,10037476,10038682,13.72571,40.72836,582,1206,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
30,122,chr1,10037476,10038682,13.72571,40.72836,582,1206,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
31,122,chr1,10038786,10040323,12.84004,38.92113,1160,1537,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
32,126,chr1,10231724,10233520,11.44072,31.05368,1132,1796,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
35,165,chr1,13372067,13374857,23.14122,101.63360,922,2790,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
35,166,chr1,13372067,13374857,23.14122,101.63360,922,2790,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
40,168,chr1,13588911,13590458,31.02591,140.03009,724,1547,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
43,170,chr1,13659469,13660546,12.71016,37.03599,834,1077,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
44,170,chr1,13660697,13661008,5.19272,7.64762,132,311,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
46,195,chr1,15805139,15805463,6.13419,11.02982,166,324,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
47,195,chr1,15805633,15806229,6.87074,12.88585,145,596,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
48,202,chr1,16103327,16103568,3.79617,3.98074,145,241,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
49,201,chr1,16103686,16106338,14.60254,69.89668,1209,2652,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
49,202,chr1,16103686,16106338,14.60254,69.89668,1209,2652,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
50,207,chr1,16618269,16619225,5.89882,10.15450,792,956,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
50,208,chr1,16618269,16619225,5.89882,10.15450,792,956,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
53,209,chr1,16656075,16657976,16.17166,82.37253,724,1901,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
53,210,chr1,16656075,16657976,16.17166,82.37253,724,1901,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
54,211,chr1,16665162,16665926,9.15469,23.26984,164,764,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
54,212,chr1,16665162,16665926,9.15469,23.26984,164,764,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
55,213,chr1,16687746,16689088,9.61470,30.83466,831,1342,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
56,266,chr1,20819806,20820187,5.49302,9.36781,195,381,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
56,267,chr1,20819806,20820187,5.49302,9.36781,195,381,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
60,275,chr1,21079459,21079914,11.25622,30.68720,157,455,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
60,276,chr1,21079459,21079914,11.25622,30.68720,157,455,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
61,278,chr1,21218527,21219047,5.89882,10.15450,144,520,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
64,305,chr1,23256183,23257052,9.91739,24.21320,548,869,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
79,315,chr1,23921296,23922829,21.59621,81.45515,686,1533,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
81,316,chr1,24005221,24005687,6.97858,16.94929,255,466,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
81,317,chr1,24005221,24005687,6.97858,16.94929,255,466,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
83,318,chr1,24099360,24100289,5.60131,8.39058,639,929,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
83,319,chr1,24099360,24100289,5.60131,8.39058,639,929,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
84,332,chr1,24678481,24679160,6.10908,10.12985,428,679,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
85,391,chr1,30872779,30874766,22.84528,93.87801,913,1987,ENSMUSG00000048874,213109.0,Phf3,chr1,30802339,30873921,-1
86,392,chr1,30948494,30950875,9.89129,60.70134,1541,2381,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
86,393,chr1,30948494,30950875,9.89129,60.70134,1541,2381,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
97,437,chr1,33669313,33669803,8.25249,19.64945,342,490,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
97,438,chr1,33669313,33669803,8.25249,19.64945,342,490,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
98,437,chr1,33669874,33670888,8.98930,24.65176,160,1014,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
98,438,chr1,33669874,33670888,8.98930,24.65176,160,1014,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
99,440,chr1,33719611,33720504,6.22541,14.27514,401,893,ENSMUSG00000004768,19335.0,Rab23,chr1,33719887,33742564,1
103,442,chr1,33755815,33758239,5.18784,11.76910,1842,2424,ENSMUSG00000042215,213539.0,Bag2,chr1,33745484,33757795,-1
104,443,chr1,33813509,33814748,11.12150,29.76190,841,1239,ENSMUSG00000042197,98403.0,Zfp451,chr1,33761545,33814595,-1
108,459,chr1,34433018,34434023,4.61474,6.89344,812,1005,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
108,460,chr1,34433018,34434023,4.61474,6.89344,812,1005,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
109,459,chr1,34434906,34435621,5.19272,7.64762,286,715,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
109,460,chr1,34434906,34435621,5.19272,7.64762,286,715,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
110,461,chr1,34439468,34439777,4.81484,7.64253,125,309,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
110,462,chr1,34439468,34439777,4.81484,7.64253,125,309,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
111,484,chr1,34841708,34843707,14.90758,46.90094,1182,1999,ENSMUSG00000037503,214469.0,Fam168b,chr1,34813219,34843065,-1
112,485,chr1,34850046,34850276,4.73709,5.78572,61,230,ENSMUSG00000026123,226971.0,Plekhb2,chr1,34849976,34879580,1
116,500,chr1,36068349,36069270,5.05208,7.02710,421,921,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
132,502,chr1,36129998,36131464,7.52804,17.66933,291,1466,ENSMUSG00000102202,,Gm33280,chr1,36132042,36138746,1
133,502,chr1,36131574,36131838,3.40100,3.74680,73,264,ENSMUSG00000102202,,Gm33280,chr1,36132042,36138746,1
134,502,chr1,36132107,36132331,4.48662,5.35021,150,224,ENSMUSG00000102202,,Gm33280,chr1,36132042,36138746,1
