peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670257,3672650,46.76068,234.34885,1007,2393,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,20,chr1,4497085,4497736,4.80756,6.28258,483,651,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
4,32,chr1,4784807,4786398,52.50606,276.29938,755,1591,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807245,4809152,55.89226,294.98715,781,1907,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807245,4809152,55.89226,294.98715,781,1907,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4856989,4859066,59.12281,331.03137,1140,2077,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,47,chr1,5588189,5589083,13.97003,43.28556,372,894,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
11,51,chr1,5916502,5917878,20.19611,74.69542,607,1376,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
12,54,chr1,6213629,6215897,61.91080,338.53558,1465,2268,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,55,chr1,6358793,6359636,22.06393,83.44214,419,843,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
14,57,chr1,6382707,6383435,19.57350,70.39958,314,728,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
15,58,chr1,6441112,6441732,14.38510,44.57069,273,620,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
22,67,chr1,7087852,7090391,34.51608,156.11053,728,2539,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
25,74,chr1,7397561,7398935,37.00650,171.27603,223,1374,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
26,95,chr1,9298244,9300440,29.53522,126.63032,1084,2196,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
27,101,chr1,9544636,9548416,40.77983,211.88876,939,3780,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
27,102,chr1,9544636,9548416,40.77983,211.88876,939,3780,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
28,104,chr1,9601130,9601934,6.84795,13.57031,435,804,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
30,107,chr1,9699169,9701454,51.53401,265.28781,937,2285,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
32,108,chr1,9745374,9746326,8.57410,19.64413,250,952,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
33,108,chr1,9746634,9749014,60.94960,357.24191,1348,2380,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
33,109,chr1,9746634,9749014,60.94960,357.24191,1348,2380,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
34,110,chr1,9797496,9799036,52.95780,297.59546,866,1540,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
36,113,chr1,9908497,9909074,13.18910,42.07043,257,577,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
37,114,chr1,9942150,9944742,66.47659,369.36414,1766,2592,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
37,115,chr1,9942150,9944742,66.47659,369.36414,1766,2592,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
