peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,19,chr1,4494494,4495406,4.31789,14.59672,216,912,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,19,chr1,4495632,4496654,1.96762,1.93169,751,1022,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,19,chr1,4496867,4499427,5.02348,21.45561,1779,2560,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496867,4499427,5.02348,21.45561,1779,2560,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,20,chr1,4499742,4501158,5.03600,20.00048,749,1416,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
13,51,chr1,5915833,5916938,3.70542,10.06728,365,1105,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
14,51,chr1,5917444,5918090,2.35340,2.78281,275,646,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,51,chr1,5918699,5918990,2.74445,4.09061,119,291,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
16,110,chr1,9797273,9797635,2.59661,3.68049,162,362,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
21,116,chr1,9964614,9964889,2.87575,5.51438,85,275,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
22,116,chr1,9966294,9966589,4.74031,17.33282,153,295,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
23,116,chr1,9966725,9967530,2.83572,6.64943,400,805,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
23,117,chr1,9966725,9967530,2.83572,6.64943,400,805,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
24,116,chr1,9967659,9968354,3.59175,12.21229,549,695,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
24,117,chr1,9967659,9968354,3.59175,12.21229,549,695,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
25,117,chr1,9968712,9969900,4.12826,15.01856,427,1188,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
26,117,chr1,9970104,9970452,2.67053,4.09061,117,348,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
28,141,chr1,11415204,11415644,2.59661,3.68049,257,440,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
45,151,chr1,12690273,12691109,3.63554,10.06728,635,836,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
46,151,chr1,12692262,12692597,2.56957,3.59886,164,335,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
52,156,chr1,13126505,13127733,4.00048,16.46449,645,1228,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
53,156,chr1,13127961,13129948,2.37274,4.05866,1845,1987,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
54,165,chr1,13375613,13376097,3.06668,6.44635,206,484,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
54,166,chr1,13375613,13376097,3.06668,6.44635,206,484,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
67,180,chr1,14753430,14754293,3.36760,9.45284,445,863,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
