peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,42,chr1,5118981,5119433,2.70269,1.06701,138,452,ENSMUSG00000033793,108664.0,Atp6v1h,chr1,5070018,5162529,1
6,45,chr1,5307101,5307641,3.11849,1.89887,124,540,ENSMUSG00000104046,,Gm37567,chr1,5307739,5310017,1
17,126,chr1,10178797,10179252,2.96705,1.72886,290,455,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
24,206,chr1,16471709,16471991,3.53428,2.87696,137,282,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
30,264,chr1,20728187,20728720,3.74218,3.42356,136,533,ENSMUSG00000025929,16171.0,Il17a,chr1,20730905,20734496,1
31,332,chr1,24716971,24717373,4.57378,5.94802,161,402,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
42,411,chr1,32630073,32630437,2.91059,1.46078,35,364,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
46,460,chr1,34430005,34430484,2.82355,2.14379,146,479,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
47,460,chr1,34430891,34431954,3.47917,3.19283,912,1063,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
49,478,chr1,34776531,34776948,2.91059,1.46078,272,417,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
50,486,chr1,34930442,34930907,4.15798,4.62064,294,465,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
59,544,chr1,37424024,37424410,3.74218,3.42356,222,386,ENSMUSG00000026112,76178.0,Coa5,chr1,37417084,37430103,-1
60,544,chr1,37424509,37424795,3.74218,3.42356,153,286,ENSMUSG00000026112,76178.0,Coa5,chr1,37417084,37430103,-1
61,554,chr1,37792371,37792691,3.74218,3.42356,134,320,ENSMUSG00000060771,211484.0,Tsga10,chr1,37754776,37866429,-1
62,565,chr1,38112284,38112798,3.32638,2.36907,408,514,ENSMUSG00000026082,56210.0,Rev1,chr1,38052786,38129801,-1
67,571,chr1,38585875,38586291,3.05104,1.94916,326,416,ENSMUSG00000037138,16764.0,Aff3,chr1,38177326,38664955,-1
69,599,chr1,39621167,39621395,4.57378,5.94802,128,228,ENSMUSG00000050967,263764.0,Creg2,chr1,39618406,39651474,-1
70,599,chr1,39641737,39642149,2.91059,1.46078,90,412,ENSMUSG00000050967,263764.0,Creg2,chr1,39618406,39651474,-1
71,620,chr1,40778527,40779248,3.47917,3.19283,619,721,ENSMUSG00000103270,,Gm37915,chr1,40771385,40785343,1
71,621,chr1,40778527,40779248,3.47917,3.19283,619,721,ENSMUSG00000041945,211798.0,Mfsd9,chr1,40772038,40790687,-1
72,620,chr1,40779365,40779975,3.53428,2.87696,150,610,ENSMUSG00000103270,,Gm37915,chr1,40771385,40785343,1
72,621,chr1,40779365,40779975,3.53428,2.87696,150,610,ENSMUSG00000041945,211798.0,Mfsd9,chr1,40772038,40790687,-1
74,631,chr1,42286636,42287145,3.57957,3.76377,174,509,ENSMUSG00000101299,,Gm28175,chr1,42261855,42304412,1
76,635,chr1,42622600,42622991,3.53428,2.87696,93,391,ENSMUSG00000060424,,Pantr1,chr1,42590782,42694842,-1
79,666,chr1,43996120,43996567,3.06820,2.33354,307,447,ENSMUSG00000041763,22019.0,Tpp2,chr1,43933647,44003000,1
80,674,chr1,44171731,44172384,3.53428,2.87696,510,653,ENSMUSG00000026048,22592.0,Ercc5,chr1,44147744,44181260,1
83,680,chr1,44689824,44690050,2.71038,1.53763,131,226,ENSMUSG00000056870,70676.0,Gulp1,chr1,44551511,44796838,1
88,720,chr1,47162435,47162692,3.32638,2.36907,86,257,ENSMUSG00000101447,,Gm28826,chr1,47153461,47189071,1
91,735,chr1,48881395,48881749,3.06950,36.48837,172,354,ENSMUSG00000097883,,Gm8357,chr1,48881713,48882723,1
94,746,chr1,50224688,50224992,3.11849,1.89887,152,304,ENSMUSG00000098249,,Gm27330,chr1,50222389,50222520,-1
95,764,chr1,51731721,51732250,2.71038,1.53763,118,529,ENSMUSG00000101741,,Gm28055,chr1,51696324,51746943,-1
96,777,chr1,52216802,52217043,4.57378,5.94802,134,241,ENSMUSG00000026103,14660.0,Gls,chr1,52163448,52233232,-1
97,794,chr1,52938822,52939350,3.32638,2.36907,157,528,ENSMUSG00000043629,67080.0,1700019D03Rik,chr1,52922324,53020179,-1
98,799,chr1,53235187,53235552,3.32638,2.36907,199,365,ENSMUSG00000026098,227099.0,Pms1,chr1,53189187,53297018,-1
99,803,chr1,53341489,53342347,3.29605,2.70127,724,858,ENSMUSG00000101838,,Gm18800,chr1,53326206,53342186,-1
100,811,chr1,53613243,53613852,3.53428,2.87696,493,609,ENSMUSG00000096141,627872.0,Dnah7a,chr1,53397006,53706784,-1
103,889,chr1,58506561,58506926,2.91059,1.46078,97,365,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
103,890,chr1,58506561,58506926,2.91059,1.46078,97,365,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
104,889,chr1,58507189,58508123,3.98585,5.50096,631,934,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
104,890,chr1,58507189,58508123,3.98585,5.50096,631,934,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
105,890,chr1,58515694,58516174,3.72480,3.42356,163,480,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
107,903,chr1,58879722,58880041,3.36266,2.63852,120,319,ENSMUSG00000099719,,Gm28802,chr1,58850085,58892792,-1
108,904,chr1,58935252,58935767,3.74218,3.42356,151,515,ENSMUSG00000026028,70827.0,Trak2,chr1,58900449,58973430,-1
109,945,chr1,60349841,60350195,2.72729,1.46078,212,354,ENSMUSG00000049439,77951.0,Cyp20a1,chr1,60343323,60388060,1
110,950,chr1,60560533,60561231,4.54948,6.18513,263,698,ENSMUSG00000026014,77300.0,Raph1,chr1,60482292,60567104,-1
112,980,chr1,62067214,62067657,3.51813,3.06932,190,443,ENSMUSG00000052062,72823.0,Pard3b,chr1,61638824,62642284,1
114,1013,chr1,63200457,63200873,2.13651,0.61251,97,416,ENSMUSG00000086730,,Platr12,chr1,63200313,63207967,1
114,1014,chr1,63200457,63200873,2.13651,0.61251,97,416,ENSMUSG00000046856,241070.0,Gpr1,chr1,63182691,63214543,-1
116,1037,chr1,64204903,64205316,3.75002,4.30577,288,413,ENSMUSG00000101895,,Gm28981,chr1,64185991,64303043,-1
118,1049,chr1,64958671,64958925,2.49479,0.70965,144,254,ENSMUSG00000051344,241075.0,Plekhm3,chr1,64785983,64956824,-1
119,1063,chr1,65210351,65211055,3.47917,3.19283,546,704,ENSMUSG00000025949,18711.0,Pikfyve,chr1,65186683,65278695,1
122,1095,chr1,66859832,66860240,3.53428,2.87696,145,408,ENSMUSG00000026003,11363.0,Acadl,chr1,66830839,66863277,-1
125,1101,chr1,67155222,67155565,3.95008,4.00478,196,343,ENSMUSG00000025991,227231.0,Cps1,chr1,67123026,67231259,1
130,1128,chr1,70501865,70502142,3.32638,2.36907,74,277,ENSMUSG00000053153,66722.0,Spag16,chr1,69826970,70725132,1
131,1128,chr1,70675971,70676335,3.53428,2.87696,108,364,ENSMUSG00000053153,66722.0,Spag16,chr1,69826970,70725132,1
133,1167,chr1,72696330,72696520,4.19304,6.76012,60,190,ENSMUSG00000039342,319695.0,Ankar,chr1,72642980,72700579,-1
144,1285,chr1,78117045,78117581,3.74218,3.42356,147,536,ENSMUSG00000004872,18505.0,Pax3,chr1,78101267,78197134,-1
145,1287,chr1,78372450,78372775,3.27721,2.47523,214,325,ENSMUSG00000032908,433323.0,Sgpp2,chr1,78310345,78420289,1
146,1287,chr1,78373391,78373739,4.22160,5.00992,107,348,ENSMUSG00000032908,433323.0,Sgpp2,chr1,78310345,78420289,1
146,1289,chr1,78373391,78373739,4.22160,5.00992,107,348,ENSMUSG00000102945,,Gm37884,chr1,78375614,78376431,1
148,1308,chr1,79614403,79614915,4.36588,5.26829,369,512,ENSMUSG00000054702,252903.0,Ap1s3,chr1,79606876,79671972,-1
149,1308,chr1,79615092,79615506,2.74671,1.43013,108,414,ENSMUSG00000054702,252903.0,Ap1s3,chr1,79606876,79671972,-1
156,1479,chr1,86751659,86752319,3.56046,3.14758,456,660,ENSMUSG00000053333,208718.0,Dis3l2,chr1,86703808,87050095,1
159,1530,chr1,88177577,88178057,3.53428,2.87696,384,480,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
159,1532,chr1,88177577,88178057,3.53428,2.87696,384,480,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
159,1533,chr1,88177577,88178057,3.53428,2.87696,384,480,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
159,1534,chr1,88177577,88178057,3.53428,2.87696,384,480,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
159,1536,chr1,88177577,88178057,3.53428,2.87696,384,480,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
159,1539,chr1,88177577,88178057,3.53428,2.87696,384,480,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
159,1543,chr1,88177577,88178057,3.53428,2.87696,384,480,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
159,1544,chr1,88177577,88178057,3.53428,2.87696,384,480,ENSMUSG00000118621,,AC087801.3,chr1,88178301,88178390,1
160,1530,chr1,88203812,88204689,3.21646,2.26116,558,877,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
160,1532,chr1,88203812,88204689,3.21646,2.26116,558,877,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
160,1533,chr1,88203812,88204689,3.21646,2.26116,558,877,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
160,1534,chr1,88203812,88204689,3.21646,2.26116,558,877,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
160,1536,chr1,88203812,88204689,3.21646,2.26116,558,877,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
160,1539,chr1,88203812,88204689,3.21646,2.26116,558,877,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
160,1543,chr1,88203812,88204689,3.21646,2.26116,558,877,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
160,1547,chr1,88203812,88204689,3.21646,2.26116,558,877,ENSMUSG00000090171,22236.0,Ugt1a2,chr1,88200601,88218997,1
160,1548,chr1,88203812,88204689,3.21646,2.26116,558,877,ENSMUSG00000081984,15504.0,Dnajb3,chr1,88204732,88205782,-1
161,1530,chr1,88211415,88215267,3.84881,24.26262,2141,3852,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
161,1532,chr1,88211415,88215267,3.84881,24.26262,2141,3852,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
