peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3668248,3672773,32.45552,186.81680,3865,4525,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,20,chr1,4497065,4497659,3.97923,6.51577,418,594,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,32,chr1,4784325,4786682,27.13560,146.24730,824,2357,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807199,4809225,22.48067,112.12915,1085,2026,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807199,4809225,22.48067,112.12915,1085,2026,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4856866,4857696,15.88596,68.78675,421,830,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
8,35,chr1,4858093,4859401,23.60177,166.98338,583,1308,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,47,chr1,5588098,5589215,26.23234,140.65358,560,1117,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
14,51,chr1,5916237,5918105,39.10543,240.80481,717,1868,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6213224,6216711,15.99678,119.28805,942,3487,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
17,55,chr1,6358729,6359716,33.12051,191.61557,603,987,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
18,57,chr1,6382531,6383676,26.47061,141.69142,615,1145,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
19,58,chr1,6441058,6441883,22.97941,115.01971,423,825,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
26,67,chr1,7087818,7088783,22.91196,116.89833,501,965,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
27,67,chr1,7088990,7090787,21.15084,143.06165,869,1797,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
30,74,chr1,7397147,7397532,5.19092,10.06394,183,385,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
31,74,chr1,7397662,7397884,4.02719,5.55373,85,222,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
32,74,chr1,7398149,7398799,17.16075,76.06131,321,650,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
35,95,chr1,9298022,9301044,36.44547,219.23714,1951,3022,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
36,101,chr1,9544606,9545288,26.17987,140.51706,421,682,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
37,101,chr1,9545403,9548664,16.99450,74.73615,602,3261,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
37,102,chr1,9545403,9548664,16.99450,74.73615,602,3261,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
38,104,chr1,9600986,9602632,15.33202,64.32977,579,1646,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
40,107,chr1,9698284,9701489,39.43792,242.48196,1766,3205,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
42,108,chr1,9743360,9745205,23.47815,119.38800,1658,1845,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
43,108,chr1,9745312,9748402,42.35601,271.05444,2203,3090,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
43,109,chr1,9745312,9748402,42.35601,271.05444,2203,3090,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
44,109,chr1,9748601,9748986,12.00707,44.65857,205,385,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
45,110,chr1,9797348,9799073,40.76790,254.26318,533,1725,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
47,113,chr1,9908292,9909218,15.49827,65.60919,472,926,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
48,114,chr1,9942092,9944766,41.21225,262.56729,1021,2674,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
48,115,chr1,9942092,9944766,41.21225,262.56729,1021,2674,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
49,116,chr1,9967021,9968496,14.46376,70.09441,1177,1475,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
49,117,chr1,9967021,9968496,14.46376,70.09441,1177,1475,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
50,119,chr1,10008618,10009751,18.48861,117.92604,431,1133,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
50,120,chr1,10008618,10009751,18.48861,117.92604,431,1133,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
51,121,chr1,10036714,10040929,31.07563,211.69991,2264,4215,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
51,122,chr1,10036714,10040929,31.07563,211.69991,2264,4215,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
