peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,5,chr1,3466703,3467012,2.56679,3.53916,155,309,ENSMUSG00000089699,,Gm1992,chr1,3466587,3513553,1
2,6,chr1,3466703,3467012,2.56679,3.53916,155,309,ENSMUSG00000103025,,Gm37686,chr1,3464977,3467285,-1
3,11,chr1,3670628,3672551,8.52174,47.79358,1394,1923,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
9,32,chr1,4784863,4786345,19.81561,177.91640,724,1482,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
10,33,chr1,4807418,4808761,27.31063,281.07645,618,1343,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
10,34,chr1,4807418,4808761,27.31063,281.07645,618,1343,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
11,35,chr1,4856922,4858938,23.00728,247.83025,1171,2016,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,40,chr1,4969521,4970544,3.49083,8.19108,783,1023,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
17,54,chr1,6213864,6215708,28.85070,303.43307,940,1844,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
19,55,chr1,6358774,6359603,6.16029,26.91863,473,829,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
20,57,chr1,6382756,6383308,9.51650,59.41201,262,552,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
21,58,chr1,6440950,6441814,13.55264,100.85417,459,864,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
27,67,chr1,7087786,7090121,29.14427,318.27618,786,2335,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
30,74,chr1,7396875,7398775,20.91571,216.12154,916,1900,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
37,95,chr1,9298738,9299968,3.59350,8.78106,883,1230,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
38,101,chr1,9544674,9546663,16.11943,131.21645,927,1989,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
38,102,chr1,9544674,9546663,16.11943,131.21645,927,1989,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
39,102,chr1,9548020,9548351,4.82556,16.75414,188,331,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
40,104,chr1,9601410,9602373,3.49083,8.19108,157,963,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
41,105,chr1,9629837,9631160,4.00419,11.26377,723,1323,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
44,107,chr1,9699494,9701278,14.79285,160.16228,626,1784,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
45,108,chr1,9747276,9748525,17.24882,145.14073,953,1249,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
45,109,chr1,9747276,9748525,17.24882,145.14073,953,1249,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
46,109,chr1,9748593,9748928,6.87899,32.92146,182,335,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
50,110,chr1,9797677,9798958,15.60607,124.99689,719,1281,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
52,113,chr1,9908508,9909081,3.69618,9.38343,231,573,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
53,114,chr1,9942152,9944758,42.60868,516.49292,1775,2606,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
53,115,chr1,9942152,9944758,42.60868,516.49292,1775,2606,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
54,116,chr1,9967353,9967781,2.25877,2.29953,324,428,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
