peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,19,chr1,4496488,4497412,3.06087,6.23001,163,924,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4496488,4497412,3.06087,6.23001,163,924,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,30,chr1,4768633,4769160,2.67780,4.32114,478,527,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
7,32,chr1,4786430,4787147,4.66338,20.20634,275,717,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
8,33,chr1,4806927,4807223,3.27286,7.33275,126,296,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
8,34,chr1,4806927,4807223,3.27286,7.33275,126,296,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
11,35,chr1,4856249,4856772,3.66957,9.60802,298,523,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
22,54,chr1,6215522,6217013,5.43447,23.65901,822,1491,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
25,67,chr1,7087809,7088392,3.41981,10.24376,164,583,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
30,74,chr1,7398397,7398733,3.17011,7.37433,139,336,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
31,101,chr1,9544209,9545062,3.86793,10.81485,446,853,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
32,102,chr1,9547063,9549838,6.24964,30.72057,1292,2775,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
36,105,chr1,9630640,9631670,3.17369,6.79517,173,1030,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
37,107,chr1,9699337,9700193,6.04984,26.58929,538,856,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
38,107,chr1,9700902,9701460,4.36382,14.02325,349,558,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
45,108,chr1,9745406,9747505,6.06713,30.72945,1191,2099,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
60,110,chr1,9796146,9796698,4.16546,12.70840,241,552,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
61,110,chr1,9796917,9797193,3.96711,11.43521,148,276,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
62,110,chr1,9797269,9797581,3.96711,11.43521,146,312,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
65,111,chr1,9802218,9806524,5.75950,29.68677,3536,4306,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
90,113,chr1,9908549,9908932,2.71163,4.88733,177,383,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
97,114,chr1,9942134,9943401,5.35559,21.13443,222,1267,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
98,114,chr1,9944287,9945116,4.20931,17.42545,330,829,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
98,115,chr1,9944287,9945116,4.20931,17.42545,330,829,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
101,116,chr1,9966917,9968548,6.04984,26.58929,602,1631,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
101,117,chr1,9966917,9968548,6.04984,26.58929,602,1631,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
104,119,chr1,10008611,10009729,3.14011,10.00045,159,1118,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
104,120,chr1,10008611,10009729,3.14011,10.00045,159,1118,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
105,121,chr1,10035224,10036620,2.96658,9.13205,651,1396,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
106,121,chr1,10036716,10037542,7.63668,40.25305,256,826,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
107,122,chr1,10038860,10039668,5.35890,23.70051,305,808,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
108,122,chr1,10040182,10041432,6.86947,36.49488,628,1250,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
119,126,chr1,10231029,10232180,5.43778,25.52128,691,1151,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
120,126,chr1,10233276,10234070,3.03120,7.60528,524,794,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
139,159,chr1,13258994,13260361,8.72764,50.46666,522,1367,ENSMUSG00000099183,,Gm27881,chr1,13262198,13262279,1
143,160,chr1,13288155,13290626,4.85217,20.42060,1183,2471,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
144,160,chr1,13290775,13291092,3.07451,6.27181,93,317,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
145,160,chr1,13292851,13294446,4.09167,12.44147,985,1595,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
158,162,chr1,13336190,13336775,2.24007,3.99777,375,585,ENSMUSG00000087782,,Gm23169,chr1,13334498,13334609,-1
161,163,chr1,13347058,13347838,3.45582,8.39655,607,780,ENSMUSG00000103085,,Gm38120,chr1,13343563,13348204,-1
165,164,chr1,13356231,13356922,4.65115,16.03133,523,691,ENSMUSG00000102664,,Gm38380,chr1,13354483,13356730,-1
166,164,chr1,13356982,13357503,3.34632,9.07250,386,521,ENSMUSG00000102664,,Gm38380,chr1,13354483,13356730,-1
167,164,chr1,13357989,13359331,5.33184,21.04526,970,1342,ENSMUSG00000102664,,Gm38380,chr1,13354483,13356730,-1
173,165,chr1,13374401,13374996,3.57526,11.37338,375,595,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
173,166,chr1,13374401,13374996,3.57526,11.37338,375,595,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
189,168,chr1,13590112,13590904,4.36382,14.02325,196,792,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
198,170,chr1,13660722,13661387,7.63668,40.25305,453,665,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
206,195,chr1,15804950,15805377,2.47944,3.43841,164,427,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
211,200,chr1,16092854,16093575,2.68525,5.85508,534,721,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
213,202,chr1,16101787,16103577,4.85971,17.47175,442,1790,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
