peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,8,chr1,3531529,3531823,6.20722,9.26024,140,294,ENSMUSG00000103147,,Gm7341,chr1,3531795,3532720,1
1,12,chr1,3679740,3679954,3.90589,2.63535,106,214,ENSMUSG00000102348,,Gm10568,chr1,3680155,3681788,1
2,14,chr1,3784317,3784591,3.17861,1.59438,71,274,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
3,14,chr1,3784657,3784976,4.51168,3.84721,156,319,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
4,14,chr1,3785028,3785334,3.04245,1.25731,132,306,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
5,15,chr1,3951788,3951971,3.30010,1.51107,61,183,ENSMUSG00000102343,,Gm37381,chr1,3905739,3986215,-1
6,15,chr1,3952340,3952572,3.70396,2.05259,66,232,ENSMUSG00000102343,,Gm37381,chr1,3905739,3986215,-1
11,42,chr1,5119070,5119254,3.41477,1.65552,57,184,ENSMUSG00000033793,108664.0,Atp6v1h,chr1,5070018,5162529,1
22,58,chr1,6429983,6430313,4.91553,5.23326,165,330,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
23,58,chr1,6439739,6440085,4.30975,3.17544,172,346,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
30,131,chr1,10669439,10669851,3.90589,2.63535,301,412,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
31,136,chr1,11000987,11001264,3.50203,1.51107,109,277,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
32,140,chr1,11766779,11767060,4.34559,3.94503,138,281,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
33,140,chr1,11915206,11915670,4.15942,3.29537,130,464,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
34,140,chr1,11915870,11916244,4.22112,4.86125,220,374,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
35,140,chr1,11916797,11916972,3.09817,1.11672,171,175,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
41,171,chr1,13687033,13687348,3.90589,2.63535,154,315,ENSMUSG00000067813,381246.0,Xkr9,chr1,13668771,13701723,1
51,188,chr1,15352761,15352975,3.09817,1.11672,126,214,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
52,188,chr1,15499055,15499260,4.10782,3.17544,105,205,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
53,188,chr1,15689711,15689944,4.15942,3.29537,114,233,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
54,193,chr1,15760719,15760897,2.89625,0.65282,63,178,ENSMUSG00000101652,,Gm6060,chr1,15760122,15760668,-1
54,194,chr1,15760719,15760897,2.89625,0.65282,63,178,ENSMUSG00000100814,,Gm28669,chr1,15760761,15760860,1
55,206,chr1,16474938,16475169,4.91553,5.23326,66,231,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
61,248,chr1,19075299,19075474,3.50203,1.51107,102,175,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
62,247,chr1,19111929,19112280,3.22861,1.25731,164,351,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
63,250,chr1,19217954,19218184,3.33034,1.82661,102,230,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
65,264,chr1,20727934,20728660,5.31939,6.00733,543,726,ENSMUSG00000025929,16171.0,Il17a,chr1,20730905,20734496,1
67,275,chr1,21029953,21030155,3.50252,2.35107,93,202,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
68,275,chr1,21067214,21067399,3.55887,2.48230,99,185,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
70,300,chr1,22427459,22427634,3.09817,1.11672,40,175,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
71,300,chr1,22564774,22564978,2.89625,0.65282,98,204,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
75,303,chr1,23152402,23152620,3.39854,1.51107,81,218,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
76,303,chr1,23236750,23236984,3.41477,1.65552,85,234,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
79,314,chr1,23812181,23812399,3.50203,1.51107,102,218,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
80,314,chr1,23814276,23814584,2.43396,0.48083,86,308,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
85,321,chr1,24208385,24208585,3.22861,1.25731,136,200,ENSMUSG00000026147,12839.0,Col9a1,chr1,24177610,24252684,1
86,323,chr1,24556137,24556411,3.50203,1.51107,179,274,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
96,352,chr1,25724050,25724305,3.30010,1.51107,212,255,ENSMUSG00000103563,,8030445P17Rik,chr1,25722038,25724778,-1
102,374,chr1,28803505,28803680,3.04245,1.25731,99,175,ENSMUSG00000081557,,Gm5697,chr1,28800240,28802721,-1
110,411,chr1,32382526,32382804,3.90589,2.63535,116,278,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
111,411,chr1,32630265,32630704,3.50203,1.51107,333,439,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
120,437,chr1,33639871,33640094,3.29135,1.51107,151,223,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
121,437,chr1,33640225,33640476,3.32754,2.06737,125,251,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
124,446,chr1,33856965,33857207,3.70396,2.05259,93,242,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
125,446,chr1,33871979,33872293,3.30010,1.51107,121,314,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
126,447,chr1,33986110,33986412,6.30615,12.39593,154,302,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
128,460,chr1,34428101,34428418,3.02968,1.59438,161,317,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
129,460,chr1,34430269,34431236,5.30959,6.87283,155,967,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
130,460,chr1,34431289,34432144,5.31939,6.00733,448,855,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
131,471,chr1,34548443,34548689,3.30010,1.51107,133,246,ENSMUSG00000037529,21756.0,Prss40,chr1,34543968,34560943,-1
132,471,chr1,34548904,34549257,6.12711,8.44242,225,353,ENSMUSG00000037529,21756.0,Prss40,chr1,34543968,34560943,-1
134,478,chr1,34689160,34689523,3.22861,1.25731,100,363,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
135,486,chr1,34930049,34930560,4.91553,5.23326,273,511,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
149,524,chr1,36626151,36626334,3.32204,1.39900,92,183,ENSMUSG00000046337,381337.0,Fam178b,chr1,36562692,36683183,-1
150,537,chr1,37051375,37051658,3.70396,2.05259,152,283,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
152,544,chr1,37424435,37424637,3.97326,2.75097,100,202,ENSMUSG00000026112,76178.0,Coa5,chr1,37417084,37430103,-1
154,552,chr1,37684245,37684485,3.50203,1.51107,104,240,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
155,554,chr1,37853887,37854149,2.86642,1.25731,213,262,ENSMUSG00000060771,211484.0,Tsga10,chr1,37754776,37866429,-1
156,555,chr1,37874854,37875216,3.30010,1.51107,106,362,ENSMUSG00000037216,623661.0,Lipt1,chr1,37871738,37876228,1
156,556,chr1,37874854,37875216,3.30010,1.51107,106,362,ENSMUSG00000026088,69028.0,Mitd1,chr1,37874801,37890411,-1
157,555,chr1,37875283,37875971,4.54739,4.37767,206,688,ENSMUSG00000037216,623661.0,Lipt1,chr1,37871738,37876228,1
157,556,chr1,37875283,37875971,4.54739,4.37767,206,688,ENSMUSG00000026088,69028.0,Mitd1,chr1,37874801,37890411,-1
167,584,chr1,39258580,39258955,3.95900,3.09242,109,375,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
168,584,chr1,39265725,39266066,2.83678,0.64943,223,341,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
169,584,chr1,39351755,39352032,5.31939,6.00733,111,277,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
172,592,chr1,39540454,39541105,4.30975,3.17544,324,651,ENSMUSG00000003135,52846.0,Cnot11,chr1,39534992,39546889,1
174,599,chr1,39620832,39621077,3.30010,1.51107,146,245,ENSMUSG00000050967,263764.0,Creg2,chr1,39618406,39651474,-1
178,614,chr1,40517508,40517724,3.70396,2.05259,126,216,ENSMUSG00000026068,16174.0,Il18rap,chr1,40515362,40551705,1
179,620,chr1,40778639,40778968,4.91553,5.23326,118,329,ENSMUSG00000103270,,Gm37915,chr1,40771385,40785343,1
179,621,chr1,40778639,40778968,4.91553,5.23326,118,329,ENSMUSG00000041945,211798.0,Mfsd9,chr1,40772038,40790687,-1
180,620,chr1,40779369,40779738,3.39349,3.02203,209,369,ENSMUSG00000103270,,Gm37915,chr1,40771385,40785343,1
180,621,chr1,40779369,40779738,3.39349,3.02203,209,369,ENSMUSG00000041945,211798.0,Mfsd9,chr1,40772038,40790687,-1
181,620,chr1,40779867,40780179,3.20257,1.51107,163,312,ENSMUSG00000103270,,Gm37915,chr1,40771385,40785343,1
181,621,chr1,40779867,40780179,3.20257,1.51107,163,312,ENSMUSG00000041945,211798.0,Mfsd9,chr1,40772038,40790687,-1
188,631,chr1,42274552,42275083,3.60094,2.19495,375,531,ENSMUSG00000101299,,Gm28175,chr1,42261855,42304412,1
189,631,chr1,42286576,42286927,4.10782,3.17544,255,351,ENSMUSG00000101299,,Gm28175,chr1,42261855,42304412,1
196,642,chr1,42963494,42963738,5.10735,5.23326,97,244,ENSMUSG00000041907,93690.0,Gpr45,chr1,42952872,43035456,1
197,642,chr1,42963797,42964032,3.17861,1.59438,131,235,ENSMUSG00000041907,93690.0,Gpr45,chr1,42952872,43035456,1
198,642,chr1,42965614,42965830,3.30010,1.51107,44,216,ENSMUSG00000041907,93690.0,Gpr45,chr1,42952872,43035456,1
199,642,chr1,42966162,42966388,3.41477,1.65552,160,226,ENSMUSG00000041907,93690.0,Gpr45,chr1,42952872,43035456,1
200,642,chr1,43022877,43023399,2.89706,1.59438,147,522,ENSMUSG00000041907,93690.0,Gpr45,chr1,42952872,43035456,1
206,666,chr1,43997408,43997616,3.09817,1.11672,130,208,ENSMUSG00000041763,22019.0,Tpp2,chr1,43933647,44003000,1
208,680,chr1,44578071,44578246,2.73182,0.85096,84,175,ENSMUSG00000056870,70676.0,Gulp1,chr1,44551511,44796838,1
218,720,chr1,47157804,47158130,3.90589,2.63535,185,326,ENSMUSG00000101447,,Gm28826,chr1,47153461,47189071,1
223,735,chr1,48881389,48881760,1.93781,6.70514,205,371,ENSMUSG00000097883,,Gm8357,chr1,48881713,48882723,1
231,759,chr1,51314017,51314264,3.97326,2.75097,34,247,ENSMUSG00000101799,,9330175M20Rik,chr1,51218386,51333779,-1
234,771,chr1,52072982,52073295,3.17861,1.59438,152,313,ENSMUSG00000062939,20849.0,Stat4,chr1,51987148,52107189,1
235,783,chr1,52545190,52545551,3.50203,1.51107,75,361,ENSMUSG00000100120,,Gm553,chr1,52522902,52582679,1
236,792,chr1,52879807,52880132,3.77433,3.14505,194,325,ENSMUSG00000041426,227095.0,Hibch,chr1,52844929,52920986,1
237,794,chr1,52938787,52939221,3.97326,2.75097,169,434,ENSMUSG00000043629,67080.0,1700019D03Rik,chr1,52922324,53020179,-1
239,803,chr1,53341784,53342525,4.51168,3.84721,462,741,ENSMUSG00000101838,,Gm18800,chr1,53326206,53342186,-1
240,803,chr1,53342581,53342862,2.15241,0.08325,53,281,ENSMUSG00000101838,,Gm18800,chr1,53326206,53342186,-1
241,803,chr1,53342916,53343336,3.30010,1.51107,168,420,ENSMUSG00000101838,,Gm18800,chr1,53326206,53342186,-1
242,811,chr1,53613390,53613682,3.50203,1.51107,162,292,ENSMUSG00000096141,627872.0,Dnah7a,chr1,53397006,53706784,-1
244,829,chr1,54771252,54771531,3.26938,2.55924,150,279,ENSMUSG00000052331,329154.0,Ankrd44,chr1,54645340,54926387,-1
247,844,chr1,55362598,55363238,2.89706,1.59438,493,640,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
251,857,chr1,57049507,57049774,3.30010,1.51107,37,267,ENSMUSG00000087022,,9130024F11Rik,chr1,56971412,57050084,1
255,873,chr1,57863101,57863420,2.73182,0.85096,206,319,ENSMUSG00000038305,67198.0,Spats2l,chr1,57774162,57948394,1
256,880,chr1,58251724,58252004,3.38296,1.49478,96,280,ENSMUSG00000038242,71872.0,Aox4,chr1,58210397,58268597,1
257,889,chr1,58507238,58508246,5.31939,6.00733,174,1008,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
257,890,chr1,58507238,58508246,5.31939,6.00733,174,1008,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
258,890,chr1,58513268,58513482,4.34559,3.94503,146,214,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
259,901,chr1,58839799,58840287,2.43396,0.48083,138,488,ENSMUSG00000026029,12370.0,Casp8,chr1,58795374,58847503,1
260,904,chr1,58930179,58930423,3.97326,2.75097,87,244,ENSMUSG00000026028,70827.0,Trak2,chr1,58900449,58973430,-1
261,916,chr1,59350140,59350365,3.50203,1.51107,101,225,ENSMUSG00000026023,271697.0,Cdk15,chr1,59256906,59352993,1
262,921,chr1,59525704,59525939,3.30715,1.37543,76,235,ENSMUSG00000047361,381260.0,Gm973,chr1,59516264,59636417,1
263,945,chr1,60372208,60372480,4.10782,3.17544,155,272,ENSMUSG00000049439,77951.0,Cyp20a1,chr1,60343323,60388060,1
264,950,chr1,60560958,60561139,3.30010,1.51107,123,181,ENSMUSG00000026014,77300.0,Raph1,chr1,60482292,60567104,-1
269,980,chr1,61747824,61748086,3.90589,2.63535,170,262,ENSMUSG00000052062,72823.0,Pard3b,chr1,61638824,62642284,1
270,980,chr1,61754861,61755128,2.85628,0.83593,40,267,ENSMUSG00000052062,72823.0,Pard3b,chr1,61638824,62642284,1
271,980,chr1,61944472,61944762,4.19121,4.04636,122,290,ENSMUSG00000052062,72823.0,Pard3b,chr1,61638824,62642284,1
272,980,chr1,62066871,62067372,3.32754,2.06737,261,501,ENSMUSG00000052062,72823.0,Pard3b,chr1,61638824,62642284,1
274,994,chr1,62722490,62722869,3.69698,2.63535,207,379,ENSMUSG00000025969,18187.0,Nrp2,chr1,62703285,62818695,1
279,1015,chr1,63249213,63249490,2.98600,1.01252,104,277,ENSMUSG00000102536,,1700039I01Rik,chr1,63248021,63248499,-1
