peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670917,3671681,4.54938,5.71653,522,764,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
1,11,chr1,3671785,3672350,5.15888,7.35044,170,565,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,32,chr1,4784895,4786369,14.16887,68.02148,686,1474,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807301,4808963,14.25863,68.02148,735,1662,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807301,4808963,14.25863,68.02148,735,1662,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4857074,4857681,11.10143,29.01369,349,607,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
8,35,chr1,4857732,4858988,16.61202,60.84499,595,1256,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,54,chr1,6213130,6216185,29.38622,119.38348,1670,3055,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,55,chr1,6358996,6359484,6.31860,11.17426,292,488,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
14,57,chr1,6382628,6383349,7.65501,16.94247,384,721,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
15,58,chr1,6441127,6441709,7.92921,16.57690,346,582,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
16,67,chr1,7087790,7088797,19.36839,74.44830,794,1007,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
17,67,chr1,7088958,7090061,15.19466,51.64755,321,1103,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
20,74,chr1,7397634,7397928,8.38590,23.99179,140,294,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
21,74,chr1,7398102,7398779,14.65611,49.08562,352,677,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
22,101,chr1,9544678,9545206,11.10143,29.01369,344,528,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
23,101,chr1,9545424,9546506,12.47279,35.02806,438,1082,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
23,102,chr1,9545424,9546506,12.47279,35.02806,438,1082,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
24,102,chr1,9546624,9546873,4.24464,4.94093,84,249,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
25,102,chr1,9547013,9547755,4.70176,5.71653,284,742,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
26,102,chr1,9548072,9548744,5.19310,12.01141,379,672,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
29,107,chr1,9699367,9701453,13.84829,45.29939,1554,2086,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
30,108,chr1,9745423,9746336,5.37004,10.32649,92,913,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
31,108,chr1,9746388,9748422,26.79588,105.35650,1752,2034,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
31,109,chr1,9746388,9748422,26.79588,105.35650,1752,2034,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
32,109,chr1,9748679,9748900,2.95237,3.77590,132,221,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
33,110,chr1,9797384,9799370,18.94141,87.68157,986,1986,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
35,114,chr1,9942373,9944622,31.78125,135.93184,1545,2249,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
35,115,chr1,9942373,9944622,31.78125,135.93184,1545,2249,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
36,116,chr1,9967159,9967861,3.21843,3.76144,280,702,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
36,117,chr1,9967159,9967861,3.21843,3.76144,280,702,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
37,117,chr1,9967976,9968547,3.89482,8.39966,347,571,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
38,119,chr1,10008762,10009342,7.31699,18.25998,208,580,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
39,121,chr1,10036919,10040458,22.73430,92.94980,835,3539,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
39,122,chr1,10036919,10040458,22.73430,92.94980,835,3539,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
40,126,chr1,10231288,10233990,20.31085,80.05291,1035,2702,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
41,136,chr1,10993091,10994819,17.04399,55.78237,602,1728,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
44,140,chr1,11413523,11414661,8.05397,16.81438,881,1138,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
44,141,chr1,11413523,11414661,8.05397,16.81438,881,1138,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
45,151,chr1,12691982,12692719,3.53899,3.84744,379,737,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
50,152,chr1,12990970,12992764,6.98183,14.03213,1628,1794,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
60,165,chr1,13372589,13374969,31.42168,135.86853,928,2380,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
60,166,chr1,13372589,13374969,31.42168,135.86853,928,2380,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
65,168,chr1,13588329,13589918,21.41872,105.57864,1317,1589,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
