peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670303,3672681,35.04993,216.51094,1188,2378,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4494118,4494427,3.20132,3.17327,123,309,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,19,chr1,4495648,4497815,12.71959,54.52729,1779,2167,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,20,chr1,4495648,4497815,12.71959,54.52729,1779,2167,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,26,chr1,4689052,4689551,6.66519,17.22450,246,499,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
7,32,chr1,4784192,4786681,30.04951,175.13596,924,2489,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
8,33,chr1,4807231,4809255,19.87190,113.22890,1267,2024,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
8,34,chr1,4807231,4809255,19.87190,113.22890,1267,2024,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
9,35,chr1,4856739,4857737,16.22481,72.76917,623,998,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,35,chr1,4858142,4859416,16.11109,120.61330,452,1274,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
15,47,chr1,5588209,5589066,9.90075,34.33482,297,857,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
16,51,chr1,5916410,5918068,19.31331,94.14468,475,1658,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
17,54,chr1,6213195,6216490,31.37315,186.10999,2372,3295,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
19,55,chr1,6358742,6359716,26.81394,150.56033,597,974,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
20,57,chr1,6382384,6383547,30.19658,176.69669,755,1163,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
21,58,chr1,6441094,6441864,21.96059,113.75778,377,770,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
22,67,chr1,7087791,7088839,26.37273,146.03583,580,1048,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
23,67,chr1,7089028,7090798,24.79821,154.36174,859,1770,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
26,74,chr1,7396904,7397952,7.98883,23.90695,362,1048,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
