peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,11,chr1,3669666,3672701,17.72619,125.77851,1543,3035,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,32,chr1,4784928,4786338,15.48886,95.20739,621,1410,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807299,4808968,15.98226,96.12062,757,1669,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807299,4808968,15.98226,96.12062,757,1669,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4856928,4859087,18.36558,118.04774,1452,2159,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,47,chr1,5588223,5589287,3.67410,8.10025,471,1064,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
11,51,chr1,5916513,5917335,4.47780,12.71046,415,822,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
12,51,chr1,5917441,5917758,3.22449,4.76351,158,317,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
14,54,chr1,6213760,6216068,23.69300,170.26913,1357,2308,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
15,54,chr1,6216138,6216664,3.78527,7.17974,155,526,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
16,55,chr1,6358770,6359647,6.72937,23.46971,542,877,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
17,57,chr1,6382697,6383410,9.53328,42.82107,438,713,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
18,58,chr1,6440939,6441674,12.75777,68.21161,465,735,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
23,67,chr1,7087795,7088793,13.38762,82.44210,782,998,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
24,67,chr1,7088942,7090105,11.63620,59.05975,250,1163,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
28,74,chr1,7397655,7397946,7.00976,25.26261,149,291,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
29,74,chr1,7398146,7398756,8.41171,34.72592,324,610,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
30,95,chr1,9298130,9300595,10.79503,52.41146,1141,2465,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
31,101,chr1,9544798,9545239,6.58918,22.58680,282,441,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
32,101,chr1,9545439,9546870,10.37445,49.16127,437,1431,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
32,102,chr1,9545439,9546870,10.37445,49.16127,437,1431,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
33,102,chr1,9547449,9548922,5.29859,15.35438,670,1473,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
34,104,chr1,9600939,9602620,7.80574,39.33733,638,1681,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
36,107,chr1,9699380,9700427,12.61757,67.05054,755,1047,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
37,107,chr1,9700484,9701379,8.83099,38.81407,284,895,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
38,108,chr1,9745398,9746038,4.51254,15.64463,363,640,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
39,108,chr1,9746716,9748450,16.85848,116.78497,1331,1734,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
39,109,chr1,9746716,9748450,16.85848,116.78497,1331,1734,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
40,110,chr1,9797344,9798822,16.68323,102.46448,976,1478,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
42,113,chr1,9908309,9908950,4.20586,9.16746,425,641,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
44,114,chr1,9942088,9944663,23.97407,179.77469,1823,2575,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
44,115,chr1,9942088,9944663,23.97407,179.77469,1823,2575,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
45,116,chr1,9967026,9967549,3.36469,5.34100,393,523,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
45,117,chr1,9967026,9967549,3.36469,5.34100,393,523,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
46,119,chr1,10008753,10009605,5.02561,17.29731,202,852,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
46,120,chr1,10008753,10009605,5.02561,17.29731,202,852,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
47,121,chr1,10036789,10040898,18.64597,120.69018,3191,4109,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
47,122,chr1,10036789,10040898,18.64597,120.69018,3191,4109,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
48,126,chr1,10231382,10233955,21.16948,145.02371,932,2573,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
49,136,chr1,10993101,10994410,10.10376,56.75254,637,1309,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
