peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670233,3672749,27.16441,152.56212,1046,2516,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4496642,4497851,16.47149,74.91080,796,1209,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496642,4497851,16.47149,74.91080,796,1209,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4689055,4689566,5.41140,13.15326,182,511,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
6,32,chr1,4784281,4786634,22.66381,135.17671,820,2353,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807268,4809224,19.21333,107.49677,1228,1956,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807268,4809224,19.21333,107.49677,1228,1956,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856695,4857650,13.39271,71.83465,498,955,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,35,chr1,4857932,4859241,14.64914,104.36148,742,1309,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,47,chr1,5588079,5589324,14.52067,71.22434,534,1245,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
14,51,chr1,5916412,5918095,22.52579,135.17671,540,1683,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
16,54,chr1,6214749,6216289,26.20683,145.07782,794,1540,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
18,55,chr1,6358717,6359733,22.24976,132.34955,584,1016,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
19,57,chr1,6382548,6383569,24.61087,133.25264,457,1021,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
20,58,chr1,6441050,6441830,16.72898,87.66254,331,780,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
22,67,chr1,7087912,7088749,18.86543,90.85038,491,837,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
23,67,chr1,7089073,7091438,19.18462,93.57271,802,2365,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
25,74,chr1,7397109,7397893,5.29979,11.01340,220,784,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
26,74,chr1,7398126,7398944,16.95028,77.51658,445,818,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
28,95,chr1,9298433,9300339,12.34882,80.94210,523,1906,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
29,101,chr1,9544555,9545258,19.30783,125.03754,435,703,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
30,101,chr1,9545446,9548693,12.31237,54.45497,2177,3247,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
30,102,chr1,9545446,9548693,12.31237,54.45497,2177,3247,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
32,105,chr1,9630532,9631136,2.40232,2.09146,159,604,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
33,107,chr1,9699138,9700464,26.80439,171.44489,830,1326,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
34,107,chr1,9700522,9701493,21.42164,125.34140,512,971,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
36,108,chr1,9743333,9748255,34.14777,221.95325,4126,4922,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
36,109,chr1,9743333,9748255,34.14777,221.95325,4126,4922,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
37,109,chr1,9748573,9749245,11.68362,44.13996,223,672,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
39,110,chr1,9797300,9799372,27.00481,152.56212,560,2072,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
41,113,chr1,9908290,9909076,14.38266,69.99730,383,786,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
42,114,chr1,9941666,9944730,20.93141,158.70726,1251,3064,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
42,115,chr1,9941666,9944730,20.93141,158.70726,1251,3064,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
43,116,chr1,9967041,9968650,20.59352,118.41233,1179,1609,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
43,117,chr1,9967041,9968650,20.59352,118.41233,1179,1609,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
44,119,chr1,10008757,10009558,17.58866,82.79855,293,801,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
44,120,chr1,10008757,10009558,17.58866,82.79855,293,801,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
45,121,chr1,10036657,10038174,25.83826,164.06133,701,1517,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
45,122,chr1,10036657,10038174,25.83826,164.06133,701,1517,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
46,121,chr1,10038403,10041144,26.52426,195.31320,669,2741,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
46,122,chr1,10038403,10041144,26.52426,195.31320,669,2741,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
47,126,chr1,10231043,10234098,26.41347,150.98395,2573,3055,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
48,131,chr1,10719253,10720064,3.10041,3.97931,334,811,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
49,136,chr1,10992990,10995225,29.42676,195.49557,1011,2235,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
51,140,chr1,11413277,11415216,27.64319,157.09483,1226,1939,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
51,141,chr1,11413277,11415216,27.64319,157.09483,1226,1939,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
54,151,chr1,12691635,12692769,14.24464,68.76931,701,1134,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
59,152,chr1,12990203,12993227,33.70783,205.24396,1499,3024,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
63,156,chr1,13128234,13128545,3.06545,2.64764,165,311,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
65,165,chr1,13371232,13375204,24.18202,149.48567,880,3972,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
65,166,chr1,13371232,13375204,24.18202,149.48567,880,3972,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
69,168,chr1,13587859,13589831,10.78699,58.37384,962,1972,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
70,168,chr1,13589965,13590564,12.56460,64.81665,192,599,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
71,170,chr1,13658533,13661063,27.00481,152.56212,1758,2530,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
76,179,chr1,14308670,14310908,21.42164,125.34140,1340,2238,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
80,181,chr1,14754874,14756389,37.85732,240.74873,794,1515,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
82,185,chr1,14918409,14919336,15.01810,66.31635,460,927,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
83,188,chr1,15286209,15288471,15.56927,115.32948,1165,2262,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
85,195,chr1,15805112,15805530,6.03829,28.87262,200,418,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
86,195,chr1,15805858,15806947,22.53613,117.32514,560,1089,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
88,198,chr1,15891658,15893382,26.52426,195.31320,1137,1724,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
89,200,chr1,16092712,16093663,22.85689,157.98734,398,951,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
90,201,chr1,16102756,16108977,21.89775,113.05816,3694,6221,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
90,202,chr1,16102756,16108977,21.89775,113.05816,3694,6221,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
95,206,chr1,16518009,16520447,23.01492,121.63345,2011,2438,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
96,207,chr1,16616539,16616862,3.70383,5.10038,182,323,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
97,207,chr1,16617116,16620009,26.20683,145.07782,893,2893,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
97,208,chr1,16617116,16620009,26.20683,145.07782,893,2893,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
