peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
4,19,chr1,4494534,4495422,3.30221,9.69231,400,888,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,19,chr1,4495964,4496339,3.91747,9.69231,151,375,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,19,chr1,4496419,4499433,4.19561,11.94741,2208,3014,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,20,chr1,4496419,4499433,4.19561,11.94741,2208,3014,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,20,chr1,4499725,4500032,4.34186,12.79575,153,307,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
20,47,chr1,5588659,5588932,2.55941,2.99257,134,273,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
21,51,chr1,5915600,5918091,4.68137,14.73872,551,2491,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
22,55,chr1,6358812,6359150,2.72917,3.42787,239,338,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
26,95,chr1,9299149,9300249,3.74771,9.12286,958,1100,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
27,95,chr1,9300669,9300957,2.32221,2.23668,160,288,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
38,116,chr1,9964614,9964919,2.81405,3.88111,170,305,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
39,116,chr1,9966301,9966654,4.34186,12.79575,133,353,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
40,116,chr1,9966740,9968375,5.19064,18.14807,954,1635,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
40,117,chr1,9966740,9968375,5.19064,18.14807,954,1635,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
41,117,chr1,9968434,9969774,3.79999,14.51787,727,1340,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
43,136,chr1,10993189,10993416,2.72917,3.42787,72,227,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
44,141,chr1,11414764,11415717,3.32332,6.33046,599,953,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
47,151,chr1,12690099,12690377,2.64429,2.99257,107,278,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
48,151,chr1,12690624,12691354,3.66283,8.54438,565,730,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
49,151,chr1,12691744,12692689,3.61024,10.26544,709,945,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
59,156,chr1,13126421,13126845,2.80834,4.07179,260,424,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
60,156,chr1,13127011,13130071,3.83887,11.50088,162,3060,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
65,175,chr1,13931977,13932585,3.27541,6.20320,147,608,ENSMUSG00000089358,,Gm25491,chr1,13932378,13932685,1
88,180,chr1,14753372,14754438,4.42674,13.44135,826,1066,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
89,181,chr1,14755075,14757927,3.95150,11.02993,2139,2852,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
90,181,chr1,14757991,14758300,1.74117,0.75821,7,309,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
91,185,chr1,14918469,14918998,3.15356,5.82676,151,529,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
93,198,chr1,15892346,15892999,3.06868,5.32155,156,653,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
94,198,chr1,15894268,15894562,3.40820,6.86594,120,294,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
95,201,chr1,16107107,16107916,2.48571,3.63468,736,809,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
120,218,chr1,17096452,17098837,3.23844,6.33046,150,2385,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
123,236,chr1,18056780,18059923,5.53016,21.04957,1290,3143,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
123,237,chr1,18056780,18059923,5.53016,21.04957,1290,3143,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
124,237,chr1,18060913,18061093,2.30478,1.83737,47,180,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
125,237,chr1,18061218,18061525,2.61110,3.80964,133,307,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
130,247,chr1,19099645,19106159,6.71845,30.35179,4363,6514,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
130,248,chr1,19099645,19106159,6.71845,30.35179,4363,6514,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
131,248,chr1,19106292,19111727,6.03943,24.79822,4103,5435,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
134,250,chr1,19207259,19207856,2.44582,4.29715,453,597,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
135,250,chr1,19208789,19209055,3.66283,8.54438,98,266,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
151,251,chr1,19239909,19241464,3.87691,12.54793,334,1555,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
152,251,chr1,19241848,19243130,3.41024,9.17761,1085,1282,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
156,276,chr1,21078149,21078703,2.47453,2.60233,82,554,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
159,296,chr1,21962285,21963566,3.83259,9.69231,155,1281,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
165,314,chr1,23759278,23761525,4.68137,14.73872,898,2247,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
169,323,chr1,24584636,24587783,4.25698,12.15552,612,3147,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
170,323,chr1,24588215,24588652,2.43555,3.77128,279,437,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
173,443,chr1,33815063,33815339,2.38965,2.20943,102,276,ENSMUSG00000042197,98403.0,Zfp451,chr1,33761545,33814595,-1
174,447,chr1,33906027,33906741,3.83259,9.69231,200,714,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
175,447,chr1,33906877,33907197,2.53888,3.38960,187,320,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
176,446,chr1,33909133,33909685,2.89999,5.14884,376,552,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
